ae_id,speaker,start_time,end_time,sentence,source,targets
IS1007a.B.argumentstructs.Daan.2,B,478.539,512.04,今夜の番組をすべてリストアップしたいのですが、リモコンの代わりにリモコンが検索してくれるので、見たいチャンネルを探す必要はありません。今夜の映画をすべて見るためのボタン、または今夜の雑誌や情報ドキュメンタリーをすべて見るためのボタンなどを押したいと言えばいいのです。そしていくつかリストアップして、リストから選びます。つまり、チャンネル番号を押す代わりに、番組を直接選択するのです。そう、それが便利にする1つの方法です。,NONE,"IS1007a.A.argumentstructs.Daan.1, IS1007a.C.argumentstructs.Daan.1, IS1007a.B.argumentstructs.Daan.6"
IS1007a.C.argumentstructs.8,C,508.32,536.06,うんうん。私は,NONE,NONE
IS1007a.A.argumentstructs.Daan.1,A,511.73,518.17,リモコンに多くの技術を組み込むと、コストが非常に高くなると思います。,IS1007a.B.argumentstructs.Daan.2,"IS1007a.B.argumentstructs.Daan.3, IS1007a.A.argumentstructs.Daan.2"
IS1007a.B.argumentstructs.Daan.3,B,515.99,523.687,いいえ、そんなに多くはありません。この情報は存在します。例えば、,IS1007a.A.argumentstructs.Daan.1,NONE
IS1007a.A.argumentstructs.6,A,519.04,519.59,S,NONE,NONE
IS1007a.A.argumentstructs.Daan.2,A,523.33,526.68,たとえば、スピーチを使用できるとおっしゃいますね。,IS1007a.A.argumentstructs.Daan.1,IS1007a.B.argumentstructs.Daan.4
IS1007a.B.argumentstructs.Daan.4,B,527.54,537.9,たとえば、何でも使えます。音声を使ってボタンを減らすというアイデアですが、より自然です。そうですね。,IS1007a.A.argumentstructs.Daan.2,NONE
IS1007a.C.argumentstructs.Daan.1,C,536.94,546.31,プログラムのリストから選択したり、そのようなものを使用したい場合、wを使用する必要があると思います。,IS1007a.B.argumentstructs.Daan.2,IS1007a.D.argumentstructs.Daan.1
IS1007a.D.argumentstructs.4,D,539.89,540.63,わかった。,NONE,NONE
IS1007a.B.argumentstructs.11,B,540.53,555.47,うん。うん。うん。うん。,NONE,NONE
IS1007a.D.argumentstructs.Daan.1,D,545.89,567.12,つまり、リモコンの主な機能は手に持つことなので、リモコンのサイズには十分注意する必要があります。音声インターフェイスを追加する場合、リモコンの流行のスリムなサイズでは音声認識が搭載できるかどうかはわかりませんが、音声認識システムのインターフェイスを追加したい場合は、テレビ自体に搭載できると思います。,IS1007a.C.argumentstructs.Daan.1,"IS1007a.B.argumentstructs.Daan.5, IS1007a.D.argumentstructs.Daan.2"
IS1007a.A.argumentstructs.7,A,550.02,553.68,手の中に。うん。,NONE,NONE
IS1007a.B.argumentstructs.Daan.5,B,559.57,560.81,はい、可能です。,IS1007a.D.argumentstructs.Daan.1,NONE
IS1007a.D.argumentstructs.Daan.2,D,568.28,571.024,そして、テレビ自体と話すことができました。,IS1007a.D.argumentstructs.Daan.1,"IS1007a.A.argumentstructs.Daan.3, IS1007a.D.argumentstructs.Daan.3"
IS1007a.A.argumentstructs.Daan.3,A,569.9,572.3,ただし、T_V_ から遠い場合は除きます。,IS1007a.D.argumentstructs.Daan.2,NONE
IS1007a.B.argumentstructs.12,B,572.41,573.83,うん。,NONE,NONE
IS1007a.D.argumentstructs.Daan.3,D,572.93,576.287,私たちは、いくつかの異なる技術を持っていますが,IS1007a.D.argumentstructs.Daan.2,NONE
IS1007a.B.argumentstructs.Daan.6,B,574.87,593.66,ええ、そうです。でも、私が言いたかった主なアイデアは、テレビのチャンネルを選択する代わりに、テレビのチャンネルか、番組の内容かを選択できるオプションがあるべきだということです。そうすれば、もっと強力になります。,IS1007a.B.argumentstructs.Daan.2,"IS1007a.C.argumentstructs.Daan.2, IS1007a.C.argumentstructs.Daan.3, IS1007a.C.argumentstructs.Daan.5"
IS1007a.C.argumentstructs.9,C,588.32,589.18,内容について。,NONE,NONE
IS1007a.D.argumentstructs.5,D,589.96,590.83,うんうん。,NONE,NONE
IS1007a.C.argumentstructs.Daan.2,C,592.04,594.07,そうだ、そうだ、それはいい考えだ、いい考えだ,IS1007a.B.argumentstructs.Daan.6,NONE
IS1007a.A.argumentstructs.8,A,592.7,630.46,うんうん。うん。,NONE,NONE
IS1007a.C.argumentstructs.Daan.3,C,594.07,604.602,しかし、技術的にこれを実現するのは、単に,IS1007a.B.argumentstructs.Daan.6,IS1007a.B.argumentstructs.Daan.7
IS1007a.B.argumentstructs.13,B,594.29,600.04,うん。いいえ。,NONE,NONE
IS1007a.B.argumentstructs.Daan.7,B,603.04,652.2,いいえ、ご覧のとおり、すべての TV 番組は Web で視聴できます。X_M_L_ 形式など、どのような形式でも視聴できます。私たちは気にしません。これはコンテンツであるとだけ言っています。コンテンツを取得して、番組の種類ごとに分類したいだけです。一部の Web サイトでは、すでにこのサービスが提供されているため、利用可能なサービスを利用できます。このリモコンにダウンロードします。そして、6 つのカテゴリ、または 7 つのカテゴリに対して 6 つのボタンしかありません。最大でも 7 つのボタンしかありません。カテゴリ 1 を選択して、同じボタンを再利用します。たとえば、並べ替えられたリストから必要な番組を選択する場合、100 のチャンネルから選択する必要はありません。100 のチャンネルがある場合、ボタンは 6 つ、7 つだけです。,IS1007a.C.argumentstructs.Daan.3,IS1007a.A.argumentstructs.Daan.4
IS1007a.C.argumentstructs.10,C,620.22,620.9,ええ、ええ。,NONE,NONE
IS1007a.A.argumentstructs.Daan.4,A,652.21,656.23,はい、ボタンの数も最適化する必要があります。,IS1007a.B.argumentstructs.Daan.7,IS1007a.C.argumentstructs.Daan.4
IS1007a.C.argumentstructs.Daan.4,C,655.28,666.656,そうですね、画面上のナビゲーションボタンとユーザーインターフェースを使用するだけで、,IS1007a.A.argumentstructs.Daan.4,IS1007a.A.argumentstructs.Daan.5
IS1007a.B.argumentstructs.14,B,655.38,657.03,ええ、ええ。,NONE,NONE
IS1007a.A.argumentstructs.Daan.5,A,656.85,658.52,これは良いアイデアだ。,IS1007a.C.argumentstructs.Daan.4,IS1007a.B.argumentstructs.Daan.8
IS1007a.B.argumentstructs.Daan.8,B,661.99,662.33,うん。,IS1007a.A.argumentstructs.Daan.5,NONE
IS1007a.C.argumentstructs.Daan.5,C,667.58,672.992,まあチャンネルプログラムやコンテンツまたは簡単な方法なので,IS1007a.B.argumentstructs.Daan.6,"IS1007a.B.argumentstructs.Daan.9, IS1007a.C.argumentstructs.Daan.6"
IS1007a.B.argumentstructs.15,B,668.24,670.19,。 うん。,NONE,NONE
IS1007a.B.argumentstructs.Daan.9,B,671.8,676.56,そうですね、ここで表示する必要はなく、T_V_ 画面に表示するだけでいいんですよね? いいアイデアですね。,IS1007a.C.argumentstructs.Daan.5,NONE
IS1007a.C.argumentstructs.Daan.6,C,674.62,681.87,はい、テレビ画面のディスプレイで、リモコンでfをナビゲートするだけです,IS1007a.C.argumentstructs.Daan.5,"IS1007a.B.argumentstructs.Daan.10, IS1007a.C.argumentstructs.Daan.7"
IS1007a.B.argumentstructs.16,B,677.57,677.98,わかった。,NONE,NONE
IS1007a.B.argumentstructs.Daan.10,B,682.08,697.2,それは革命的なことだと思う。だって、テレビのリモコンには数字やボタンがたくさんあって、結局何を選べばいいのかわからないんだから。うん、いいよ。,IS1007a.C.argumentstructs.Daan.6,NONE
IS1007a.C.argumentstructs.11,C,694.55,696.47,うんうん。だから,NONE,NONE
IS1007a.C.argumentstructs.Daan.7,C,697.38,710.78,技術的な点では、プログラムやコンテンツからデータをどのように収集するかなどをチェックする必要があると思います。,IS1007a.C.argumentstructs.Daan.6,NONE
IS1007a.B.argumentstructs.17,B,710.28,710.68,わかった。,NONE,NONE
