ae_id,speaker,start_time,end_time,sentence,source,targets
TS3005c.B.argumentstructs.Daan.4,B,2008.18,2018.01,そうです。でも、場所も見つけないといけません。こうすれば、隅とかに置くことができます。隅の方で話せます。そうです。,NONE,"TS3005c.C.argumentstructs.Daan.10, TS3005c.A.argumentstructs.Daan.6, TS3005c.B.argumentstructs.Daan.5, TS3005c.C.argumentstructs.Daan.11, TS3005c.B.argumentstructs.Daan.6"
TS3005c.D.argumentstructs.30,D,2009.5,2017.63,そうだね。そうだね、マイクだよ。,NONE,NONE
TS3005c.C.argumentstructs.31,C,2015.32,2015.48,うーん。,NONE,NONE
TS3005c.C.argumentstructs.Daan.10,C,2017.549,2027.87,必要ありません。非常に感度の高いマイクを作ることができるので、リモコンの下や底に置くだけで済みます。,TS3005c.B.argumentstructs.Daan.4,NONE
TS3005c.A.argumentstructs.21,A,2018.68,2018.96,うんうん。,NONE,NONE
TS3005c.A.argumentstructs.Daan.6,A,2027.46,2032.6,ええ、手で持てる下部にマイクもあるかもしれません,TS3005c.B.argumentstructs.Daan.4,NONE
TS3005c.C.argumentstructs.32,C,2027.87,2033.44,ああ、そうだね。,NONE,NONE
TS3005c.B.argumentstructs.18,B,2031.73,2031.73,。,NONE,NONE
TS3005c.A.argumentstructs.22,A,2033.7,2036.21,あそこに。うんうん。,NONE,NONE
TS3005c.B.argumentstructs.Daan.5,B,2034.28,2036.14,つまり、真ん中か何か。,TS3005c.B.argumentstructs.Daan.4,NONE
TS3005c.C.argumentstructs.Daan.11,C,2034.83,2040.12,しかし、それは重要ではありません。マイクがどこにあるかは問題ではないので、それほど重要ではないと思います。,TS3005c.B.argumentstructs.Daan.4,NONE
TS3005c.B.argumentstructs.Daan.6,B,2039.654,2043.728,でも、どこに置くかは自分で決めるべきですよね？,TS3005c.B.argumentstructs.Daan.4,"TS3005c.C.argumentstructs.Daan.12, TS3005c.D.argumentstructs.Daan.10, TS3005c.B.argumentstructs.Daan.7, TS3005c.A.argumentstructs.Daan.7, TS3005c.D.argumentstructs.Daan.15"
TS3005c.C.argumentstructs.33,C,2042.1,2043.91,ああ、わかった、もちろん、わかった、まあ,NONE,NONE
