ae_id,speaker,start_time,end_time,sentence,source,targets
ES2015d.D.argumentstructs.Rutger.9,D,824.53,826.53,4番目。これは見た目が良いリモコンですか?,NONE,"ES2015d.D.argumentstructs.Rutger.10, ES2015d.C.argumentstructs.Rutger.9, ES2015d.B.argumentstructs.Rutger.10, ES2015d.A.argumentstructs.Rutger.12, ES2015d.D.argumentstructs.Rutger.11, ES2015d.D.argumentstructs.Rutger.12, ES2015d.D.argumentstructs.Rutger.17"
ES2015d.B.argumentstructs.28,B,825.93,826.84,うーん。,NONE,NONE
ES2015d.D.argumentstructs.Rutger.10,D,826.53,830.15,ユーザーの 75% がほとんどのリモコンが見苦しいと感じていることを覚えておいてください。,ES2015d.D.argumentstructs.Rutger.9,NONE
ES2015d.C.argumentstructs.Rutger.9,C,830.308,832.195,それは間違いなく,ES2015d.D.argumentstructs.Rutger.9,NONE
ES2015d.B.argumentstructs.Rutger.10,B,831.06,832.89,ここでも色が重要になると思います。,ES2015d.D.argumentstructs.Rutger.9,ES2015d.A.argumentstructs.Rutger.11
ES2015d.A.argumentstructs.Rutger.11,A,832.93,834.9,はい、色は間違いなく要因になります。,ES2015d.B.argumentstructs.Rutger.10,NONE
ES2015d.D.argumentstructs.37,D,835.77,848.99,。おっと。,NONE,NONE
ES2015d.A.argumentstructs.Rutger.12,A,836.17,838.37,ロゴはもっと小さくてもいいと思います。,ES2015d.D.argumentstructs.Rutger.9,"ES2015d.B.argumentstructs.Rutger.11, ES2015d.A.argumentstructs.Rutger.13"
ES2015d.B.argumentstructs.Rutger.11,B,838.67,839.14,わかった。,ES2015d.A.argumentstructs.Rutger.12,NONE
ES2015d.C.argumentstructs.Rutger.10,C,839.02,839.6,うん。,NONE,NONE
ES2015d.A.argumentstructs.Rutger.13,A,839.47,844.31,そんなに目立つ方法ではないかもしれません。一番下のような感じでしょうか。,ES2015d.A.argumentstructs.Rutger.12,ES2015d.C.argumentstructs.Rutger.11
ES2015d.C.argumentstructs.29,C,842.17,843.05,しかし、,NONE,NONE
ES2015d.C.argumentstructs.Rutger.11,C,844.5,848.12,経営陣が、目立つようにしなければならないと言ったことを思い出してください。,ES2015d.A.argumentstructs.Rutger.13,"ES2015d.B.argumentstructs.Rutger.12, ES2015d.A.argumentstructs.Rutger.14"
ES2015d.B.argumentstructs.Rutger.12,B,844.59,845.436,含まれていない,ES2015d.C.argumentstructs.Rutger.11,NONE
ES2015d.A.argumentstructs.Rutger.14,A,848.85,850.56,ああ、そこに載っていなければならなかったんだと思う。,ES2015d.C.argumentstructs.Rutger.11,NONE
ES2015d.D.argumentstructs.Rutger.11,D,850.02,857.41,触らないほうがいい。今回は私が殺した3人だ。,ES2015d.D.argumentstructs.Rutger.9,NONE
ES2015d.C.argumentstructs.Rutger.12,C,850.16,857.897,うん。,ES2015d.D.argumentstructs.Rutger.12,NONE
ES2015d.B.argumentstructs.29,B,851.34,857.12,心配しないで。,NONE,NONE
ES2015d.D.argumentstructs.Rutger.12,D,857.41,859.29,もっと平らな方がいいのかなと思いました。,ES2015d.D.argumentstructs.Rutger.9,"ES2015d.C.argumentstructs.Rutger.12, ES2015d.B.argumentstructs.Rutger.13, ES2015d.A.argumentstructs.Rutger.15"
ES2015d.B.argumentstructs.Rutger.13,B,861.7,863.07,私の手はかなり大きいと思います。,ES2015d.D.argumentstructs.Rutger.12,NONE
ES2015d.A.argumentstructs.Rutger.15,A,862.58,866.81,手の中に大きな塊があるような魅力が気に入っています。,ES2015d.D.argumentstructs.Rutger.12,NONE
ES2015d.D.argumentstructs.38,D,863.08,863.43,良い,NONE,NONE
