ae_id,speaker,start_time,end_time,sentence,source,targets
IS1004d.B.argumentstructs.Rutger.1,B,981.78,989.72,2 つだと思います。リビングルームのテーブルにバナナが置きたくないし、バナナ型のリモコンも欲しくないです。,NONE,"IS1004d.C.argumentstructs.Rutger.1, IS1004d.B.argumentstructs.Rutger.2, IS1004d.B.argumentstructs.Rutger.5, IS1004d.B.argumentstructs.Rutger.8"
IS1004d.C.argumentstructs.8,C,984.36,984.68,なぜ ？,NONE,NONE
IS1004d.C.argumentstructs.Rutger.1,C,986.181,994.33,いや、でも実際見れば本当に便利です。とても便利です。そして,IS1004d.B.argumentstructs.Rutger.1,NONE
IS1004d.A.argumentstructs.8,A,988.81,990.87,ああ、あなたの,NONE,NONE
IS1004d.B.argumentstructs.Rutger.2,B,992.37,998.13,便利だ、便利だ、でもひどい。そうだね。,IS1004d.B.argumentstructs.Rutger.1,"IS1004d.A.argumentstructs.Rutger.1, IS1004d.C.argumentstructs.Rutger.2"
IS1004d.A.argumentstructs.Rutger.1,A,995.765,997.62,それはキッチュだ。,IS1004d.B.argumentstructs.Rutger.2,NONE
IS1004d.C.argumentstructs.Rutger.2,C,995.81,1001.44,ここに来る人、あなたの家に来る人は誰でも、少なくとも一度はこれが何なのか尋ねるでしょう。,IS1004d.B.argumentstructs.Rutger.2,IS1004d.B.argumentstructs.Rutger.4
IS1004d.B.argumentstructs.Rutger.4,B,1002.02,1003.69,そうですが、それは良いことではありません。,IS1004d.C.argumentstructs.Rutger.2,IS1004d.C.argumentstructs.Rutger.3
IS1004d.C.argumentstructs.Rutger.3,C,1003.92,1006.37,そう見ると、とてもポジティブなことですね。,IS1004d.B.argumentstructs.Rutger.4,NONE
IS1004d.B.argumentstructs.Rutger.5,B,1004.9,1009.29,まあ、ご存知のとおり、これは便利だし、人間工学的にも優れていますが、バナナです。,IS1004d.B.argumentstructs.Rutger.1,IS1004d.A.argumentstructs.Rutger.2
IS1004d.A.argumentstructs.Rutger.2,A,1007.49,1015.71,まあ、忘れないでください、私たちが誰をターゲットにしているのか、そして誰が誰なのかを忘れないでください、ええ、一番若い,IS1004d.B.argumentstructs.Rutger.5,"IS1004d.C.argumentstructs.Rutger.4, IS1004d.B.argumentstructs.Rutger.6"
IS1004d.C.argumentstructs.Rutger.4,C,1013.08,1013.83,若者たち。,IS1004d.A.argumentstructs.Rutger.2,NONE
IS1004d.D.argumentstructs.2,D,1013.51,1014.47,実はそうかもしれない,NONE,NONE
IS1004d.B.argumentstructs.Rutger.6,B,1013.92,1016.44,ええ、でも、私はこれを買うと書いてあるので。,IS1004d.A.argumentstructs.Rutger.2,IS1004d.A.argumentstructs.Rutger.3
IS1004d.A.argumentstructs.Rutger.3,A,1016.55,1020.15,いや、そうだね、もし君が若かったらね。,IS1004d.B.argumentstructs.Rutger.6,"IS1004d.D.argumentstructs.Rutger.1, IS1004d.A.argumentstructs.Rutger.4"
IS1004d.D.argumentstructs.Rutger.1,D,1018.23,1019.236,うん,IS1004d.A.argumentstructs.Rutger.3,NONE
IS1004d.A.argumentstructs.Rutger.4,A,1021.6,1024.86,自分が若いと言っているわけではありません。例えば、ティーンエイジャーのような感じ。,IS1004d.A.argumentstructs.Rutger.3,IS1004d.B.argumentstructs.Rutger.7
IS1004d.B.argumentstructs.Rutger.7,B,1022.464,1027.863,いいえ、私です。,IS1004d.A.argumentstructs.Rutger.4,IS1004d.A.argumentstructs.Rutger.5
IS1004d.A.argumentstructs.Rutger.5,A,1026.98,1032.51,わかった、君はクレイジーなティーンエイジャーで、楽しいことが好きなんだね。そうだね。,IS1004d.B.argumentstructs.Rutger.7,IS1004d.C.argumentstructs.Rutger.5
IS1004d.C.argumentstructs.Rutger.5,C,1031.08,1033.82,自慢したいんでしょ。彼女と一緒とか。,IS1004d.A.argumentstructs.Rutger.5,"IS1004d.A.argumentstructs.Rutger.6, IS1004d.C.argumentstructs.Rutger.6"
IS1004d.A.argumentstructs.Rutger.6,A,1033.65,1036.722,そうです、あなたが持っている美しいバナナを見せたいのです。,IS1004d.C.argumentstructs.Rutger.5,NONE
IS1004d.B.argumentstructs.10,B,1035.01,1036.5,Ｓ,NONE,NONE
IS1004d.C.argumentstructs.Rutger.6,C,1035.84,1038.08,あるいは他の種類のことをするかもしれないが,IS1004d.C.argumentstructs.Rutger.5,NONE
IS1004d.B.argumentstructs.Rutger.8,B,1038.16,1043.19,それでも、私は 2 つだと思います。人生のどの段階でも、バナナ リモコンは欲しくないと思います。,IS1004d.B.argumentstructs.Rutger.1,"IS1004d.C.argumentstructs.Rutger.7, IS1004d.A.argumentstructs.Rutger.7"
IS1004d.C.argumentstructs.Rutger.7,C,1043.4,1044.97,ああ、そうだね、クレイジーだね。,IS1004d.B.argumentstructs.Rutger.8,NONE
IS1004d.A.argumentstructs.Rutger.7,A,1044.32,1050.99,わかった、それであなたは、ああ、そうだ、わかってる、わかってる。だからあなたは2と言う。じゃあ私は5と言う。,IS1004d.B.argumentstructs.Rutger.8,IS1004d.B.argumentstructs.Rutger.9
IS1004d.B.argumentstructs.Rutger.9,B,1044.63,1048.89,まあ、市場はあるかもしれないけど、わからない。うん。,IS1004d.A.argumentstructs.Rutger.7,NONE
