ae_id,speaker,start_time,end_time,sentence,source,targets
TS3006b.A.argumentstructs.Daan.1,A,1324.96,1331.06,音声認識部分を組み込む場合は、マイクが必要です。,NONE,"TS3006b.D.argumentstructs.Daan.1, TS3006b.D.argumentstructs.Daan.5, TS3006b.C.argumentstructs.Daan.5"
TS3006b.D.argumentstructs.Daan.1,D,1330.69,1337.79,ええ、だから、ここに手があれば、おそらく上のどこかにあるはずです。つまり、私は,TS3006b.A.argumentstructs.Daan.1,TS3006b.C.argumentstructs.Daan.1
TS3006b.A.argumentstructs.13,A,1335.89,1337.51,うん。これは,NONE,NONE
TS3006b.C.argumentstructs.Daan.1,C,1337.22,1339.41,なぜディスプレイを下部に配置したのでしょうか?,TS3006b.D.argumentstructs.Daan.1,"TS3006b.A.argumentstructs.Daan.2, TS3006b.C.argumentstructs.Daan.2, TS3006b.D.argumentstructs.Daan.3"
TS3006b.A.argumentstructs.Daan.2,A,1339.81,1344.08,いいえ、それは確かではないので、ディスプレイが必要です。,TS3006b.C.argumentstructs.Daan.1,TS3006b.D.argumentstructs.Daan.2
TS3006b.D.argumentstructs.Daan.2,D,1341.62,1343.18,それは確かではないが、,TS3006b.A.argumentstructs.Daan.2,NONE
TS3006b.C.argumentstructs.8,C,1341.65,1342.44,わかった。,NONE,NONE
TS3006b.B.argumentstructs.4,B,1342.77,1344.68,ええ、多分あなたは,NONE,NONE
TS3006b.C.argumentstructs.Daan.2,C,1343.78,1347.83,そうですね、機能を使用すると手がディスプレイを遮ってしまうからです。,TS3006b.C.argumentstructs.Daan.1,TS3006b.B.argumentstructs.Daan.1
TS3006b.B.argumentstructs.Daan.1,B,1348.63,1356.07,はい、わかりました。ただし、基本機能の場合のみです。詳細オプションを使用する場合は、メニュー ボタンを押して、はい。,TS3006b.C.argumentstructs.Daan.2,NONE
TS3006b.D.argumentstructs.Daan.3,D,1356.44,1383.27,そうですね、画面が上部にあるほうが理にかなっていると思います。それに、携帯電話を使う人もいて、画面が上部にあるので、電源ボタンに少し手を伸ばすだけでいいんです。つまり、それをつかめばいいんです。でもほとんどの場合、テレビがスタンバイ状態なら、人々はチャンネルを押すだけで電源が入ります。だからこれを上部に置き、企業ロゴを作りました。,TS3006b.C.argumentstructs.Daan.1,"TS3006b.C.argumentstructs.Daan.3, TS3006b.A.argumentstructs.Daan.3, TS3006b.B.argumentstructs.Daan.2, TS3006b.C.argumentstructs.Daan.4, TS3006b.B.argumentstructs.Daan.3"
TS3006b.C.argumentstructs.Daan.3,C,1359.6,1361.18,論理tの通常,TS3006b.D.argumentstructs.Daan.3,NONE
TS3006b.B.argumentstructs.5,B,1361.07,1361.4,うん。,NONE,NONE
TS3006b.A.argumentstructs.14,A,1361.12,1361.36,うん。,NONE,NONE
TS3006b.A.argumentstructs.Daan.3,A,1363.38,1364.78,ええ、彼らはそれに慣れています。,TS3006b.D.argumentstructs.Daan.3,NONE
TS3006b.B.argumentstructs.Daan.2,B,1365.0,1367.13,はい、そうですね。それは可能です。,TS3006b.D.argumentstructs.Daan.3,NONE
TS3006b.C.argumentstructs.9,C,1370.71,1371.3,うん。,NONE,NONE
TS3006b.C.argumentstructs.Daan.4,C,1372.03,1374.89,一度電源を入れると、電源ボタンは必要ありません。,TS3006b.D.argumentstructs.Daan.3,NONE
TS3006b.B.argumentstructs.6,B,1374.01,1374.9,はい、わかりました。,NONE,NONE
TS3006b.B.argumentstructs.Daan.3,B,1377.91,1379.37,はい、上に置きます。,TS3006b.D.argumentstructs.Daan.3,TS3006b.D.argumentstructs.Daan.4
TS3006b.B.argumentstructs.7,B,1381.11,1403.96,ええ、ええ。,NONE,NONE
TS3006b.D.argumentstructs.Daan.4,D,1385.03,1387.29,ここのように。R_R_。,TS3006b.B.argumentstructs.Daan.3,NONE
TS3006b.D.argumentstructs.Daan.5,D,1387.29,1395.39,そしてマイクですが、これは非常に小さいものです。携帯電話を見ると、いくつかの縞模様や小さな穴があります。,TS3006b.A.argumentstructs.Daan.1,NONE
TS3006b.C.argumentstructs.10,C,1392.01,1392.25,うん。,NONE,NONE
TS3006b.A.argumentstructs.15,A,1395.47,1395.96,うんうん。,NONE,NONE
