ae_id,speaker,start_time,end_time,sentence,source,targets
ES2016c.B.argumentstructs.Rutger.16,B,1727.49,1758.83,では、フルーツのデザインは、実際のリモコンの表面にどのように影響するのでしょうか? 特定のフルーツの形にするのではなく、オレンジやバナナなど、表面をデザインにするとします。デザイン的には何でも構いません。,NONE,"ES2016c.A.argumentstructs.Rutger.2, ES2016c.A.argumentstructs.Rutger.2, ES2016c.C.argumentstructs.Rutger.4, ES2016c.C.argumentstructs.Rutger.5, ES2016c.A.argumentstructs.Rutger.5, ES2016c.D.argumentstructs.Rutger.4, ES2016c.B.argumentstructs.Rutger.23"
ES2016c.D.argumentstructs.10,D,1746.8,1747.16,うーん。,NONE,NONE
ES2016c.C.argumentstructs.19,C,1755.96,1756.37,うーん。,NONE,NONE
ES2016c.A.argumentstructs.Rutger.2,A,1757.54,1763.549,匂いはどうですか？リモコンにT？,ES2016c.B.argumentstructs.Rutger.16,ES2016c.B.argumentstructs.Rutger.17
ES2016c.B.argumentstructs.Rutger.17,B,1760.66,1761.66,うーん。いいですね,ES2016c.A.argumentstructs.Rutger.2,NONE
ES2016c.B.argumentstructs.34,B,1761.66,1761.66,。,NONE,NONE
ES2016c.C.argumentstructs.Rutger.4,C,1762.36,1769.9,違う色で売ってもいいと思う。違う黄色で。同じ色にこだわる必要はないと思う。,ES2016c.B.argumentstructs.Rutger.16,"ES2016c.D.argumentstructs.Rutger.2, ES2016c.B.argumentstructs.Rutger.18"
ES2016c.D.argumentstructs.Rutger.2,D,1766.46,1769.411,明るい柑橘系の色ですね。,ES2016c.C.argumentstructs.Rutger.4,NONE
ES2016c.B.argumentstructs.Rutger.18,B,1768.12,1778.416,うーん。でも、会社の色は黄色とグレーにしないといけない。それで、レモンとバナナは,ES2016c.C.argumentstructs.Rutger.4,"ES2016c.D.argumentstructs.Rutger.3, ES2016c.A.argumentstructs.Rutger.3"
ES2016c.C.argumentstructs.20,C,1770.64,1771.94,色にこだわってください。,NONE,NONE
ES2016c.D.argumentstructs.Rutger.3,D,1771.67,1773.57,ああそうだ。黄色とグレー,ES2016c.B.argumentstructs.Rutger.18,NONE
ES2016c.D.argumentstructs.11,D,1773.57,1773.57,。,NONE,NONE
ES2016c.A.argumentstructs.Rutger.3,A,1773.85,1775.14,黄色とグレー。,ES2016c.B.argumentstructs.Rutger.18,NONE
ES2016c.C.argumentstructs.Rutger.5,C,1778.8,1780.964,うーんグレープフルーツ。,ES2016c.B.argumentstructs.Rutger.16,"ES2016c.A.argumentstructs.Rutger.4, ES2016c.B.argumentstructs.Rutger.19"
ES2016c.A.argumentstructs.Rutger.4,A,1779.39,1780.05,グレープフルーツ。,ES2016c.C.argumentstructs.Rutger.5,NONE
