ae_id,speaker,start_time,end_time,sentence,source,targets
ES2003d.C.argumentstructs.Erik.58,C,1518.768,1531.72,はい、わかりました。6 点を付けましょう。わかりました。これですべてが完全にバランスを崩してしまいました。最新のインテリアとファッションの流行にインスパイアされました。W ならできるでしょう。,NONE,ES2003d.C.argumentstructs.Erik.59
ES2003d.C.argumentstructs.Erik.59,C,1531.72,1533.28,何色にするつもりだったの？,ES2003d.C.argumentstructs.Erik.58,"ES2003d.D.argumentstructs.Erik.19, ES2003d.A.argumentstructs.Erik.23, ES2003d.A.argumentstructs.Erik.24, ES2003d.A.argumentstructs.Erik.25, ES2003d.D.argumentstructs.Erik.20, ES2003d.B.argumentstructs.Erik.50"
ES2003d.D.argumentstructs.Erik.19,D,1532.74,1534.736,ヒョウ柄をプリントします。,ES2003d.C.argumentstructs.Erik.59,ES2003d.A.argumentstructs.Erik.26
ES2003d.A.argumentstructs.Erik.23,A,1533.86,1538.54,そうですね、私は色の選択肢を与えると言います。,ES2003d.C.argumentstructs.Erik.59,NONE
ES2003d.A.argumentstructs.Erik.24,A,1538.54,1543.01,ええと、プロトタイプには黄色を選びました。黄色があったからです。,ES2003d.C.argumentstructs.Erik.59,NONE
ES2003d.C.argumentstructs.Erik.60,C,1539.68,1551.616,分かっていますが、でも、これは果物と野菜の問題だと思います。,ES2003d.A.argumentstructs.Erik.26,NONE
ES2003d.A.argumentstructs.Erik.25,A,1543.01,1545.65,もし買うなら、紫色を選びます。,ES2003d.C.argumentstructs.Erik.59,NONE
ES2003d.A.argumentstructs.Erik.26,A,1545.65,1546.56,ヒョウ柄はかっこいいですね。,ES2003d.D.argumentstructs.Erik.19,ES2003d.C.argumentstructs.Erik.60
ES2003d.D.argumentstructs.Erik.20,D,1550.42,1557.97,そうですね。世界の境界線の色は目立つと思います。,ES2003d.C.argumentstructs.Erik.59,ES2003d.C.argumentstructs.Erik.61
ES2003d.C.argumentstructs.Erik.61,C,1552.273,1552.97,うん。,ES2003d.D.argumentstructs.Erik.20,NONE
ES2003d.B.argumentstructs.Erik.50,B,1558.53,1565.83,黄色みたいにね。商品の配置を維持するのにも役立つと思うよ。,ES2003d.C.argumentstructs.Erik.59,"ES2003d.B.argumentstructs.Erik.51, ES2003d.C.argumentstructs.Erik.63"
ES2003d.D.argumentstructs.Erik.21,D,1562.96,1564.63,ロゴ、ブランド。,ES2003d.B.argumentstructs.Erik.51,ES2003d.C.argumentstructs.Erik.62
ES2003d.C.argumentstructs.Erik.62,C,1564.14,1564.4,うーん。,ES2003d.D.argumentstructs.Erik.21,ES2003d.D.argumentstructs.Erik.22
ES2003d.D.argumentstructs.Erik.22,D,1565.71,1566.38,ああ、そうだ。,ES2003d.C.argumentstructs.Erik.62,NONE
ES2003d.C.argumentstructs.90,C,1565.77,1566.39,しかし,NONE,NONE
ES2003d.B.argumentstructs.Erik.51,B,1565.83,1568.4,衣服のファッションからインスピレーションを受けているのでしょうか?,ES2003d.B.argumentstructs.Erik.50,ES2003d.D.argumentstructs.Erik.21
ES2003d.C.argumentstructs.Erik.63,C,1568.16,1576.02,彼らは果物と野菜のことを言っています。これはバナナのような色ですか？,ES2003d.B.argumentstructs.Erik.50,"ES2003d.C.argumentstructs.Erik.64, ES2003d.B.argumentstructs.Erik.52, ES2003d.A.argumentstructs.Erik.28"
ES2003d.C.argumentstructs.Erik.64,C,1576.02,1579.392,まだ伸ばせないけど、バナナの形じゃないから,ES2003d.C.argumentstructs.Erik.63,ES2003d.A.argumentstructs.Erik.27
ES2003d.B.argumentstructs.Erik.52,B,1577.49,1577.93,はい。,ES2003d.C.argumentstructs.Erik.63,NONE
ES2003d.B.argumentstructs.77,B,1579.7,1584.06,それはおそらく,NONE,NONE
ES2003d.A.argumentstructs.Erik.27,A,1580.02,1585.9,予算が組まれれば、それは実現しなくなるでしょう。,ES2003d.C.argumentstructs.Erik.64,ES2003d.C.argumentstructs.Erik.65
ES2003d.C.argumentstructs.Erik.65,C,1584.18,1586.16,ああ、それは平らだからでしょうか？,ES2003d.A.argumentstructs.Erik.27,ES2003d.C.argumentstructs.Erik.66
ES2003d.C.argumentstructs.Erik.66,C,1586.16,1588.74,平らな果物や野菜は何ですか?,ES2003d.C.argumentstructs.Erik.65,NONE
ES2003d.A.argumentstructs.Erik.28,A,1589.72,1595.48,これは特に果物や野菜ではないと思います。,ES2003d.C.argumentstructs.Erik.63,"ES2003d.C.argumentstructs.Erik.67, ES2003d.B.argumentstructs.Erik.53"
ES2003d.C.argumentstructs.Erik.67,C,1594.94,1603.712,そうだね。さもないと、このことでもひどく苦しまなければならないかもしれない。,ES2003d.A.argumentstructs.Erik.28,NONE
ES2003d.A.argumentstructs.39,A,1595.48,1596.01,えーと。,NONE,NONE
ES2003d.D.argumentstructs.30,D,1597.81,1598.95,黄色いズッキーニ。,NONE,NONE
ES2003d.B.argumentstructs.Erik.53,B,1602.81,1609.82,まあ、果物と野菜以外のほとんどのものよりも果物と野菜が多いと思いますが、それで、何、4つ？,ES2003d.A.argumentstructs.Erik.28,ES2003d.C.argumentstructs.Erik.68
ES2003d.C.argumentstructs.Erik.68,C,1610.07,1614.05,4つ？ああ、それは非常に野心的ですね、ええ、うーん。,ES2003d.B.argumentstructs.Erik.53,ES2003d.B.argumentstructs.Erik.54
ES2003d.B.argumentstructs.Erik.54,B,1611.99,1613.18,それは寛大すぎるでしょうか?,ES2003d.C.argumentstructs.Erik.68,ES2003d.A.argumentstructs.Erik.29
