ae_id,speaker,start_time,end_time,sentence,source,targets
IS1002b.C.argumentstructs.23,C,675.95,682.67,ええと、ユーザー指向のデバイスを選ぶべきです。つまり、シンプルなコントロールと優れた人間工学です,NONE,NONE
IS1002b.C.argumentstructs.Rutger.1,C,682.67,691.296,えーっと、私はテレテキストをまだ推奨しているので、それを削除しますが、えーっと、私たちは,NONE,"IS1002b.A.argumentstructs.Rutger.5, IS1002b.A.argumentstructs.Rutger.18"
IS1002b.A.argumentstructs.Rutger.5,A,690.99,704.35,しかし、経営陣の勧告は、テレテキストが時代遅れになるという懸念ではなく、テレテキストを導入すべきではないということだったと思います。ですから、機能面で導入するのに十分安価であれば、テレテキストを導入すべきだと私は今でも思っています。,IS1002b.C.argumentstructs.Rutger.1,"IS1002b.A.argumentstructs.Rutger.6, IS1002b.D.argumentstructs.Rutger.11, IS1002b.C.argumentstructs.Rutger.9, IS1002b.B.argumentstructs.Rutger.14, IS1002b.D.argumentstructs.Rutger.14, IS1002b.A.argumentstructs.Rutger.14"
IS1002b.B.argumentstructs.37,B,704.32,704.6,うんうん。,NONE,NONE
IS1002b.A.argumentstructs.Rutger.6,A,704.83,726.0,そうでなければ、必要かどうかに関係なく、テレテキスト付きとテレテキストなしのリモコンのどちらかを選択する必要がある場合、私たちが作るのに費用がかからないのであれば、私が理解している限り、同じボタンセットで操作できるので、そこに入れておく必要があります。,IS1002b.A.argumentstructs.Rutger.5,IS1002b.B.argumentstructs.Rutger.8
IS1002b.B.argumentstructs.Rutger.8,B,724.61,731.66,私にとっては、それは単に追加ボタンのコストだけです。つまり、ソフトウェア的には実際には違いはありません。そう思います。,IS1002b.A.argumentstructs.Rutger.6,IS1002b.C.argumentstructs.Rutger.2
IS1002b.C.argumentstructs.Rutger.2,C,724.614,725.25,うん,IS1002b.B.argumentstructs.Rutger.8,NONE
IS1002b.C.argumentstructs.24,C,725.25,725.25,。,NONE,NONE
IS1002b.A.argumentstructs.43,A,728.88,731.78,うん。いいよ。,NONE,NONE
IS1002b.D.argumentstructs.Rutger.11,D,731.984,750.49,馬鹿げた質問かもしれませんが、最初に、コンピューターの出現によりテレテキストは時代遅れになるだろうと言われました。この 2 つがどのように関連しているのか理解できません。コンピューターとテレテキストは、なぜ一方が他方の必要性を排除するのでしょうか。理解できません。,IS1002b.A.argumentstructs.Rutger.5,"IS1002b.A.argumentstructs.Rutger.7, IS1002b.C.argumentstructs.Rutger.5, IS1002b.D.argumentstructs.Rutger.12"
IS1002b.A.argumentstructs.Rutger.7,A,750.6,758.18,まあ、ここで私たちが取り組んでいるのは、たとえばテレビを介したインターネットというアイデアかもしれません。それが私たちにできることにつながるかもしれません。,IS1002b.D.argumentstructs.Rutger.11,IS1002b.C.argumentstructs.Rutger.3
IS1002b.C.argumentstructs.Rutger.3,C,757.41,768.128,ええ、彼らが基本的に目指しているのは、数年前にはテレテキストが最も簡単な方法でスケジュールや次の番組などを確認するために使われていたということです。,IS1002b.A.argumentstructs.Rutger.7,IS1002b.B.argumentstructs.Rutger.9
IS1002b.B.argumentstructs.Rutger.9,B,764.56,765.34,スケジュール。,IS1002b.C.argumentstructs.Rutger.3,IS1002b.B.argumentstructs.Rutger.10
IS1002b.B.argumentstructs.Rutger.10,B,767.49,770.77,ええと、ご存知のとおり、コマーシャルがあっても何を見ているのかを知るためです。,IS1002b.B.argumentstructs.Rutger.9,IS1002b.C.argumentstructs.Rutger.4
IS1002b.C.argumentstructs.Rutger.4,C,770.8,773.01,はい、今はインターネットで見ることができます。,IS1002b.B.argumentstructs.Rutger.10,NONE
IS1002b.D.argumentstructs.38,D,771.03,771.42,わかった。,NONE,NONE
IS1002b.C.argumentstructs.Rutger.5,C,773.01,777.81,しかし、同じ商品が登場するまでは、やはりテレテキストの方がはるかに便利だと私は思います。,IS1002b.D.argumentstructs.Rutger.11,NONE
IS1002b.B.argumentstructs.38,B,774.46,775.9,私はそう思う,NONE,NONE
IS1002b.D.argumentstructs.Rutger.12,D,777.78,794.64,ええ、そうですね、私はコンピューターとテレビのクロスオーバーが理解できません。ある意味ではクロスオーバーは理解できますが、リモコンはテレビで使用されます。つまり、クロスオーバーしてコンピューターでテレビを見るようになると、リモコンの必要性が失われます。,IS1002b.D.argumentstructs.Rutger.11,"IS1002b.B.argumentstructs.Rutger.11, IS1002b.C.argumentstructs.Rutger.6, IS1002b.A.argumentstructs.Rutger.8"
IS1002b.B.argumentstructs.Rutger.11,B,778.23,778.74,同意します。,IS1002b.D.argumentstructs.Rutger.12,NONE
IS1002b.C.argumentstructs.Rutger.6,C,783.44,784.97,そうだね、でもまだ起こってないよ。そうだね。,IS1002b.D.argumentstructs.Rutger.12,NONE
IS1002b.A.argumentstructs.Rutger.8,A,785.06,786.81,まあ、あなたはすでにデジタルテレビをお持ちです。,IS1002b.D.argumentstructs.Rutger.12,"IS1002b.B.argumentstructs.Rutger.12, IS1002b.A.argumentstructs.Rutger.9, IS1002b.A.argumentstructs.Rutger.10"
IS1002b.B.argumentstructs.39,B,788.36,792.08,ええ。,NONE,NONE
IS1002b.B.argumentstructs.Rutger.12,B,794.13,794.42,うん。,IS1002b.A.argumentstructs.Rutger.8,NONE
IS1002b.A.argumentstructs.Rutger.9,A,794.24,808.549,例えばデジタルテレビシステムでは、ボタンを押すだけで広告の中のものを購入したり、カタログを閲覧したりすることができます。私の家族は、,IS1002b.A.argumentstructs.Rutger.8,NONE
IS1002b.B.argumentstructs.40,B,800.75,800.98,うんうん。,NONE,NONE
