ae_id,speaker,start_time,end_time,sentence,source,targets
ES2007c.D.argumentstructs.32,D,1440.03,1445.84,そして、マーケティングに関しては、人々はそれが目的なので、,NONE,NONE
ES2007c.D.argumentstructs.Erik.9,D,1447.02,1449.86,結局のところ、それが適切に機能するかどうかはわかりません。,NONE,"ES2007c.A.argumentstructs.Erik.14, ES2007c.D.argumentstructs.Erik.11, ES2007c.A.argumentstructs.Erik.15"
ES2007c.A.argumentstructs.Erik.14,A,1450.29,1456.32,もちろん、そうです。100%、それがあなたの最初の考えです。ああ、それは買わない、効果があるかどうかわからないから、と考えます。,ES2007c.D.argumentstructs.Erik.9,ES2007c.D.argumentstructs.Erik.10
ES2007c.D.argumentstructs.Erik.10,D,1451.07,1453.1,まあ、そうだけど、そうじゃないような気がする,ES2007c.A.argumentstructs.Erik.14,NONE
ES2007c.D.argumentstructs.Erik.11,D,1456.39,1463.216,ええ、でも見た目はいいです。見た目がよければ、ただ飾りとして置いておいてもいいでしょう。,ES2007c.D.argumentstructs.Erik.9,NONE
ES2007c.A.argumentstructs.Erik.15,A,1463.16,1467.03,さて、お二人はこのことについてどう思いますか？,ES2007c.D.argumentstructs.Erik.9,ES2007c.C.argumentstructs.Erik.10
ES2007c.C.argumentstructs.21,C,1467.22,1470.86,Bluetoothの利点は、他のデバイスと同期できることです。,NONE,NONE
ES2007c.D.argumentstructs.33,D,1468.12,1468.6,でも、,NONE,NONE
ES2007c.C.argumentstructs.Erik.10,C,1471.63,1472.46,電子機器？,ES2007c.A.argumentstructs.Erik.15,"ES2007c.A.argumentstructs.Erik.16, ES2007c.D.argumentstructs.Erik.12"
ES2007c.A.argumentstructs.Erik.16,A,1471.7,1473.89,ええ、私が理解できないのは,ES2007c.C.argumentstructs.Erik.10,NONE
ES2007c.D.argumentstructs.Erik.12,D,1473.1,1474.47,いつでも挿入できますよ。,ES2007c.C.argumentstructs.Erik.10,ES2007c.C.argumentstructs.Erik.11
ES2007c.C.argumentstructs.Erik.11,C,1475.12,1476.69,はい、基本的にはそれができるということですね？,ES2007c.D.argumentstructs.Erik.12,ES2007c.A.argumentstructs.Erik.17
ES2007c.A.argumentstructs.Erik.17,A,1477.0,1482.01,そうです。そして、これが使われるのはテレビだけです。,ES2007c.C.argumentstructs.Erik.11,"ES2007c.D.argumentstructs.Erik.13, ES2007c.A.argumentstructs.Erik.18"
ES2007c.D.argumentstructs.Erik.13,D,1483.17,1485.988,ええ、でも、つまり、人々は,ES2007c.A.argumentstructs.Erik.17,NONE
ES2007c.A.argumentstructs.Erik.18,A,1485.27,1491.21,そうなると、Bluetooth を搭載したテレビが必要になるわけですが、そんなテレビは存在しないですよね？,ES2007c.A.argumentstructs.Erik.17,ES2007c.D.argumentstructs.Erik.14
ES2007c.D.argumentstructs.Erik.14,D,1489.41,1500.64,そうですね、人々に買われるものを考えるなら、それを新しく、最先端のものにしなければなりません。,ES2007c.A.argumentstructs.Erik.18,"ES2007c.A.argumentstructs.Erik.19, ES2007c.B.argumentstructs.Erik.14, ES2007c.A.argumentstructs.Erik.21, ES2007c.D.argumentstructs.Erik.15"
ES2007c.B.argumentstructs.29,B,1489.96,1490.32,良い,NONE,NONE
ES2007c.A.argumentstructs.Erik.19,A,1498.95,1501.33,そうなるとテレビも作らなければならなくなります。,ES2007c.D.argumentstructs.Erik.14,NONE
ES2007c.B.argumentstructs.Erik.14,B,1503.52,1517.46,たとえば、Bluetooth を使用すると、携帯電話に電話がかかってきたが、携帯電話が階下などにある場合でも、テレビで「今この人から電話がかかってきている」ということが確認できるようになります。,ES2007c.D.argumentstructs.Erik.14,ES2007c.A.argumentstructs.Erik.20
ES2007c.B.argumentstructs.30,B,1518.52,1524.1,そういうこと。いや、,NONE,NONE
ES2007c.A.argumentstructs.Erik.20,A,1519.19,1523.01,いいえ、それはテレビに付属の電話機になります。,ES2007c.B.argumentstructs.Erik.14,ES2007c.C.argumentstructs.Erik.12
ES2007c.C.argumentstructs.Erik.12,C,1522.98,1525.648,ああ、それはリモコンではないだろう、つまり,ES2007c.A.argumentstructs.Erik.20,ES2007c.B.argumentstructs.Erik.15
ES2007c.A.argumentstructs.36,A,1524.88,1525.97,ええ、そして私は,NONE,NONE
ES2007c.B.argumentstructs.Erik.15,B,1525.67,1529.696,いいえ、でもリモコンにBluetoothがあれば,ES2007c.C.argumentstructs.Erik.12,NONE
ES2007c.A.argumentstructs.Erik.21,A,1530.25,1539.52,いや、基本的にテレビは Bluetooth 対応でなければなりません。そして、そんなものは存在しません。,ES2007c.D.argumentstructs.Erik.14,ES2007c.B.argumentstructs.Erik.16
ES2007c.B.argumentstructs.Erik.16,B,1531.2,1538.832,テレビでね。私はただ利点を見つけようとしていただけ。,ES2007c.A.argumentstructs.Erik.21,NONE
ES2007c.C.argumentstructs.22,C,1535.89,1536.11,うーん。,NONE,NONE
ES2007c.D.argumentstructs.34,D,1556.5,1567.79,しかし、私たちはすでに存在しているもの、そして人々がすでに見たり、手に入れたりしているものに固執していると思います。何か新しいものを望むなら、すでにあるものから離れる必要があります,NONE,NONE
ES2007c.A.argumentstructs.Erik.22,A,1564.03,1564.41,わかった。,ES2007c.D.argumentstructs.Erik.15,NONE
ES2007c.D.argumentstructs.Erik.15,D,1569.16,1572.19,そして創造的に行動してください。,ES2007c.D.argumentstructs.Erik.14,ES2007c.A.argumentstructs.Erik.22
