ae_id,speaker,start_time,end_time,sentence,source,targets
ES2007b.C.argumentstructs.Erik.1,C,510.33,526.21,1 つ質問があります。これはどの程度制御できるのかわかりませんが、赤外線信号に関して、受信ユニットであるテレビからどのくらい離れていても操作できるのかを制御できるのでしょうか。つまり、強力な信号ストリームを備えたものが欲しいのかもしれません。,NONE,"ES2007b.A.argumentstructs.Erik.1, ES2007b.B.argumentstructs.Erik.1, ES2007b.B.argumentstructs.Erik.2, ES2007b.D.argumentstructs.Erik.2"
ES2007b.A.argumentstructs.Erik.1,A,526.44,528.85,あなたのテレビはどれくらい離れていますか？,ES2007b.C.argumentstructs.Erik.1,ES2007b.A.argumentstructs.Erik.2
ES2007b.B.argumentstructs.Erik.1,B,527.71,528.08,うん。,ES2007b.C.argumentstructs.Erik.1,NONE
ES2007b.A.argumentstructs.Erik.2,A,529.92,540.23,これ以上遠くまで届くことは決してないでしょう。サッカー場ほどの大きさのテレビでもない限り、そこまで遠くまで届く必要はないですよね？壁を通り抜ける必要はありません。壁越しに見ることはないのですから。,ES2007b.A.argumentstructs.Erik.1,ES2007b.D.argumentstructs.Erik.1
ES2007b.C.argumentstructs.8,C,530.08,530.19,えー,NONE,NONE
ES2007b.B.argumentstructs.9,B,530.92,532.33,まあ、問題は、ええと、あなたはそうではないということです,NONE,NONE
ES2007b.D.argumentstructs.Erik.1,D,541.19,550.575,そうですが、もしあなたが別の部屋で電話をしていて、テレビを消す必要があるとか、本当に部屋に入りたくない場合は、電話を置いて別の部屋に行ってください。,ES2007b.A.argumentstructs.Erik.2,ES2007b.C.argumentstructs.Erik.2
ES2007b.C.argumentstructs.Erik.2,C,541.34,541.89,それは本当だ。,ES2007b.D.argumentstructs.Erik.1,NONE
ES2007b.B.argumentstructs.Erik.2,B,549.17,554.84,そうですね、もしお望みであれば、壁を通り抜けられるほど強い信号を作ることもできます。,ES2007b.C.argumentstructs.Erik.1,NONE
ES2007b.B.argumentstructs.10,B,556.58,559.53,私はそれについては考えなかったが,NONE,NONE
ES2007b.D.argumentstructs.Erik.2,D,558.92,560.6,Bluetoothはどうですか？,ES2007b.C.argumentstructs.Erik.1,"ES2007b.D.argumentstructs.Erik.3, ES2007b.D.argumentstructs.Erik.4, ES2007b.B.argumentstructs.Erik.5"
ES2007b.D.argumentstructs.13,D,562.77,563.76,赤外線を使用する代わりに、,NONE,NONE
ES2007b.D.argumentstructs.Erik.3,D,564.98,565.52,Bluetoothを使用します。,ES2007b.D.argumentstructs.Erik.2,ES2007b.B.argumentstructs.Erik.3
ES2007b.B.argumentstructs.Erik.3,B,566.98,567.43,なぜだめですか ？,ES2007b.D.argumentstructs.Erik.3,NONE
ES2007b.D.argumentstructs.Erik.4,D,569.22,570.27,それはより良い信号ではないでしょうか?,ES2007b.D.argumentstructs.Erik.2,ES2007b.B.argumentstructs.Erik.4
ES2007b.B.argumentstructs.Erik.4,B,569.28,574.72,ただ、コストが高くなると思うし、実際に使うかどうかもわかりません。,ES2007b.D.argumentstructs.Erik.4,ES2007b.A.argumentstructs.Erik.3
ES2007b.A.argumentstructs.Erik.3,A,572.15,578.15,そうですね、あなたは物事を複雑にしすぎないようにしたいようですね。私たちにはそれが必要ないのは分かっています。,ES2007b.B.argumentstructs.Erik.4,NONE
ES2007b.D.argumentstructs.14,D,576.89,602.36,うーん。,NONE,NONE
ES2007b.B.argumentstructs.Erik.5,B,577.66,585.88,それは素敵なアイデアです、ええ、それはかなりいいですが、私はそうは思いません、あなたもテレビを見たいなら、あなたは部屋にいるでしょう、あなたは,ES2007b.D.argumentstructs.Erik.2,"ES2007b.A.argumentstructs.Erik.4, ES2007b.B.argumentstructs.Erik.7, ES2007b.D.argumentstructs.Erik.5"
ES2007b.A.argumentstructs.Erik.4,A,585.12,602.144,そうです、まさにそうです。基本的に、私たちはテレビのリモコンユニットを設計して販売しています。ヘッドセットを差し込んでノートパソコンなどに接続できるものを設計しているわけではありません。,ES2007b.B.argumentstructs.Erik.5,NONE
ES2007b.B.argumentstructs.11,B,586.46,586.67,しかし,NONE,NONE
ES2007b.B.argumentstructs.Erik.7,B,603.07,606.43,ああ、私たちはあなたが私が,ES2007b.B.argumentstructs.Erik.5,ES2007b.B.argumentstructs.Erik.6
ES2007b.B.argumentstructs.Erik.6,B,609.12,612.256,後の段階でわかるかもしれないが、私はそうは思わない,ES2007b.B.argumentstructs.Erik.7,NONE
ES2007b.D.argumentstructs.Erik.5,D,609.45,610.14,それは単なるアイデアです。,ES2007b.B.argumentstructs.Erik.5,ES2007b.A.argumentstructs.Erik.5
ES2007b.A.argumentstructs.Erik.5,A,612.8,613.32,わかった。,ES2007b.D.argumentstructs.Erik.5,NONE
ES2007b.A.argumentstructs.20,A,632.22,643.73,そうですね、よくやった、キャサリン。ええと、ガブリエル、そういったことについてあなたの意見を聞かせてください。,NONE,NONE
