ae_id,speaker,start_time,end_time,sentence,source,targets
IS1009d.D.argumentstructs.Daan.9,D,1459.37,1467.89,準備はいいですか。それでは、みんなで思ったことを言いましょう。さて、それでは,NONE,"IS1009d.D.argumentstructs.Daan.10, IS1009d.D.argumentstructs.Daan.11, IS1009d.D.argumentstructs.Daan.12, IS1009d.D.argumentstructs.Daan.15, IS1009d.D.argumentstructs.Daan.17, IS1009d.D.argumentstructs.Daan.20, IS1009d.D.argumentstructs.Daan.21"
IS1009d.D.argumentstructs.Daan.10,D,1472.27,1473.41,私は1点を付けました。,IS1009d.D.argumentstructs.Daan.9,NONE
IS1009d.D.argumentstructs.Daan.11,D,1474.8,1484.97,待って、1 が良いとしたら何だと思いますか。7 が最悪です。えーと、形はどんな感じだと思いますか。1 ならいいです。あとは Be Betsy ですか。,IS1009d.D.argumentstructs.Daan.9,"IS1009d.B.argumentstructs.Daan.2, IS1009d.A.argumentstructs.Daan.15, IS1009d.C.argumentstructs.Daan.7"
IS1009d.B.argumentstructs.Daan.2,B,1478.47,1482.3,もっと悪いです。1つ。,IS1009d.D.argumentstructs.Daan.11,NONE
IS1009d.A.argumentstructs.Daan.15,A,1485.05,1486.64,はい、形は一つだと思います。,IS1009d.D.argumentstructs.Daan.11,NONE
IS1009d.C.argumentstructs.Daan.7,C,1486.66,1489.36,ええ、私のええ、形も一つです。,IS1009d.D.argumentstructs.Daan.11,NONE
IS1009d.D.argumentstructs.Daan.12,D,1486.83,1492.73,はい、そうですね、1つですね。サイズはどうですか?,IS1009d.D.argumentstructs.Daan.9,IS1009d.D.argumentstructs.Daan.13
IS1009d.D.argumentstructs.Daan.13,D,1496.76,1497.856,サイズについて,IS1009d.D.argumentstructs.Daan.12,"IS1009d.A.argumentstructs.Daan.16, IS1009d.A.argumentstructs.Daan.17, IS1009d.B.argumentstructs.Daan.3, IS1009d.C.argumentstructs.Daan.8"
IS1009d.A.argumentstructs.Daan.16,A,1497.56,1498.86,あなたはそれに4をつけました。,IS1009d.D.argumentstructs.Daan.13,IS1009d.D.argumentstructs.Daan.14
IS1009d.D.argumentstructs.Daan.14,D,1498.63,1501.78,私は 4 点を付けました。そうですね、平均的なレベルだと思います。,IS1009d.A.argumentstructs.Daan.16,NONE
IS1009d.A.argumentstructs.Daan.17,A,1502.47,1506.99,うーん、分かりません。少なくとも 2 点は付けると思います。,IS1009d.D.argumentstructs.Daan.13,NONE
IS1009d.D.argumentstructs.26,D,1507.16,1511.4,分かりました。そうですね。,NONE,NONE
IS1009d.B.argumentstructs.Daan.3,B,1509.75,1510.09,1つ。,IS1009d.D.argumentstructs.Daan.13,NONE
IS1009d.C.argumentstructs.Daan.8,C,1511.75,1514.41,はい、私もそう思います。かなり小さいですから。,IS1009d.D.argumentstructs.Daan.13,NONE
IS1009d.D.argumentstructs.Daan.15,D,1513.38,1523.23,はい。あなたはデザイナーですから、もちろん 1 点を付けたいですよね。では、色はどうでしょうか?,IS1009d.D.argumentstructs.Daan.9,"IS1009d.D.argumentstructs.Daan.16, IS1009d.A.argumentstructs.Daan.18, IS1009d.B.argumentstructs.Daan.4"
IS1009d.A.argumentstructs.24,A,1525.96,1526.9,色は私,NONE,NONE
IS1009d.D.argumentstructs.Daan.16,D,1526.68,1530.59,色彩、私は 1 点をつけました。明るくて温かみのある色合いがとても気に入りました。,IS1009d.D.argumentstructs.Daan.15,NONE
IS1009d.A.argumentstructs.Daan.18,A,1528.1,1528.4,1つ。,IS1009d.D.argumentstructs.Daan.15,IS1009d.A.argumentstructs.Daan.19
IS1009d.A.argumentstructs.Daan.19,A,1529.88,1531.99,色が好きです。1つ。,IS1009d.A.argumentstructs.Daan.18,NONE
IS1009d.B.argumentstructs.Daan.4,B,1531.22,1532.2,1つ。はい。,IS1009d.D.argumentstructs.Daan.15,NONE
