ae_id,speaker,start_time,end_time,sentence,source,targets
TS3004d.D.argumentstructs.Daan.5,D,1276.55,1283.64,ああ。わかりました。新機能。テクノ技術革新？,NONE,"TS3004d.C.argumentstructs.Daan.6, TS3004d.D.argumentstructs.Daan.6, TS3004d.B.argumentstructs.Daan.8, TS3004d.D.argumentstructs.Daan.8, TS3004d.B.argumentstructs.Daan.10, TS3004d.D.argumentstructs.Daan.9, TS3004d.A.argumentstructs.Daan.8, TS3004d.B.argumentstructs.Daan.11"
TS3004d.C.argumentstructs.13,C,1277.15,1277.36,うん。,NONE,NONE
TS3004d.A.argumentstructs.13,A,1279.96,1280.56,わかった。,NONE,NONE
TS3004d.C.argumentstructs.Daan.6,C,1283.65,1286.35,音声機能と色。色。,TS3004d.D.argumentstructs.Daan.5,NONE
TS3004d.D.argumentstructs.Daan.6,D,1284.732,1290.54,音声機能は新しくなりました。スクロールホイールとスライド。スライドはかなり新しいと思います。,TS3004d.D.argumentstructs.Daan.5,TS3004d.A.argumentstructs.Daan.6
TS3004d.B.argumentstructs.Daan.8,B,1285.88,1289.59,スクロールホイール、バックライト、スライド。,TS3004d.D.argumentstructs.Daan.5,NONE
TS3004d.A.argumentstructs.Daan.6,A,1289.48,1292.958,スライドは新しいものではありません。いいえ。すでに持っています,TS3004d.D.argumentstructs.Daan.6,"TS3004d.D.argumentstructs.Daan.7, TS3004d.A.argumentstructs.Daan.7, TS3004d.B.argumentstructs.Daan.9"
TS3004d.D.argumentstructs.Daan.7,D,1292.02,1295.36,えっと、私はそれを電話でしか見たことがなく、リモコンでは見たことがありませんでした。,TS3004d.A.argumentstructs.Daan.6,NONE
TS3004d.A.argumentstructs.Daan.7,A,1294.15,1301.93,ええと、私はすでに V_C_R_ を持っていますが、それは 1988 年頃のものです。そしてそれらはすべてスライドを備えています。だからそれは新しいものではありません。ええ。,TS3004d.A.argumentstructs.Daan.6,NONE
TS3004d.D.argumentstructs.12,D,1296.93,1297.77,わかった。,NONE,NONE
TS3004d.B.argumentstructs.Daan.9,B,1299.24,1302.78,でも、ボタンもスライドして出てきますか？わかりました。,TS3004d.A.argumentstructs.Daan.6,NONE
TS3004d.D.argumentstructs.Daan.8,D,1302.88,1309.33,わかりました。それで、ライトは？それは新しいのですか？ライトは新しいです。スクロールホイール。音声？,TS3004d.D.argumentstructs.Daan.5,TS3004d.C.argumentstructs.Daan.7
TS3004d.A.argumentstructs.14,A,1306.84,1307.3,えっと、AFのために,NONE,NONE
TS3004d.C.argumentstructs.Daan.7,C,1307.19,1308.88,うーん、かなり新しいと思います。,TS3004d.D.argumentstructs.Daan.8,TS3004d.C.argumentstructs.Daan.8
TS3004d.B.argumentstructs.14,B,1307.54,1307.82,はい。,NONE,NONE
TS3004d.C.argumentstructs.Daan.8,C,1310.33,1311.07,スピーチは新しいです。,TS3004d.C.argumentstructs.Daan.7,NONE
TS3004d.B.argumentstructs.Daan.10,B,1312.05,1313.653,色が違うので,TS3004d.D.argumentstructs.Daan.5,NONE
TS3004d.D.argumentstructs.Daan.9,D,1313.82,1317.33,そうですね、リモコンの前面が違うのも新しいと思います。,TS3004d.D.argumentstructs.Daan.5,NONE
TS3004d.A.argumentstructs.Daan.8,A,1320.17,1323.944,そこにはゲームはありません。それは1つではなく、また2つです。しかし,TS3004d.D.argumentstructs.Daan.5,NONE
TS3004d.B.argumentstructs.15,B,1320.84,1321.81,そして私たちは,NONE,NONE
TS3004d.B.argumentstructs.Daan.11,B,1324.68,1328.77,しかし、ホームステーションもあります。今は忘れていますが、,TS3004d.D.argumentstructs.Daan.5,TS3004d.A.argumentstructs.Daan.9
TS3004d.A.argumentstructs.15,A,1325.46,1325.76,もしあなたが,NONE,NONE
TS3004d.A.argumentstructs.Daan.9,A,1329.61,1332.3,はい。ああ、そうなんです。充電式です。,TS3004d.B.argumentstructs.Daan.11,TS3004d.B.argumentstructs.Daan.12
TS3004d.B.argumentstructs.Daan.12,B,1331.47,1333.04,充電はしません。,TS3004d.A.argumentstructs.Daan.9,NONE
TS3004d.B.argumentstructs.16,B,1358.61,1390.12,はい。そうです。えっと、無題？ええ、関係ありません。保存。N,NONE,NONE
TS3004d.C.argumentstructs.14,C,1369.07,1391.82,いいえ、そうだと思います。わかりました。うーん、2つだと思います。,NONE,NONE
TS3004d.D.argumentstructs.13,D,1378.29,1390.3,7人全員です。いや、私たちは特別に新しいとかそういうことではありません。,NONE,NONE
TS3004d.A.argumentstructs.16,A,1389.29,1390.59,いいえ、まだ 2 のままです。,NONE,NONE
