ae_id,speaker,start_time,end_time,sentence,source,targets
IS1004c.A.argumentstructs.14,A,326.64,332.0,そうですね、これは確かに次のスライドにあります。そうではありませんか?,NONE,NONE
IS1004c.B.argumentstructs.Rutger.1,B,334.71,336.17,それで、どの果物を考えていますか？,NONE,"IS1004c.D.argumentstructs.Rutger.1, IS1004c.A.argumentstructs.Rutger.1, IS1004c.B.argumentstructs.Rutger.2"
IS1004c.D.argumentstructs.22,D,352.16,361.95,ある種の野菜、野菜の代わりにある種の自然物、あるいは何か自然物を思い出させるかもしれません。,NONE,NONE
IS1004c.C.argumentstructs.6,C,361.94,362.22,うんうん。,NONE,NONE
IS1004c.D.argumentstructs.Rutger.1,D,363.26,365.76,でもそれは,IS1004c.B.argumentstructs.Rutger.1,NONE
IS1004c.A.argumentstructs.Rutger.1,A,364.57,367.9,それで、L_C_D_ にバナナを表示できるかもしれません。,IS1004c.B.argumentstructs.Rutger.1,NONE
IS1004c.B.argumentstructs.Rutger.2,B,369.216,378.665,ああ、リモコンをフルーツの形にしたいのか、それともフルーツのロゴのようなものが欲しいのか,IS1004c.B.argumentstructs.Rutger.1,"IS1004c.C.argumentstructs.Rutger.1, IS1004c.D.argumentstructs.Rutger.3, IS1004c.B.argumentstructs.Rutger.3, IS1004c.B.argumentstructs.Rutger.5, IS1004c.D.argumentstructs.Rutger.10, IS1004c.B.argumentstructs.Rutger.11, IS1004c.D.argumentstructs.Rutger.11"
IS1004c.C.argumentstructs.Rutger.1,C,377.22,384.63,ボタンは果物の形をしており、ボタンは果物のフレークの形をしており、リンゴやバナナなどといったものです。,IS1004c.B.argumentstructs.Rutger.2,"IS1004c.D.argumentstructs.Rutger.2, IS1004c.A.argumentstructs.Rutger.2"
IS1004c.D.argumentstructs.Rutger.2,D,378.07,379.76,ああ、多分その形,IS1004c.C.argumentstructs.Rutger.1,NONE
IS1004c.D.argumentstructs.Rutger.3,D,384.4,399.51,いいえ、あまり焦点を当てすぎず、あまり焦点を当てすぎず、果物に似すぎず、来年のトレンドは異なるでしょう。だから、私たちは本当に執着すべきではありません,IS1004c.B.argumentstructs.Rutger.2,NONE
IS1004c.A.argumentstructs.Rutger.2,A,386.6,389.963,チャンネル1のApple。,IS1004c.C.argumentstructs.Rutger.1,NONE
IS1004c.C.argumentstructs.7,C,393.06,397.03,うんうん。うんうん。,NONE,NONE
IS1004c.D.argumentstructs.23,D,400.71,402.94,トレンドに,NONE,NONE
IS1004c.B.argumentstructs.Rutger.3,B,402.44,408.752,つまり、半分は果物のようで、半分は象のように見えるもの。,IS1004c.B.argumentstructs.Rutger.2,"IS1004c.D.argumentstructs.Rutger.4, IS1004c.C.argumentstructs.Rutger.2"
IS1004c.D.argumentstructs.Rutger.4,D,406.09,408.69,例えば、そうですね。アフリカとか象とか？,IS1004c.B.argumentstructs.Rutger.3,NONE
IS1004c.C.argumentstructs.Rutger.2,C,409.11,411.83,それは後で話し合うことができます。,IS1004c.B.argumentstructs.Rutger.3,IS1004c.A.argumentstructs.Rutger.3
IS1004c.A.argumentstructs.Rutger.3,A,410.266,411.84,わかった。,IS1004c.C.argumentstructs.Rutger.2,NONE
IS1004c.B.argumentstructs.27,B,411.06,412.93,ええ、そうじゃないんです、よく分かりません,NONE,NONE
IS1004c.B.argumentstructs.Rutger.5,B,414.69,428.05,でも、もしそれが本当にみんなにアピールするなら、ファッションの達人向けに、どこか隅に小さなフルーツの絵を飾るなどするといいかもしれません。でも、オレンジがどれだけ人間工学的かはわかりません。,IS1004c.B.argumentstructs.Rutger.2,NONE
IS1004c.D.argumentstructs.Rutger.5,D,426.84,432.62,そうですね、おそらく私たちは何に焦点を当てているのかをさらに具体的に指定する必要があるかもしれません。,NONE,NONE
IS1004c.B.argumentstructs.28,B,440.82,441.22,実を結ぶ？,NONE,NONE
IS1004c.D.argumentstructs.24,D,452.31,454.9,できた,NONE,NONE
IS1004c.D.argumentstructs.Rutger.7,D,456.29,460.24,aana クーラーのリモコンを購入します。,NONE,IS1004c.B.argumentstructs.Rutger.7
IS1004c.B.argumentstructs.Rutger.7,B,461.08,462.54,でも、えっと、フルーツってクールなんですか？,IS1004c.D.argumentstructs.Rutger.7,IS1004c.D.argumentstructs.Rutger.8
IS1004c.D.argumentstructs.25,D,463.28,463.56,何 ？,NONE,NONE
IS1004c.A.argumentstructs.Rutger.4,A,463.92,464.49,それは質問です。,NONE,IS1004c.B.argumentstructs.Rutger.8
IS1004c.D.argumentstructs.Rutger.8,D,464.88,465.14,何 ？,IS1004c.B.argumentstructs.Rutger.7,NONE
IS1004c.B.argumentstructs.Rutger.8,B,465.38,466.27,果物は涼しいですか？,IS1004c.A.argumentstructs.Rutger.4,"IS1004c.D.argumentstructs.Rutger.9, IS1004c.B.argumentstructs.Rutger.10"
IS1004c.D.argumentstructs.26,D,470.76,471.49,新しいトレンドは,NONE,NONE
IS1004c.D.argumentstructs.Rutger.9,D,472.84,473.696,の,IS1004c.B.argumentstructs.Rutger.8,NONE
IS1004c.B.argumentstructs.29,B,480.02,481.49,リンゴを持っているからといって,NONE,NONE
IS1004c.B.argumentstructs.Rutger.10,B,482.59,485.424,彼らの製品に「フルーツがクール」と書いてあるからといって、フルーツがクールだというわけではありません。,IS1004c.B.argumentstructs.Rutger.8,NONE
IS1004c.D.argumentstructs.Rutger.10,D,486.72,493.44,いいえ、私たちはそれについて何らかの形状のデバイスについて考える必要があると思います,IS1004c.B.argumentstructs.Rutger.2,NONE
IS1004c.B.argumentstructs.Rutger.11,B,495.62,505.152,わかりました。でも、使いやすく、持ちやすくなければなりません。梨やスイカは欲しくないですよね。,IS1004c.B.argumentstructs.Rutger.2,NONE
IS1004c.D.argumentstructs.27,D,502.63,502.85,うん。,NONE,NONE
IS1004c.D.argumentstructs.Rutger.11,D,505.9,510.95,使いやすい果物の形を見つけられると思いませんか？,IS1004c.B.argumentstructs.Rutger.2,IS1004c.B.argumentstructs.Rutger.12
IS1004c.B.argumentstructs.Rutger.12,B,510.08,513.67,そうですね、おそらく私が思いつくのはバナナとキュウリくらいでしょう。,IS1004c.D.argumentstructs.Rutger.11,"IS1004c.C.argumentstructs.Rutger.3, IS1004c.B.argumentstructs.Rutger.13, IS1004c.A.argumentstructs.Rutger.5, IS1004c.B.argumentstructs.Rutger.14"
IS1004c.C.argumentstructs.8,C,512.04,512.52,バナナ。,NONE,NONE
IS1004c.C.argumentstructs.Rutger.3,C,514.46,514.81,うんうん。,IS1004c.B.argumentstructs.Rutger.12,NONE
IS1004c.B.argumentstructs.Rutger.13,B,515.58,516.33,私は知らないよ。,IS1004c.B.argumentstructs.Rutger.12,NONE
IS1004c.D.argumentstructs.28,D,515.59,516.29,またはm,NONE,NONE
IS1004c.A.argumentstructs.Rutger.5,A,515.89,516.4,長すぎるかも知れません。,IS1004c.B.argumentstructs.Rutger.12,NONE
IS1004c.B.argumentstructs.Rutger.14,B,518.16,519.66,多分。緑が多すぎる。,IS1004c.B.argumentstructs.Rutger.12,IS1004c.D.argumentstructs.Rutger.12
IS1004c.D.argumentstructs.Rutger.12,D,519.25,520.928,多分。,IS1004c.B.argumentstructs.Rutger.14,NONE
