ae_id,speaker,start_time,end_time,sentence,source,targets
ES2002c.D.argumentstructs.Erik.20,D,2011.25,2038.806,今頭に浮かんでいることの 1 つは、会議を効率的に終わらせて多くの決定を下そうとしているものの、かなりローテクに傾いていて、ゴム製のボタンとプラスチックのフレームで、まるで既存のリモコンを再現しているような感じだということです。このハイテクでユーザーフレンドリーなテーマを実際にどのように実現しているのか、つまり、その目標を達成するために何を使用しているのかを考えるべきでしょうか。,NONE,ES2002c.B.argumentstructs.Erik.23
ES2002c.B.argumentstructs.37,B,2015.07,2025.23,うん。わかった。,NONE,NONE
ES2002c.B.argumentstructs.Erik.23,B,2038.4,2041.64,ボタンのバックライトなどのようなものも考えられます。,ES2002c.D.argumentstructs.Erik.20,"ES2002c.D.argumentstructs.Erik.21, ES2002c.A.argumentstructs.Erik.14, ES2002c.A.argumentstructs.Erik.16"
ES2002c.D.argumentstructs.Erik.21,D,2040.69,2043.59,わかりました、バックライトがあればいいですね。,ES2002c.B.argumentstructs.Erik.23,NONE
ES2002c.A.argumentstructs.Erik.14,A,2042.64,2057.47,または、透明なケースもあります。黄色に光るタイプのケースで、黄色が見えるのですが、暗闇の中では、まるで生きているかのように見えます。ほんのりと控えめな感じで。,ES2002c.B.argumentstructs.Erik.23,"ES2002c.D.argumentstructs.Erik.22, ES2002c.B.argumentstructs.Erik.24, ES2002c.B.argumentstructs.Erik.25"
ES2002c.D.argumentstructs.Erik.22,D,2044.65,2045.656,そうだね、それは,ES2002c.A.argumentstructs.Erik.14,NONE
ES2002c.B.argumentstructs.Erik.24,B,2045.94,2047.52,はい、それは良い考えだと思います。,ES2002c.A.argumentstructs.Erik.14,ES2002c.D.argumentstructs.Erik.23
ES2002c.D.argumentstructs.Erik.23,D,2046.67,2047.15,わかった。,ES2002c.B.argumentstructs.Erik.24,NONE
ES2002c.D.argumentstructs.35,D,2054.2,2054.95,はい、もちろんです。,NONE,NONE
ES2002c.B.argumentstructs.Erik.25,B,2056.02,2063.23,S 少し透明なケースなので、黄色、少し黄色がかった色ですが、透けて見えるかもしれません。それがあなたの言いたいことでしょうか？,ES2002c.A.argumentstructs.Erik.14,"ES2002c.D.argumentstructs.Erik.24, ES2002c.A.argumentstructs.Erik.15"
ES2002c.D.argumentstructs.Erik.24,D,2056.9,2057.81,はい、それは本当にいいですね。,ES2002c.B.argumentstructs.Erik.25,NONE
ES2002c.A.argumentstructs.Erik.15,A,2058.68,2059.67,ええ、ええ。,ES2002c.B.argumentstructs.Erik.25,NONE
ES2002c.D.argumentstructs.36,D,2059.53,2059.95,うん。,NONE,NONE
ES2002c.A.argumentstructs.20,A,2060.8,2061.7,うん。,NONE,NONE
ES2002c.A.argumentstructs.Erik.16,A,2062.82,2075.456,あるいは、マウスのように光が走っているかもしれません。コードレスマウスはそれほど電力を消費しません。バッテリーの電力は、戦略的に1つか2つのライトを配置して、,ES2002c.B.argumentstructs.Erik.23,"ES2002c.D.argumentstructs.Erik.25, ES2002c.D.argumentstructs.Erik.26, ES2002c.B.argumentstructs.Erik.26, ES2002c.A.argumentstructs.Erik.17"
ES2002c.D.argumentstructs.Erik.25,D,2065.44,2065.79,もちろん。,ES2002c.A.argumentstructs.Erik.16,NONE
ES2002c.D.argumentstructs.37,D,2068.37,2074.19,うん、うん。うん。もちろん。,NONE,NONE
ES2002c.D.argumentstructs.Erik.26,D,2075.4,2077.11,そうです、彼らはそこから光を発しています。,ES2002c.A.argumentstructs.Erik.16,NONE
ES2002c.A.argumentstructs.Erik.17,A,2077.05,2083.16,そうですが、ケースが透明なので少し光りますが、奇妙にはなりません。,ES2002c.A.argumentstructs.Erik.16,ES2002c.D.argumentstructs.Erik.27
ES2002c.B.argumentstructs.Erik.26,B,2077.17,2077.61,わかった。,ES2002c.A.argumentstructs.Erik.16,NONE
ES2002c.B.argumentstructs.38,B,2079.28,2079.69,ライト。,NONE,NONE
ES2002c.D.argumentstructs.Erik.27,D,2080.02,2080.27,そうだ。,ES2002c.A.argumentstructs.Erik.17,NONE
