ae_id,speaker,start_time,end_time,sentence,source,targets
ES2012c.D.argumentstructs.Rutger.13,D,1341.93,1345.45,製品自体のコストに応じて節約できれば,NONE,"ES2012c.D.argumentstructs.Rutger.14, ES2012c.D.argumentstructs.Rutger.16"
ES2012c.D.argumentstructs.Rutger.14,D,1345.45,1351.21,もっと安い電源を用意して、毎年更新するだけで済むようにできないでしょうか?,ES2012c.D.argumentstructs.Rutger.13,ES2012c.D.argumentstructs.Rutger.15
ES2012c.D.argumentstructs.29,D,1345.45,1345.45,、,NONE,NONE
ES2012c.D.argumentstructs.Rutger.15,D,1352.75,1355.44,10年間の保証の代わりに?,ES2012c.D.argumentstructs.Rutger.14,NONE
ES2012c.D.argumentstructs.Rutger.16,D,1355.44,1360.27,カバーは交換可能なので、毎年新しいものを購入したり、新しいファッションが発売されたら新しいものを購入したりできます。,ES2012c.D.argumentstructs.Rutger.13,"ES2012c.C.argumentstructs.Rutger.21, ES2012c.A.argumentstructs.Rutger.25, ES2012c.B.argumentstructs.Rutger.12, ES2012c.C.argumentstructs.Rutger.22, ES2012c.A.argumentstructs.Rutger.31, ES2012c.A.argumentstructs.Rutger.33, ES2012c.B.argumentstructs.Rutger.19"
ES2012c.C.argumentstructs.Rutger.21,C,1359.12,1359.5,うん。,ES2012c.D.argumentstructs.Rutger.16,NONE
ES2012c.B.argumentstructs.35,B,1360.87,1381.36,うーん。うーん。私,NONE,NONE
ES2012c.A.argumentstructs.Rutger.25,A,1362.85,1378.62,つまり、それは面白いアイデアですね。昔のスウォッチの腕時計のように、電池しか交換されませんでした。流行遅れになると人々は新しいものを買うだけでした。しかし、それまではファッションアイテムとして見られたことがなかったのです。,ES2012c.D.argumentstructs.Rutger.16,"ES2012c.A.argumentstructs.Rutger.26, ES2012c.D.argumentstructs.Rutger.17"
ES2012c.D.argumentstructs.Rutger.17,D,1378.27,1378.63,うん。,ES2012c.A.argumentstructs.Rutger.25,NONE
ES2012c.A.argumentstructs.Rutger.26,A,1378.62,1383.312,ええ、十分な量が製造されていれば、そうです,ES2012c.A.argumentstructs.Rutger.25,NONE
ES2012c.C.argumentstructs.43,C,1380.42,1380.58,何,NONE,NONE
ES2012c.B.argumentstructs.Rutger.12,B,1383.52,1391.22,まったく新しい製品に投資しているという気がしないので、まったく新しいものを購入するよりも、交換可能なカバーを購入してもらう方が簡単な場合もあると思います。,ES2012c.D.argumentstructs.Rutger.16,ES2012c.A.argumentstructs.Rutger.27
ES2012c.A.argumentstructs.Rutger.27,A,1391.16,1409.73,つまり、私たちは、ええと、ええと、b できますが、私の感覚では、現在の電源は、比較的低コストで、長持ちさせることができます。ええと、しかし、人々が毎年カバーを交換したり、毎年新しいカバーを購入したりできるほど安価にできれば、それはさらに良いことです。,ES2012c.B.argumentstructs.Rutger.12,ES2012c.B.argumentstructs.Rutger.13
ES2012c.B.argumentstructs.Rutger.13,B,1394.75,1395.09,うん。,ES2012c.A.argumentstructs.Rutger.27,NONE
ES2012c.B.argumentstructs.36,B,1396.68,1410.11,うーん。そうだね。うーん。,NONE,NONE
ES2012c.C.argumentstructs.Rutger.22,C,1410.1,1412.8,カバーの中に電池を入れたらどうなるでしょうか？,ES2012c.D.argumentstructs.Rutger.16,"ES2012c.D.argumentstructs.Rutger.18, ES2012c.B.argumentstructs.Rutger.14, ES2012c.C.argumentstructs.Rutger.23, ES2012c.A.argumentstructs.Rutger.28, ES2012c.D.argumentstructs.Rutger.19"
ES2012c.D.argumentstructs.Rutger.18,D,1410.47,1410.92,うんうん。,ES2012c.C.argumentstructs.Rutger.22,NONE
ES2012c.B.argumentstructs.Rutger.14,B,1413.67,1419.45,ああ、そうだね。それはいいね。みんな新しいカバーを買う気も起こさせるしね。,ES2012c.C.argumentstructs.Rutger.22,NONE
ES2012c.C.argumentstructs.44,C,1414.35,1416.32,それで、例えば,NONE,NONE
ES2012c.C.argumentstructs.Rutger.23,C,1419.12,1424.22,はい、それではあれを見せていただけますか？これは単なる例です。,ES2012c.C.argumentstructs.Rutger.22,NONE
ES2012c.B.argumentstructs.37,B,1421.21,1421.53,えーと。,NONE,NONE
ES2012c.A.argumentstructs.59,A,1421.53,1422.11,S,NONE,NONE
ES2012c.A.argumentstructs.Rutger.28,A,1422.7,1444.4,ええ、ええ、私は、その点についてすぐに思い浮かぶのは、接続するとすぐに信頼性がなくなるということです。一方、配管接続の利点は、全体が完全にはんだ付けされているため、完全な信頼性が得られることです。しかし、私は、ええと、,ES2012c.C.argumentstructs.Rutger.22,"ES2012c.B.argumentstructs.Rutger.15, ES2012c.C.argumentstructs.Rutger.24"
ES2012c.C.argumentstructs.45,C,1425.61,1440.25,それで、ええ、それは,NONE,NONE
ES2012c.B.argumentstructs.Rutger.15,B,1433.53,1434.26,ああそうだ。,ES2012c.A.argumentstructs.Rutger.28,NONE
ES2012c.B.argumentstructs.38,B,1439.58,1490.11,うん。うん。うん。うん。,NONE,NONE
ES2012c.C.argumentstructs.Rutger.24,C,1441.43,1442.66,真実。,ES2012c.A.argumentstructs.Rutger.28,NONE
ES2012c.A.argumentstructs.60,A,1446.24,1449.32,あなたの言っていることは分かっていますし、あなたの考えも理解しています。,NONE,NONE
ES2012c.D.argumentstructs.Rutger.19,D,1448.06,1465.664,まあ、でも、バッテリーだけではなく、完全に別の部分があります。つまり、この部分は保持する部分で、これは高価な部分で、これはチップのようなもので、これはマイクです。そして、これが電源で、誰もが目にする部分です。そして,ES2012c.C.argumentstructs.Rutger.22,ES2012c.A.argumentstructs.Rutger.30
ES2012c.A.argumentstructs.Rutger.30,A,1465.62,1482.84,もしその道を進むなら、たとえそれより少しコストがかかったとしても、すべてを1つにまとめて作れば、生産コストが安くなり、人々に新しい、つまりまったく新しいものを買うという選択肢を与えることになると思います。,ES2012c.D.argumentstructs.Rutger.19,NONE
ES2012c.D.argumentstructs.Rutger.20,D,1473.95,1475.06,そうですね、おそらくその通りでしょう。,ES2012c.A.argumentstructs.Rutger.31,NONE
ES2012c.A.argumentstructs.Rutger.31,A,1482.84,1504.17,交換可能なカバーの利点は、カバーがまったく付いていなくても、完全に機能することです。つまり、カバーを紛失した場合、完全に新しいリモコンを購入するよりも、新しいカバーに何ユーロでも費やす傾向があるということです。,ES2012c.D.argumentstructs.Rutger.16,"ES2012c.D.argumentstructs.Rutger.20, ES2012c.C.argumentstructs.Rutger.25, ES2012c.B.argumentstructs.Rutger.16"
ES2012c.C.argumentstructs.Rutger.25,C,1488.26,1489.37,ええ、本当です。,ES2012c.A.argumentstructs.Rutger.31,NONE
ES2012c.C.argumentstructs.46,C,1491.26,1500.7,うん、うん。うん。,NONE,NONE
ES2012c.B.argumentstructs.Rutger.16,B,1503.33,1512.29,まあ、カバーに関してはまさにそういうことなんですが、新しい製品を買わなければならないという騙された気持ちにさせることなく、顧客を騙して引き続き私たちの製品にお金を使い続けてもらうようにしているんです。そういうことです。,ES2012c.A.argumentstructs.Rutger.31,"ES2012c.C.argumentstructs.Rutger.26, ES2012c.A.argumentstructs.Rutger.32, ES2012c.C.argumentstructs.Rutger.27"
