ae_id,speaker,start_time,end_time,sentence,source,targets
TS3004a.C.argumentstructs.Daan.5,C,1019.04,1028.878,電池はどうですか？充電器に入れるべきですか？それとも,NONE,TS3004a.A.argumentstructs.Daan.6
TS3004a.D.argumentstructs.10,D,1020.99,1021.99,えーと,NONE,NONE
TS3004a.A.argumentstructs.Daan.6,A,1027.87,1033.14,ああ、それはいいアイデアかもしれませんね。テレビに置いて充電するだけで、電池を使う必要がありません。,TS3004a.C.argumentstructs.Daan.5,"TS3004a.D.argumentstructs.Daan.5, TS3004a.B.argumentstructs.Daan.3, TS3004a.A.argumentstructs.Daan.8, TS3004a.B.argumentstructs.Daan.5"
TS3004a.D.argumentstructs.Daan.5,D,1027.98,1029.85,ママはホームステーションかもしれない。,TS3004a.A.argumentstructs.Daan.6,NONE
TS3004a.B.argumentstructs.8,B,1029.51,1029.9,うん。,NONE,NONE
TS3004a.C.argumentstructs.8,C,1031.21,1038.78,うーん、そうだね。ああ、分からないな。,NONE,NONE
TS3004a.B.argumentstructs.Daan.3,B,1032.55,1036.04,それは良い考えかもしれないが、そうですね、今は価格を見なければならないと思います。,TS3004a.A.argumentstructs.Daan.6,TS3004a.A.argumentstructs.Daan.7
TS3004a.A.argumentstructs.Daan.7,A,1036.66,1039.79,ええ、普通の充電器はどれくらい高いんですか？,TS3004a.B.argumentstructs.Daan.3,TS3004a.B.argumentstructs.Daan.4
TS3004a.D.argumentstructs.11,D,1036.93,1048.95,うん。ああそうだ。,NONE,NONE
TS3004a.B.argumentstructs.Daan.4,B,1039.16,1044.46,えっと、あなたの標準的な携帯電話充電器はいくらですか？,TS3004a.A.argumentstructs.Daan.7,TS3004a.C.argumentstructs.Daan.6
TS3004a.A.argumentstructs.12,A,1045.05,1045.44,私は知らないよ。,NONE,NONE
TS3004a.C.argumentstructs.Daan.6,C,1046.08,1055.23,そうですね、携帯電話とは別に購入するとおそらく高価になりますが、そのようなもののプロジェクト投影コストがいくらになるかはわかりません。,TS3004a.B.argumentstructs.Daan.4,NONE
TS3004a.A.argumentstructs.Daan.8,A,1054.86,1060.43,ええと、市場を見てみると、おそらく電池を入れるのがまだ最善の方法でしょう。なぜなら、高価すぎるかもしれないからです。,TS3004a.A.argumentstructs.Daan.6,TS3004a.D.argumentstructs.Daan.6
TS3004a.C.argumentstructs.9,C,1060.69,1072.73,ええ、ええ。,NONE,NONE
TS3004a.D.argumentstructs.Daan.6,D,1060.99,1073.408,ええ、でもホームステーションは本当にいいアイデアです。リモコンを失くしてどこにあるか分からなくなる人がたくさんいるから、いつも同じ場所に置いておけるんです。,TS3004a.A.argumentstructs.Daan.8,"TS3004a.A.argumentstructs.Daan.9, TS3004a.D.argumentstructs.Daan.7"
TS3004a.A.argumentstructs.Daan.9,A,1070.2,1071.63,ああ、そうだね、そうだね。,TS3004a.D.argumentstructs.Daan.6,NONE
TS3004a.B.argumentstructs.9,B,1071.6,1071.8,うん。,NONE,NONE
TS3004a.D.argumentstructs.Daan.7,D,1074.62,1077.28,したがって、それは良いアイデアですが、高価かもしれません。,TS3004a.D.argumentstructs.Daan.6,NONE
TS3004a.B.argumentstructs.Daan.5,B,1078.09,1082.28,たぶん、それを別のオプションとして使用します。別々に販売します。,TS3004a.A.argumentstructs.Daan.6,"TS3004a.D.argumentstructs.Daan.8, TS3004a.C.argumentstructs.Daan.7, TS3004a.A.argumentstructs.Daan.10"
TS3004a.D.argumentstructs.12,D,1080.59,1080.93,うん。,NONE,NONE
TS3004a.D.argumentstructs.Daan.8,D,1082.0,1083.9,はい、それで購入できます。,TS3004a.B.argumentstructs.Daan.5,NONE
TS3004a.C.argumentstructs.Daan.7,C,1083.55,1097.28,ええ、でも、私もマウスを持っていますが、それは、ええ、それに普通の電池があって、それを充電してステーションに置くだけでいいし、電池を交換することもできます。,TS3004a.B.argumentstructs.Daan.5,NONE
TS3004a.B.argumentstructs.10,B,1088.59,1094.0,充電式。うん。,NONE,NONE
TS3004a.D.argumentstructs.13,D,1096.25,1096.6,そうそう。,NONE,NONE
TS3004a.A.argumentstructs.Daan.10,A,1097.56,1099.31,オプション、ただのオプション、それはクールです。,TS3004a.B.argumentstructs.Daan.5,NONE
TS3004a.C.argumentstructs.10,C,1098.91,1099.2,うん。,NONE,NONE
