ae_id,speaker,start_time,end_time,sentence,source,targets
IS1002b.B.argumentstructs.Rutger.29,B,1940.72,1945.82,ええと、私がゆりかごで考えたアイデアについてはどう思いますか? それについてどう思いますか?,NONE,"IS1002b.B.argumentstructs.Rutger.30, IS1002b.D.argumentstructs.Rutger.34"
IS1002b.B.argumentstructs.Rutger.30,B,1947.25,1948.24,あるいは皆さんはどう感じますか?,IS1002b.B.argumentstructs.Rutger.29,"IS1002b.A.argumentstructs.Rutger.34, IS1002b.D.argumentstructs.Rutger.33, IS1002b.B.argumentstructs.Rutger.31, IS1002b.A.argumentstructs.Rutger.35"
IS1002b.A.argumentstructs.Rutger.34,A,1947.6,1949.542,さて、皆さんはどう感じますか？私は思う,IS1002b.B.argumentstructs.Rutger.30,NONE
IS1002b.D.argumentstructs.Rutger.33,D,1948.062,1954.544,つまり、私たちはもう一方の端について話しています。私はそれが好きで、そのアイデアは好きですが、私たちはそれを見つけなければなりません,IS1002b.B.argumentstructs.Rutger.30,NONE
IS1002b.B.argumentstructs.Rutger.31,B,1952.31,1956.09,いいえ、でも私はそれが必ずしも反対側にあるとは思わないのです。,IS1002b.B.argumentstructs.Rutger.30,NONE
IS1002b.A.argumentstructs.Rutger.35,A,1956.08,1970.44,もう一つの問題は、消費者として、これを買いたいか？とちょっと考えてみたのですが、多分買わないだろうと思います。リモコンを持っていて、別の椅子に持っていったり、別の場所に持っていったりするからです。どこかに行って置きたくないのです。,IS1002b.B.argumentstructs.Rutger.30,"IS1002b.A.argumentstructs.Rutger.36, IS1002b.A.argumentstructs.Rutger.38"
IS1002b.B.argumentstructs.47,B,1967.38,1970.89,うんうん。その通り。,NONE,NONE
IS1002b.A.argumentstructs.Rutger.36,A,1970.7,1981.44,テレビを置く場所がアームチェアの横にあると、テレビのユーザーは1人だけということになります。一部の人にとってはとても良いのですが、,IS1002b.A.argumentstructs.Rutger.35,IS1002b.B.argumentstructs.Rutger.32
IS1002b.B.argumentstructs.Rutger.32,B,1980.28,1986.11,まあ、それは自力で数時間持続しますが、使い終わったらクレードルに戻します。,IS1002b.A.argumentstructs.Rutger.36,IS1002b.A.argumentstructs.Rutger.37
IS1002b.A.argumentstructs.Rutger.37,A,1986.08,1993.696,しかし、リモコンの使いやすさはある程度損なわれます。リモコンを思い出す必要があります。ソファの横にずらしてリモコンを探し、元に戻す必要があります。,IS1002b.B.argumentstructs.Rutger.32,IS1002b.B.argumentstructs.Rutger.33
IS1002b.B.argumentstructs.48,B,1990.15,1990.34,うんうん。,NONE,NONE
IS1002b.B.argumentstructs.Rutger.33,B,1993.69,1993.9,うんうん。,IS1002b.A.argumentstructs.Rutger.37,NONE
IS1002b.A.argumentstructs.Rutger.38,A,1994.71,2004.54,そうですね。そういう事実があるから、心の中では、それは自分が本当に欲しいもののようには思えないんです。でも、分かりません、それは単なる私の意見です。,IS1002b.A.argumentstructs.Rutger.35,NONE
IS1002b.D.argumentstructs.44,D,2000.99,2001.29,うーん。,NONE,NONE
IS1002b.D.argumentstructs.Rutger.34,D,2004.56,2027.71,そうですね、ここでもコストの問題が残っていると思います。この方向に進むと、コスト範囲の反対側に行くことになります。このコストをハイテクで環境に配慮したものとして売り込むのか、それとも範囲の低いほうに行くのか。繰り返しますが、私たちの製品にとって中間の市場ニッチはまだ見えません。まだ見えません。,IS1002b.B.argumentstructs.Rutger.29,IS1002b.A.argumentstructs.Rutger.39
IS1002b.A.argumentstructs.57,A,2011.8,2027.19,うーん。そうだね。,NONE,NONE
IS1002b.A.argumentstructs.Rutger.39,A,2028.305,2032.5,それで、私たちはどうすべきだと思いますか、ペドロ、それについて何か意見はありますか?,IS1002b.D.argumentstructs.Rutger.34,IS1002b.C.argumentstructs.Rutger.22
IS1002b.C.argumentstructs.Rutger.22,C,2032.88,2040.69,シンプルに、中低コスト、低コストの領域にして、見栄えを良くしましょう。,IS1002b.A.argumentstructs.Rutger.39,NONE
IS1002b.D.argumentstructs.45,D,2044.41,2053.26,だって、箱にしなきゃいけないって、君の意見に賛成だと思うんだ。箱、外側、ケースが売れると思うんだ。複数のデザインにできるかな？,NONE,NONE
