ae_id,speaker,start_time,end_time,sentence,source,targets
ES2010a.B.argumentstructs.Erik.1,B,529.06,531.21,どのような種類のバッテリーを使用したいですか?,NONE,"ES2010a.C.argumentstructs.Erik.1, ES2010a.A.argumentstructs.Erik.1, ES2010a.C.argumentstructs.Erik.3"
ES2010a.C.argumentstructs.5,C,531.64,531.91,だ,NONE,NONE
ES2010a.C.argumentstructs.Erik.1,C,532.77,533.34,ダブルA_。,ES2010a.B.argumentstructs.Erik.1,ES2010a.D.argumentstructs.Erik.1
ES2010a.D.argumentstructs.Erik.1,D,533.4,534.03,ダブルA_。,ES2010a.C.argumentstructs.Erik.1,NONE
ES2010a.B.argumentstructs.3,B,534.25,534.59,わかった。,NONE,NONE
ES2010a.A.argumentstructs.Erik.1,A,535.52,537.33,中にはトリプル A_ を使用するものもありますか?,ES2010a.B.argumentstructs.Erik.1,"ES2010a.D.argumentstructs.Erik.2, ES2010a.C.argumentstructs.Erik.2"
ES2010a.D.argumentstructs.Erik.2,D,537.37,538.58,はい、トリプル A_ を使用する人もいます。,ES2010a.A.argumentstructs.Erik.1,ES2010a.D.argumentstructs.Erik.3
ES2010a.C.argumentstructs.Erik.2,C,538.54,539.472,一部だが,ES2010a.A.argumentstructs.Erik.1,ES2010a.A.argumentstructs.Erik.2
ES2010a.D.argumentstructs.Erik.3,D,538.58,540.01,では、ダブルですか、トリプルですか?,ES2010a.D.argumentstructs.Erik.2,NONE
ES2010a.A.argumentstructs.Erik.2,A,538.79,539.05,わかった。,ES2010a.C.argumentstructs.Erik.2,NONE
ES2010a.C.argumentstructs.6,C,540.52,541.98,そうですね、それは,NONE,NONE
ES2010a.C.argumentstructs.Erik.3,C,543.78,547.45,トリプル A_ を実行する必要がある場合は実行できますが、ほとんどの人は通常、ダブル A_ を持っています。,ES2010a.B.argumentstructs.Erik.1,ES2010a.A.argumentstructs.Erik.3
ES2010a.A.argumentstructs.Erik.3,A,547.7,554.528,わかりました。そうです。でもそれは大きさにも関係しています。まあ、その問題が分かっている限り,ES2010a.C.argumentstructs.Erik.3,"ES2010a.C.argumentstructs.Erik.4, ES2010a.B.argumentstructs.Erik.2, ES2010a.D.argumentstructs.Erik.4"
ES2010a.C.argumentstructs.Erik.4,C,551.46,551.7,右。,ES2010a.A.argumentstructs.Erik.3,NONE
ES2010a.B.argumentstructs.Erik.2,B,551.86,552.09,うん。,ES2010a.A.argumentstructs.Erik.3,NONE
ES2010a.D.argumentstructs.Erik.4,D,555.25,558.21,そうですね、もっと薄くしたいなら、トリプル A_ にしたいと思うでしょう。,ES2010a.A.argumentstructs.Erik.3,ES2010a.A.argumentstructs.Erik.4
ES2010a.A.argumentstructs.5,A,555.62,556.12,ここでは,NONE,NONE
ES2010a.A.argumentstructs.Erik.4,A,557.86,567.25,トリプルA。でも大丈夫です。今すぐ決める必要はありません。バッテリーの種類とサイズが重要であることを覚えておけば大丈夫です。,ES2010a.D.argumentstructs.Erik.4,NONE
ES2010a.A.argumentstructs.6,A,567.25,569.28,やあ。他に何かある？,NONE,NONE
