ae_id,speaker,start_time,end_time,sentence,source,targets
TS3004a.D.argumentstructs.Daan.1,D,779.04,784.35,はい、私の最初の質問は、ユニバーサルリモコンである必要があるかどうかでした。,NONE,"{TS3004a.D.argumentstructs.Daan.2, TS3004a.A.argumentstructs.Daan.1, TS3004a.C.argumentstructs.Daan.1, TS3004a.B.argumentstructs.Daan.1, TS3004a.A.argumentstructs.Daan.2, TS3004a.C.argumentstructs.Daan.2, TS3004a.A.argumentstructs.Daan.3}"
TS3004a.A.argumentstructs.11,A,784.51,785.97,ああ、それはいい質問ですね。,NONE,NONE
TS3004a.D.argumentstructs.Daan.2,D,786.41,794.78,なぜなら、私たちはテレビではなく、テレビから離れて販売しているからです。,TS3004a.D.argumentstructs.Daan.1,NONE
TS3004a.A.argumentstructs.Daan.1,A,795.89,799.451,それはそうではないと思います。よく分かりません。そうではないと思います。,TS3004a.D.argumentstructs.Daan.1,NONE
TS3004a.C.argumentstructs.Daan.1,C,798.37,800.96,そうですね、おそらくそれは普遍的なものになるでしょう。,TS3004a.D.argumentstructs.Daan.1,NONE
TS3004a.B.argumentstructs.Daan.1,B,800.24,804.83,ユニバーサル。テレビだけ？それとも他のデバイスも？,TS3004a.D.argumentstructs.Daan.1,NONE
TS3004a.D.argumentstructs.9,D,800.4,800.89,なぜなら,NONE,NONE
TS3004a.A.argumentstructs.Daan.2,A,804.74,811.344,25ユーロでAAAユニバーサルリモコンが買えるとは思えないので、よく分かりませんが,TS3004a.D.argumentstructs.Daan.1,{TS3004a.D.argumentstructs.Daan.3}
TS3004a.C.argumentstructs.Daan.2,C,811.88,813.06,うーん、多分、分からない。,TS3004a.D.argumentstructs.Daan.1,NONE
TS3004a.D.argumentstructs.Daan.3,D,812.16,817.99,ええ、ユニバーサルコントロールがたった20ユーロで買えるのは知っています,TS3004a.A.argumentstructs.Daan.2,NONE
TS3004a.A.argumentstructs.Daan.3,A,815.94,820.37,はい、それでは、これがユニバーサル リモコンだと言うだけです。はい、完璧です。,TS3004a.D.argumentstructs.Daan.1,"{TS3004a.D.argumentstructs.Daan.4, TS3004a.C.argumentstructs.Daan.3}"
TS3004a.D.argumentstructs.Daan.4,D,818.99,819.81,そうですね。,TS3004a.A.argumentstructs.Daan.3,NONE
TS3004a.B.argumentstructs.6,B,819.31,819.82,ああ、わかりました。,NONE,NONE
TS3004a.C.argumentstructs.Daan.3,C,821.38,827.86,また、V_C_R_ と D_V_D_ プレーヤーでも大丈夫です。,TS3004a.A.argumentstructs.Daan.3,"{TS3004a.A.argumentstructs.Daan.4, TS3004a.B.argumentstructs.Daan.2}"
TS3004a.A.argumentstructs.Daan.4,A,826.34,830.97,そうです、リモコンにボタンがたくさんあるだけです。,TS3004a.C.argumentstructs.Daan.3,{TS3004a.C.argumentstructs.Daan.4}
TS3004a.C.argumentstructs.Daan.4,C,830.267,832.15,ええ、おそらくそうです。,TS3004a.A.argumentstructs.Daan.4,NONE
TS3004a.B.argumentstructs.Daan.2,B,832.14,833.17,ただのテレビではありません。,TS3004a.C.argumentstructs.Daan.3,{TS3004a.A.argumentstructs.Daan.5}
TS3004a.A.argumentstructs.Daan.5,A,833.57,834.42,いいえ、すべてです。,TS3004a.B.argumentstructs.Daan.2,NONE
TS3004a.B.argumentstructs.7,B,834.67,835.06,わかった。,NONE,NONE
TS3004a.C.argumentstructs.Daan.5,C,1019.04,1028.878,電池はどうですか？充電器に入れるべきですか？それとも,NONE,{TS3004a.A.argumentstructs.Daan.6}
TS3004a.D.argumentstructs.10,D,1020.99,1021.99,えーと,NONE,NONE
TS3004a.A.argumentstructs.Daan.6,A,1027.87,1033.14,ああ、それはいいアイデアかもしれませんね。テレビに置いて充電するだけで、電池を使う必要がありません。,TS3004a.C.argumentstructs.Daan.5,"{TS3004a.D.argumentstructs.Daan.5, TS3004a.B.argumentstructs.Daan.3, TS3004a.A.argumentstructs.Daan.8, TS3004a.B.argumentstructs.Daan.5}"
TS3004a.D.argumentstructs.Daan.5,D,1027.98,1029.85,ママはホームステーションかもしれない。,TS3004a.A.argumentstructs.Daan.6,NONE
TS3004a.B.argumentstructs.8,B,1029.51,1029.9,うん。,NONE,NONE
TS3004a.C.argumentstructs.8,C,1031.21,1038.78,うーん、そうだね。ああ、分からないな。,NONE,NONE
TS3004a.B.argumentstructs.Daan.3,B,1032.55,1036.04,それは良い考えかもしれないが、そうですね、今は価格を見なければならないと思います。,TS3004a.A.argumentstructs.Daan.6,{TS3004a.A.argumentstructs.Daan.7}
TS3004a.A.argumentstructs.Daan.7,A,1036.66,1039.79,ええ、普通の充電器はどれくらい高いんですか？,TS3004a.B.argumentstructs.Daan.3,{TS3004a.B.argumentstructs.Daan.4}
TS3004a.D.argumentstructs.11,D,1036.93,1048.95,うん。ああそうだ。,NONE,NONE
TS3004a.B.argumentstructs.Daan.4,B,1039.16,1044.46,えっと、あなたの標準的な携帯電話充電器はいくらですか？,TS3004a.A.argumentstructs.Daan.7,{TS3004a.C.argumentstructs.Daan.6}
TS3004a.A.argumentstructs.12,A,1045.05,1045.44,私は知らないよ。,NONE,NONE
TS3004a.C.argumentstructs.Daan.6,C,1046.08,1055.23,そうですね、携帯電話とは別に購入するとおそらく高価になりますが、そのようなもののプロジェクト投影コストがいくらになるかはわかりません。,TS3004a.B.argumentstructs.Daan.4,NONE
