ae_id,speaker,start_time,end_time,sentence,source,targets
TS3004b.D.argumentstructs.Daan.1,D,388.96,406.18,はい、上の 10 パーセントですね。これは良いですね。2 ページ目です。リモコンは部屋のどこかに置き忘れられることがよくあります。まさに、バッテリーを充電するためのホーム ステーションなどが必要だと言ったところです。,NONE,"{TS3004b.D.argumentstructs.Daan.2, TS3004b.B.argumentstructs.Daan.1}"
TS3004b.C.argumentstructs.8,C,389.83,390.27,うん。,NONE,NONE
TS3004b.D.argumentstructs.Daan.2,D,406.67,416.44,えっと、拍手システムを作って、手を叩くとビープ音が鳴るようにしたらどうかと思ったんだけど。えっと、すぐに見つけないと。,TS3004b.D.argumentstructs.Daan.1,NONE
TS3004b.B.argumentstructs.7,B,415.66,416.17,えーっと。,NONE,NONE
TS3004b.B.argumentstructs.Daan.1,B,416.77,422.94,おそらくホーム ステーションのボタンだけでしょう。ホーム ステーションのボタンをクリックすると、リモコンがビープ音を鳴らします。,TS3004b.D.argumentstructs.Daan.1,NONE
TS3004b.D.argumentstructs.Daan.3,D,585.05,602.8,そして私はモットーを見つけました。そして私たちは電子機器に流行を取り入れました。そしてそれが私たちのスタイルの基準となっているモットーです。私たちは新しい製品を作らなければなりません。私たちはそうでなければなりません。,NONE,"{TS3004b.D.argumentstructs.Daan.4, TS3004b.D.argumentstructs.Daan.5}"
TS3004b.D.argumentstructs.Daan.4,D,604.39,606.29,唯一無二だと思います。,TS3004b.D.argumentstructs.Daan.3,{TS3004b.A.argumentstructs.Daan.1}
TS3004b.A.argumentstructs.Daan.1,A,605.86,609.67,だからユニークに見えなくてはいけないけど,TS3004b.D.argumentstructs.Daan.4,NONE
TS3004b.D.argumentstructs.Daan.5,D,608.437,612.25,当社は、お客様自身のファッション、お客様自身のスタイルを大切にしています。,TS3004b.D.argumentstructs.Daan.3,{TS3004b.A.argumentstructs.Daan.2}
TS3004b.A.argumentstructs.10,A,612.14,612.39,うん。,NONE,NONE
TS3004b.A.argumentstructs.Daan.2,A,613.32,615.02,しかし、老人たちはそれを求めていません。,TS3004b.D.argumentstructs.Daan.5,"{TS3004b.C.argumentstructs.Daan.1, TS3004b.B.argumentstructs.Daan.2}"
TS3004b.A.argumentstructs.11,A,616.38,644.64,特には。わかった。うん。うん。わかった。ありがとう。,NONE,NONE
TS3004b.C.argumentstructs.Daan.1,C,617.45,625.62,そうですね。一番大事なのは使いやすさだと思います。そこが特別な製品にできるところだと思います。,TS3004b.A.argumentstructs.Daan.2,NONE
