ae_id,speaker,start_time,end_time,sentence,source,targets
IS1006c.D.argumentstructs.Daan.2,D,741.91,744.25,複数の色があると思いますか?,NONE,"IS1006c.B.argumentstructs.Daan.2, IS1006c.A.argumentstructs.Daan.3, IS1006c.B.argumentstructs.Daan.4, IS1006c.C.argumentstructs.Daan.6, IS1006c.B.argumentstructs.Daan.8, IS1006c.D.argumentstructs.Daan.8"
IS1006c.D.argumentstructs.15,D,745.4,746.43,それとも,NONE,NONE
IS1006c.B.argumentstructs.Daan.2,B,745.947,752.24,L_C_D_ 画面のバックライトをさまざまな色で作成します。,IS1006c.D.argumentstructs.Daan.2,"IS1006c.D.argumentstructs.Daan.3, IS1006c.C.argumentstructs.Daan.5"
IS1006c.D.argumentstructs.Daan.3,D,752.07,753.49,うーん、でもそうじゃないんです。,IS1006c.B.argumentstructs.Daan.2,"IS1006c.B.argumentstructs.Daan.3, IS1006c.D.argumentstructs.Daan.4"
IS1006c.B.argumentstructs.Daan.3,B,753.29,754.31,そうではありません。,IS1006c.D.argumentstructs.Daan.3,NONE
IS1006c.D.argumentstructs.Daan.4,D,754.67,759.984,ケースはアルミニウムやチタン製のものだけになります,IS1006c.D.argumentstructs.Daan.3,NONE
IS1006c.B.argumentstructs.13,B,759.04,759.49,うん。,NONE,NONE
IS1006c.A.argumentstructs.Daan.3,A,759.82,763.98,あなたの調査によると、どうやら人々は色が好きなようですね？,IS1006c.D.argumentstructs.Daan.2,NONE
IS1006c.D.argumentstructs.16,D,764.09,768.45,ええ、彼らは何かが好きなんです,NONE,NONE
IS1006c.B.argumentstructs.Daan.4,B,768.39,773.05,さて、パネルを交換できる Nokia の携帯電話があることを思い出しましょう。,IS1006c.D.argumentstructs.Daan.2,"IS1006c.D.argumentstructs.Daan.5, IS1006c.B.argumentstructs.Daan.5"
IS1006c.D.argumentstructs.Daan.5,D,773.17,777.98,ええ、わかりました。それが選択肢になります。Nokiaの携帯を持っていないからわかりませんが、,IS1006c.B.argumentstructs.Daan.4,NONE
IS1006c.B.argumentstructs.Daan.5,B,774.41,775.16,あなたはそれが好きですか ？,IS1006c.B.argumentstructs.Daan.4,"IS1006c.D.argumentstructs.Daan.6, IS1006c.B.argumentstructs.Daan.6"
IS1006c.C.argumentstructs.18,C,779.33,780.41,でもそれは,NONE,NONE
IS1006c.D.argumentstructs.Daan.6,D,779.92,782.314,私はそれを使わないけど、また、うーん、私は使うかもしれない,IS1006c.B.argumentstructs.Daan.5,NONE
IS1006c.B.argumentstructs.Daan.6,B,781.26,787.636,だから君はそれを持っていないんだ。それが、それが汚いからなんだ。,IS1006c.B.argumentstructs.Daan.5,NONE
IS1006c.C.argumentstructs.Daan.5,C,785.449,791.69,でも、高価になりませんか？カラー L_C_D_ を使用する場合。,IS1006c.B.argumentstructs.Daan.2,IS1006c.B.argumentstructs.Daan.7
IS1006c.B.argumentstructs.Daan.7,B,791.83,792.13,いいえ。,IS1006c.C.argumentstructs.Daan.5,NONE
