ae_id,speaker,start_time,end_time,sentence,source,targets
IS1005c.B.argumentstructs.Rutger.1,B,1070.21,1085.39,エネルギーについて少しだけ指摘しておきます。電池と追加の太陽電池を使用すれば、音声認識や L_C_D_ には問題ないので、エネルギーの問題はないと思います。,NONE,"IS1005c.A.argumentstructs.Rutger.1, IS1005c.B.argumentstructs.Rutger.2, IS1005c.A.argumentstructs.Rutger.2, IS1005c.D.argumentstructs.Rutger.1"
IS1005c.A.argumentstructs.Rutger.1,A,1083.73,1086.01,はい。それで大丈夫です。,IS1005c.B.argumentstructs.Rutger.1,NONE
IS1005c.B.argumentstructs.Rutger.2,B,1086.48,1089.56,しかし、太陽電池を使わなければなりません。そうでなければだめです。,IS1005c.B.argumentstructs.Rutger.1,NONE
IS1005c.A.argumentstructs.Rutger.2,A,1089.04,1098.39,例えば、電池は何個使いますか？電池のサイズはどれくらいですか？,IS1005c.B.argumentstructs.Rutger.1,"IS1005c.B.argumentstructs.Rutger.3, IS1005c.A.argumentstructs.Rutger.3"
IS1005c.B.argumentstructs.Rutger.3,B,1097.51,1100.24,はい、私は一般的な A_A_ 細胞だけを考えていました。,IS1005c.A.argumentstructs.Rutger.2,IS1005c.B.argumentstructs.Rutger.4
IS1005c.A.argumentstructs.Rutger.3,A,1101.4,1103.757,はい。あー、1、2,IS1005c.A.argumentstructs.Rutger.2,NONE
IS1005c.B.argumentstructs.Rutger.4,B,1101.96,1105.65,つまり、3〜5センチメートルくらいです。正確にはわかりませんが。,IS1005c.B.argumentstructs.Rutger.3,IS1005c.A.argumentstructs.Rutger.4
IS1005c.A.argumentstructs.Rutger.4,A,1104.96,1105.18,わかった。,IS1005c.B.argumentstructs.Rutger.4,NONE
IS1005c.D.argumentstructs.Rutger.1,D,1107.02,1112.74,それで、太陽電池を使うとしたら、誰かが室内でテレビを見ているときに太陽はどこにあるのでしょうか?,IS1005c.B.argumentstructs.Rutger.1,"IS1005c.B.argumentstructs.Rutger.5, IS1005c.A.argumentstructs.Rutger.5, IS1005c.B.argumentstructs.Rutger.6, IS1005c.A.argumentstructs.Rutger.6"
IS1005c.B.argumentstructs.19,B,1109.61,1110.02,S,NONE,NONE
IS1005c.B.argumentstructs.Rutger.5,B,1111.94,1116.67,えっと、太陽である必要はありません。日光だけでいいんです。,IS1005c.D.argumentstructs.Rutger.1,IS1005c.D.argumentstructs.Rutger.2
IS1005c.D.argumentstructs.Rutger.2,D,1116.672,1118.15,わかった。,IS1005c.B.argumentstructs.Rutger.5,NONE
IS1005c.A.argumentstructs.Rutger.5,A,1117.74,1119.376,テレビが点灯します。,IS1005c.D.argumentstructs.Rutger.1,NONE
IS1005c.B.argumentstructs.Rutger.6,B,1117.86,1128.19,ええ、そうですね、このリモコンは、人がいるときだけ点灯するこのような部屋の中には置かないほうがいいと思いますが。,IS1005c.D.argumentstructs.Rutger.1,NONE
IS1005c.C.argumentstructs.8,C,1126.82,1127.12,うんうん。,NONE,NONE
IS1005c.A.argumentstructs.Rutger.6,A,1128.18,1134.61,少なくとも、T_V_ があれば、T_V_ から光を得ることができます。わかりません。,IS1005c.D.argumentstructs.Rutger.1,"IS1005c.B.argumentstructs.Rutger.7, IS1005c.B.argumentstructs.Rutger.8"
IS1005c.B.argumentstructs.Rutger.7,B,1130.95,1134.13,そうですね、T_からすると十分ではないと思います。,IS1005c.A.argumentstructs.Rutger.6,"IS1005c.C.argumentstructs.Rutger.1, IS1005c.D.argumentstructs.Rutger.3, IS1005c.A.argumentstructs.Rutger.7"
IS1005c.C.argumentstructs.Rutger.1,C,1131.88,1132.31,うん。,IS1005c.B.argumentstructs.Rutger.7,NONE
IS1005c.D.argumentstructs.Rutger.3,D,1134.8,1135.13,わかった。,IS1005c.B.argumentstructs.Rutger.7,NONE
IS1005c.A.argumentstructs.Rutger.7,A,1136.9,1138.15,はい。うーん。,IS1005c.B.argumentstructs.Rutger.7,NONE
IS1005c.B.argumentstructs.Rutger.8,B,1139.75,1141.91,ああ、それは妥協ですよね？,IS1005c.A.argumentstructs.Rutger.6,"IS1005c.A.argumentstructs.Rutger.8, IS1005c.B.argumentstructs.Rutger.9, IS1005c.D.argumentstructs.Rutger.4"
IS1005c.A.argumentstructs.Rutger.8,A,1144.59,1150.28,少なくともそれは新しいし、おそらく新しい技術だ。うん。,IS1005c.B.argumentstructs.Rutger.8,NONE
IS1005c.B.argumentstructs.Rutger.9,B,1148.42,1153.62,そうです、皆さんが新しいものをすべて望んでいたから、音声認識を組み込んだかったのです。,IS1005c.B.argumentstructs.Rutger.8,NONE
IS1005c.D.argumentstructs.Rutger.4,D,1148.64,1150.24,確かにかなり革新的ですね。,IS1005c.B.argumentstructs.Rutger.8,IS1005c.D.argumentstructs.Rutger.5
IS1005c.C.argumentstructs.9,C,1150.82,1151.18,ふーむ。,NONE,NONE
IS1005c.A.argumentstructs.16,A,1151.6,1151.91,えーと。,NONE,NONE
IS1005c.D.argumentstructs.Rutger.5,D,1152.9,1157.728,外でテレビを見るときにもとても便利です。,IS1005c.D.argumentstructs.Rutger.4,NONE
