ae_id,speaker,start_time,end_time,sentence,source,targets
ES2003d.C.argumentstructs.77,C,414.58,415.07,4番目。,NONE,NONE
ES2003d.C.argumentstructs.Erik.1,C,415.07,438.269,では、各ポイントを確認する必要があります。実際にまっすぐだと想像して、AAスコアを付けます。では、プロトタイプは、リモコンの紛失を防ぐ、または紛失したときに見つけることができるという夢をどれだけ実現できたと言えますか。つまり、ホーミング機能はまだロケーターですか、それはまだですか？,NONE,"ES2003d.A.argumentstructs.Erik.1, ES2003d.C.argumentstructs.Erik.2, ES2003d.C.argumentstructs.Erik.3, ES2003d.C.argumentstructs.Erik.7, ES2003d.A.argumentstructs.Erik.4, ES2003d.D.argumentstructs.Erik.2"
ES2003d.A.argumentstructs.Erik.1,A,437.83,439.44,はい、それはまだデザインの一部です。,ES2003d.C.argumentstructs.Erik.1,NONE
ES2003d.C.argumentstructs.Erik.2,C,439.6,439.97,もちろん。,ES2003d.C.argumentstructs.Erik.1,NONE
ES2003d.C.argumentstructs.Erik.3,C,439.97,441.3,アダム、それを保存しておけますか?,ES2003d.C.argumentstructs.Erik.1,ES2003d.B.argumentstructs.Erik.1
ES2003d.B.argumentstructs.Erik.1,B,441.76,442.97,はい、そうだと思います。,ES2003d.C.argumentstructs.Erik.3,ES2003d.B.argumentstructs.Erik.2
ES2003d.B.argumentstructs.Erik.2,B,442.97,455.14,つまり、リモコンの紛失を実際に止められる人はいないと思う。なぜなら、それは人的要因について何かをすることを意味するからだ。しかし、リモコンが見つかれば、それを見つけることについては何かしたと思いたい。,ES2003d.B.argumentstructs.Erik.1,"ES2003d.C.argumentstructs.Erik.4, ES2003d.A.argumentstructs.Erik.2, ES2003d.C.argumentstructs.Erik.6"
ES2003d.C.argumentstructs.Erik.4,C,443.08,443.39,わかった。,ES2003d.B.argumentstructs.Erik.2,NONE
ES2003d.C.argumentstructs.78,C,449.5,455.88,はい。T はい。,NONE,NONE
ES2003d.A.argumentstructs.30,A,453.73,453.9,うーん。,NONE,NONE
ES2003d.A.argumentstructs.Erik.2,A,455.47,459.66,うーん。明るい色にすると、個人的には紫を選びます。,ES2003d.B.argumentstructs.Erik.2,ES2003d.C.argumentstructs.Erik.5
ES2003d.C.argumentstructs.Erik.5,C,459.76,461.37,うーん。明るい色ですね。,ES2003d.A.argumentstructs.Erik.2,NONE
ES2003d.C.argumentstructs.Erik.6,C,461.37,463.71,それで、まだあのノイズというものが残っているんですね？,ES2003d.B.argumentstructs.Erik.2,NONE
ES2003d.A.argumentstructs.31,A,463.21,463.64,うんうん。,NONE,NONE
ES2003d.C.argumentstructs.Erik.7,C,463.71,469.67,紛失したときに見つけやすいかどうかを 1 から 7 のスケールで評価してください。,ES2003d.C.argumentstructs.Erik.1,ES2003d.A.argumentstructs.Erik.3
ES2003d.A.argumentstructs.Erik.3,A,471.74,472.82,1番だと思います。,ES2003d.C.argumentstructs.Erik.7,"ES2003d.C.argumentstructs.Erik.8, ES2003d.D.argumentstructs.Erik.1"
ES2003d.C.argumentstructs.Erik.8,C,473.16,478.55,1番ですか？わかりました。最初の基準の1番です。,ES2003d.A.argumentstructs.Erik.3,NONE
ES2003d.D.argumentstructs.Erik.1,D,473.2,474.09,1つ。うん。,ES2003d.A.argumentstructs.Erik.3,NONE
ES2003d.A.argumentstructs.Erik.4,A,478.31,495.07,それが単なるサウンダーであれば、コードレス電話や携帯電話を探すときに見つけたものと同じだと思います。音は聞こえますが、それがどこにあるかを正確に特定することはできません。,ES2003d.C.argumentstructs.Erik.1,ES2003d.C.argumentstructs.Erik.9
ES2003d.C.argumentstructs.Erik.9,C,495.0,497.81,そうだ、モバイルがどの部屋にあるかわかるだろう,ES2003d.A.argumentstructs.Erik.4,NONE
ES2003d.D.argumentstructs.Erik.2,D,497.78,507.51,テレビの音量が非常に大きくなっていて、音量を下げたいのにリモコンが見つからない場合はどうすればよいでしょうか。,ES2003d.C.argumentstructs.Erik.1,ES2003d.D.argumentstructs.Erik.3
ES2003d.A.argumentstructs.32,A,498.05,498.33,ブ,NONE,NONE
ES2003d.D.argumentstructs.Erik.3,D,508.76,512.41,T_V_ に行って手動でやらなければならないとします。うーん。,ES2003d.D.argumentstructs.Erik.2,"ES2003d.C.argumentstructs.Erik.10, ES2003d.A.argumentstructs.Erik.5, ES2003d.B.argumentstructs.Erik.3, ES2003d.D.argumentstructs.Erik.4"
ES2003d.C.argumentstructs.Erik.10,C,510.77,511.25,うん。,ES2003d.D.argumentstructs.Erik.3,NONE
ES2003d.A.argumentstructs.Erik.5,A,511.38,511.84,うん。,ES2003d.D.argumentstructs.Erik.3,NONE
ES2003d.B.argumentstructs.Erik.3,B,512.25,513.72,うーん。,ES2003d.D.argumentstructs.Erik.3,NONE
ES2003d.C.argumentstructs.79,C,512.9,513.24,うん。,NONE,NONE
ES2003d.D.argumentstructs.Erik.4,D,513.66,515.79,スピーカーの声が聞こえないようなものです。,ES2003d.D.argumentstructs.Erik.3,ES2003d.C.argumentstructs.Erik.11
ES2003d.B.argumentstructs.59,B,513.72,514.08,えーと,NONE,NONE
ES2003d.C.argumentstructs.Erik.11,C,515.78,516.03,うんうん。,ES2003d.D.argumentstructs.Erik.4,NONE
