ae_id,speaker,start_time,end_time,sentence,source,targets
IS1002b.D.argumentstructs.Rutger.21,D,156.36,178.58,そうですね、私が思いつくのは、もし私たちがテレテキストのない製品を販売するつもりなら、人々はテレテキストがあることやテレテキストを使うことにとても慣れているので、私たちは人々が今とても慣れているものなしでは新製品にはならないということです。,NONE,"{IS1002b.A.argumentstructs.Rutger.23, IS1002b.D.argumentstructs.Rutger.22, IS1002b.D.argumentstructs.Rutger.24, IS1002b.A.argumentstructs.Rutger.27}"
IS1002b.A.argumentstructs.51,A,161.57,167.2,うーん。うーん。,NONE,NONE
IS1002b.A.argumentstructs.Rutger.23,A,172.04,172.39,はい。,IS1002b.D.argumentstructs.Rutger.21,NONE
IS1002b.D.argumentstructs.Rutger.22,D,178.97,189.648,マーケティングの観点からは、不足している点がわかります。ですから、私たちは別の方向に進む必要があると思います。この製品を他の製品よりも優れたものにするには、何が必要なのでしょうか。,IS1002b.D.argumentstructs.Rutger.21,{IS1002b.A.argumentstructs.Rutger.24}
IS1002b.A.argumentstructs.52,A,180.8,181.07,うーん。,NONE,NONE
IS1002b.A.argumentstructs.Rutger.24,A,189.08,198.85,そうですね、最初のポイントは、テレテキストが時代遅れになりつつあることを考えると、インターネットで操作できる何らかのリモート コントロールが提供されるというチャンスもあると思います。,IS1002b.D.argumentstructs.Rutger.22,{IS1002b.D.argumentstructs.Rutger.23}
IS1002b.D.argumentstructs.Rutger.23,D,197.53,200.09,そうですね。ええ。いいえ、私もあなたに同意します。,IS1002b.A.argumentstructs.Rutger.24,NONE
IS1002b.D.argumentstructs.Rutger.24,D,200.09,215.04,私が言いたいのは、一方では何かを排除しているのだから、もう一方では、テレテキストではなくタタタタタタがあるという理由で、私たちの製品が優れていると認識される市場をターゲットにすべきだということです。それが私の反応です。,IS1002b.D.argumentstructs.Rutger.21,"{IS1002b.A.argumentstructs.Rutger.25, IS1002b.A.argumentstructs.Rutger.26}"
IS1002b.A.argumentstructs.53,A,200.33,213.61,はい、わかりました。,NONE,NONE
IS1002b.D.argumentstructs.42,D,215.04,218.39,。 ええ、ええ。,NONE,NONE
IS1002b.A.argumentstructs.Rutger.25,A,215.09,215.36,うん。,IS1002b.D.argumentstructs.Rutger.24,NONE
IS1002b.A.argumentstructs.Rutger.26,A,215.36,228.72,しかし、これはテレビ専用であるべきだという指示を受けているようなものなので、私たちはかなり固定されています。ですから、マーケティングの点では、私たちはおそらく、素晴らしい新機能製品よりも、コスト削減効果の高い製品を求めているのでしょう。そうですね。,IS1002b.D.argumentstructs.Rutger.24,"{IS1002b.D.argumentstructs.Rutger.25, IS1002b.C.argumentstructs.Rutger.18}"
IS1002b.D.argumentstructs.Rutger.25,D,220.39,220.53,はい。,IS1002b.A.argumentstructs.Rutger.26,NONE
IS1002b.D.argumentstructs.43,D,228.26,228.57,わかった。,NONE,NONE
IS1002b.C.argumentstructs.28,C,228.51,236.45,ええ、でも私たちはリモコンだけを設計していて、テレビは設計していません。だから、私たちはテレビからテレテキストを取り除くつもりです。,NONE,NONE
IS1002b.A.argumentstructs.54,A,232.29,240.14,うーん。うーん。,NONE,NONE
IS1002b.D.argumentstructs.Rutger.26,D,237.3,238.02,うん。わかった。,IS1002b.C.argumentstructs.Rutger.18,NONE
IS1002b.C.argumentstructs.Rutger.18,C,237.31,239.29,私たち人間がリモコンを使用する方法です。,IS1002b.A.argumentstructs.Rutger.26,"{IS1002b.D.argumentstructs.Rutger.26, IS1002b.D.argumentstructs.Rutger.27, IS1002b.C.argumentstructs.Rutger.19}"
IS1002b.D.argumentstructs.Rutger.27,D,239.57,241.07,そうです。連れて行くと思います。,IS1002b.C.argumentstructs.Rutger.18,NONE
IS1002b.C.argumentstructs.Rutger.19,C,240.32,242.18,だから、それはちょっと愚かな決断です。,IS1002b.C.argumentstructs.Rutger.18,NONE
IS1002b.A.argumentstructs.Rutger.27,A,241.66,253.77,しかし、マークには、失われたテレテキストの市場がある可能性もあります。たとえば、交換品を求めて店に行く人は、できるだけ安く買いたいのです。25ユーロが販売価格です。ここは本当に革新する必要があると思います。,IS1002b.D.argumentstructs.Rutger.21,"{IS1002b.B.argumentstructs.Rutger.20, IS1002b.D.argumentstructs.Rutger.28}"
IS1002b.B.argumentstructs.Rutger.20,B,242.12,242.29,右。,IS1002b.A.argumentstructs.Rutger.27,NONE
IS1002b.A.argumentstructs.55,A,253.77,265.33,うーん。,NONE,NONE
IS1002b.D.argumentstructs.Rutger.28,D,254.15,272.75,私が言いたいのは、この製品について何か非常に魅力的なものを見つけなければならないということです。なぜなら、テレテキストにアクセスできないことで、不幸になる人もいるからです。わかりました。というのも、現在販売されているテレビの 80 パーセント、90 パーセント、または 95 パーセントはテレテキストだからです。,IS1002b.A.argumentstructs.Rutger.27,"{IS1002b.A.argumentstructs.Rutger.28, IS1002b.D.argumentstructs.Rutger.29}"
IS1002b.A.argumentstructs.Rutger.28,A,274.4,274.65,ああ、そうだね。,IS1002b.D.argumentstructs.Rutger.28,NONE
IS1002b.D.argumentstructs.Rutger.29,D,274.66,289.18,だから、私は製品を批判しているわけではありません。ただ、それを排除したら何をもたらすのかということです。これに代わるものとして何をもたらすのか、そして私の意見では倍増させる必要があります。1つ失うなら、2つまたは3つもたらす必要があります。,IS1002b.D.argumentstructs.Rutger.28,{IS1002b.A.argumentstructs.Rutger.29}
IS1002b.A.argumentstructs.Rutger.29,A,283.95,284.22,ああ、そうだ。,IS1002b.D.argumentstructs.Rutger.29,NONE
IS1002b.C.argumentstructs.23,C,675.95,682.67,ええと、ユーザー指向のデバイスを選ぶべきです。つまり、シンプルなコントロールと優れた人間工学です,NONE,NONE
IS1002b.C.argumentstructs.Rutger.1,C,682.67,691.296,えーっと、私はテレテキストをまだ推奨しているので、それを削除しますが、えーっと、私たちは,NONE,"{IS1002b.A.argumentstructs.Rutger.5, IS1002b.A.argumentstructs.Rutger.18}"
IS1002b.A.argumentstructs.Rutger.5,A,690.99,704.35,しかし、経営陣の勧告は、テレテキストが時代遅れになるという懸念ではなく、テレテキストを導入すべきではないということだったと思います。ですから、機能面で導入するのに十分安価であれば、テレテキストを導入すべきだと私は今でも思っています。,IS1002b.C.argumentstructs.Rutger.1,"{IS1002b.A.argumentstructs.Rutger.6, IS1002b.D.argumentstructs.Rutger.11, IS1002b.C.argumentstructs.Rutger.9, IS1002b.B.argumentstructs.Rutger.14, IS1002b.D.argumentstructs.Rutger.14, IS1002b.A.argumentstructs.Rutger.14}"
IS1002b.B.argumentstructs.37,B,704.32,704.6,うんうん。,NONE,NONE
IS1002b.A.argumentstructs.Rutger.6,A,704.83,726.0,そうでなければ、必要かどうかに関係なく、テレテキスト付きとテレテキストなしのリモコンのどちらかを選択する必要がある場合、私たちが作るのに費用がかからないのであれば、私が理解している限り、同じボタンセットで操作できるので、そこに入れておく必要があります。,IS1002b.A.argumentstructs.Rutger.5,{IS1002b.B.argumentstructs.Rutger.8}
IS1002b.B.argumentstructs.Rutger.8,B,724.61,731.66,私にとっては、それは単に追加ボタンのコストだけです。つまり、ソフトウェア的には実際には違いはありません。そう思います。,IS1002b.A.argumentstructs.Rutger.6,{IS1002b.C.argumentstructs.Rutger.2}
IS1002b.C.argumentstructs.Rutger.2,C,724.614,725.25,うん,IS1002b.B.argumentstructs.Rutger.8,NONE
IS1002b.C.argumentstructs.24,C,725.25,725.25,。,NONE,NONE
IS1002b.A.argumentstructs.43,A,728.88,731.78,うん。いいよ。,NONE,NONE
IS1002b.D.argumentstructs.Rutger.11,D,731.984,750.49,馬鹿げた質問かもしれませんが、最初に、コンピューターの出現によりテレテキストは時代遅れになるだろうと言われました。この 2 つがどのように関連しているのか理解できません。コンピューターとテレテキストは、なぜ一方が他方の必要性を排除するのでしょうか。理解できません。,IS1002b.A.argumentstructs.Rutger.5,"{IS1002b.A.argumentstructs.Rutger.7, IS1002b.C.argumentstructs.Rutger.5, IS1002b.D.argumentstructs.Rutger.12}"
IS1002b.A.argumentstructs.Rutger.7,A,750.6,758.18,まあ、ここで私たちが取り組んでいるのは、たとえばテレビを介したインターネットというアイデアかもしれません。それが私たちにできることにつながるかもしれません。,IS1002b.D.argumentstructs.Rutger.11,{IS1002b.C.argumentstructs.Rutger.3}
IS1002b.C.argumentstructs.Rutger.3,C,757.41,768.128,ええ、彼らが基本的に目指しているのは、数年前にはテレテキストが最も簡単な方法でスケジュールや次の番組などを確認するために使われていたということです。,IS1002b.A.argumentstructs.Rutger.7,{IS1002b.B.argumentstructs.Rutger.9}
IS1002b.B.argumentstructs.Rutger.9,B,764.56,765.34,スケジュール。,IS1002b.C.argumentstructs.Rutger.3,{IS1002b.B.argumentstructs.Rutger.10}
IS1002b.B.argumentstructs.Rutger.10,B,767.49,770.77,ええと、ご存知のとおり、コマーシャルがあっても何を見ているのかを知るためです。,IS1002b.B.argumentstructs.Rutger.9,{IS1002b.C.argumentstructs.Rutger.4}
IS1002b.C.argumentstructs.Rutger.4,C,770.8,773.01,はい、今はインターネットで見ることができます。,IS1002b.B.argumentstructs.Rutger.10,NONE
IS1002b.D.argumentstructs.38,D,771.03,771.42,わかった。,NONE,NONE
IS1002b.C.argumentstructs.Rutger.5,C,773.01,777.81,しかし、同じ商品が登場するまでは、やはりテレテキストの方がはるかに便利だと私は思います。,IS1002b.D.argumentstructs.Rutger.11,NONE
IS1002b.B.argumentstructs.38,B,774.46,775.9,私はそう思う,NONE,NONE
IS1002b.D.argumentstructs.Rutger.12,D,777.78,794.64,ええ、そうですね、私はコンピューターとテレビのクロスオーバーが理解できません。ある意味ではクロスオーバーは理解できますが、リモコンはテレビで使用されます。つまり、クロスオーバーしてコンピューターでテレビを見るようになると、リモコンの必要性が失われます。,IS1002b.D.argumentstructs.Rutger.11,"{IS1002b.B.argumentstructs.Rutger.11, IS1002b.C.argumentstructs.Rutger.6, IS1002b.A.argumentstructs.Rutger.8}"
IS1002b.B.argumentstructs.Rutger.11,B,778.23,778.74,同意します。,IS1002b.D.argumentstructs.Rutger.12,NONE
IS1002b.C.argumentstructs.Rutger.6,C,783.44,784.97,そうだね、でもまだ起こってないよ。そうだね。,IS1002b.D.argumentstructs.Rutger.12,NONE
IS1002b.A.argumentstructs.Rutger.8,A,785.06,786.81,まあ、あなたはすでにデジタルテレビをお持ちです。,IS1002b.D.argumentstructs.Rutger.12,"{IS1002b.B.argumentstructs.Rutger.12, IS1002b.A.argumentstructs.Rutger.9, IS1002b.A.argumentstructs.Rutger.10}"
IS1002b.B.argumentstructs.39,B,788.36,792.08,ええ。,NONE,NONE
IS1002b.B.argumentstructs.Rutger.12,B,794.13,794.42,うん。,IS1002b.A.argumentstructs.Rutger.8,NONE
IS1002b.A.argumentstructs.Rutger.9,A,794.24,808.549,例えばデジタルテレビシステムでは、ボタンを押すだけで広告の中のものを購入したり、カタログを閲覧したりすることができます。私の家族は、,IS1002b.A.argumentstructs.Rutger.8,NONE
IS1002b.B.argumentstructs.40,B,800.75,800.98,うんうん。,NONE,NONE
IS1002b.A.argumentstructs.Rutger.10,A,808.58,826.69,そうですね。他のシステムには、たとえばライブ TV を一時停止できる機能などもあります。これらはインターネットやコンピューターからの機能が TV に隠れて取り込まれているだけですが、テレテキストを通じて使用しています。したがって、ここで考えるべきことは、私たちが処理できる可能性のある機能がさらに増えるということです。,IS1002b.A.argumentstructs.Rutger.8,"{IS1002b.D.argumentstructs.Rutger.13, IS1002b.C.argumentstructs.Rutger.7, IS1002b.B.argumentstructs.Rutger.13}"
IS1002b.D.argumentstructs.39,D,818.47,818.83,わかった。,NONE,NONE
IS1002b.D.argumentstructs.Rutger.13,D,820.45,820.79,わかった。,IS1002b.A.argumentstructs.Rutger.10,NONE
IS1002b.C.argumentstructs.Rutger.7,C,824.87,833.152,ええ、でも私たちはそのためのコマンドを狙っているわけではありません。それが問題なのです。そして、それらはすべて、より複雑でより多くのソフトウェアを必要とする他のコマンドを必要とします。,IS1002b.A.argumentstructs.Rutger.10,NONE
