ae_id,speaker,start_time,end_time,sentence,source,targets
ES2010c.A.argumentstructs.Erik.15,A,1325.08,1329.13,えっと、電池のサイズは、ダブルAですか、トリプルAですか?,NONE,"ES2010c.D.argumentstructs.Erik.15, ES2010c.B.argumentstructs.Erik.14"
ES2010c.D.argumentstructs.Erik.15,D,1329.57,1331.33,トリプルA_ならもっと軽くなると思います。,ES2010c.A.argumentstructs.Erik.15,ES2010c.A.argumentstructs.Erik.16
ES2010c.A.argumentstructs.Erik.16,A,1331.49,1331.79,二 ？,ES2010c.D.argumentstructs.Erik.15,ES2010c.A.argumentstructs.Erik.17
ES2010c.A.argumentstructs.Erik.17,A,1332.91,1334.046,2台で走れるのか,ES2010c.A.argumentstructs.Erik.16,"ES2010c.D.argumentstructs.Erik.16, ES2010c.C.argumentstructs.Erik.12, ES2010c.B.argumentstructs.Erik.13"
ES2010c.D.argumentstructs.Erik.16,D,1333.01,1335.82,つまり、パッケージにはもっと多くのものが含まれています。 ええ。,ES2010c.A.argumentstructs.Erik.17,NONE
ES2010c.C.argumentstructs.Erik.12,C,1334.15,1335.89,まあ、それは必要なエネルギーによって決まります。,ES2010c.A.argumentstructs.Erik.17,NONE
ES2010c.B.argumentstructs.Erik.13,B,1336.54,1339.89,まあ、2つできると思います,ES2010c.A.argumentstructs.Erik.17,NONE
ES2010c.B.argumentstructs.Erik.14,B,1339.89,1359.3,あるいは、小さなリチウム 1 個を使うこともできます。リチウム電池は他のほとんどの電子製品で非常によく使われていることはご存じですよね? そのため、現在ではより広く入手可能です。また、ほとんどの電池よりも寿命が長いです。ただし、交換は 5 年ごとに行う必要があります。,ES2010c.A.argumentstructs.Erik.15,"ES2010c.A.argumentstructs.Erik.18, ES2010c.D.argumentstructs.Erik.17, ES2010c.A.argumentstructs.Erik.19"
ES2010c.A.argumentstructs.Erik.18,A,1354.5,1355.73,ただし、値段も高くなります。,ES2010c.B.argumentstructs.Erik.14,NONE
ES2010c.A.argumentstructs.35,A,1358.44,1358.77,うーん。,NONE,NONE
ES2010c.D.argumentstructs.Erik.17,D,1361.01,1361.78,それはいい指摘だ,ES2010c.B.argumentstructs.Erik.14,NONE
ES2010c.A.argumentstructs.Erik.19,A,1361.43,1362.64,誰かの意見は？,ES2010c.B.argumentstructs.Erik.14,ES2010c.C.argumentstructs.Erik.13
ES2010c.D.argumentstructs.31,D,1361.78,1361.78,。,NONE,NONE
ES2010c.C.argumentstructs.Erik.13,C,1362.15,1363.28,それを一緒に販売する限りは。,ES2010c.A.argumentstructs.Erik.19,ES2010c.B.argumentstructs.Erik.15
ES2010c.B.argumentstructs.Erik.15,B,1364.43,1372.3,そうですね、最初はどうでしょう、買うとバッテリーが 1 個付いてきます。まとめ買いするとかなり安く手に入ると思いますから。そうですね。,ES2010c.C.argumentstructs.Erik.13,ES2010c.C.argumentstructs.Erik.14
ES2010c.C.argumentstructs.Erik.14,C,1368.68,1369.83,そうです、そういう意味です。,ES2010c.B.argumentstructs.Erik.15,NONE
