ae_id,speaker,start_time,end_time,sentence,source,targets
TS3003c.A.argumentstructs.Daan.4,A,1330.09,1372.752,そして、ケースの要点に戻ります。マーケティングの話に戻りますが、木材を選ぶか、黒とグレーを選ぶか。それとも両方？木材は生産コストがはるかに高いので、木材は特別なものが欲しい高齢者を惹きつけると思います。孫に自慢できるような。新しいリモコンを手に入れたよ。,NONE,"TS3003c.D.argumentstructs.Daan.7, TS3003c.B.argumentstructs.Daan.4"
TS3003c.D.argumentstructs.16,D,1355.35,1369.36,うんうん。うんうん。,NONE,NONE
TS3003c.D.argumentstructs.Daan.7,D,1371.39,1385.58,そうですね、そして最も重要な要素は木の色だと思います。木の色であれば、実際には木である必要はありません。,TS3003c.A.argumentstructs.Daan.4,TS3003c.A.argumentstructs.Daan.5
TS3003c.B.argumentstructs.9,B,1371.88,1395.44,うーん、分からない。うーん。,NONE,NONE
TS3003c.A.argumentstructs.16,A,1380.5,1383.99,はい、その通りです。,NONE,NONE
TS3003c.A.argumentstructs.Daan.5,A,1386.17,1389.04,でもカラーだともっと高くなるんですか？それとも？,TS3003c.D.argumentstructs.Daan.7,"TS3003c.C.argumentstructs.Daan.4, TS3003c.A.argumentstructs.Daan.7, TS3003c.D.argumentstructs.Daan.8"
TS3003c.C.argumentstructs.Daan.4,C,1389.25,1393.05,うーん、分かりません。調べてみないと。,TS3003c.A.argumentstructs.Daan.5,TS3003c.A.argumentstructs.Daan.6
TS3003c.A.argumentstructs.Daan.6,A,1389.87,1390.38,知らないの？,TS3003c.C.argumentstructs.Daan.4,NONE
TS3003c.A.argumentstructs.Daan.7,A,1392.12,1400.64,そうだと思います。なぜなら、扱いがはるかに難しく、適切な形にするのが難しいからです。,TS3003c.A.argumentstructs.Daan.5,NONE
TS3003c.D.argumentstructs.Daan.8,D,1394.59,1395.6,おそらく。,TS3003c.A.argumentstructs.Daan.5,NONE
TS3003c.B.argumentstructs.Daan.4,B,1400.79,1418.07,えっと、ケースを交換できるんですか？ええと、携帯電話の場合、ノキアの携帯電話のように、ケースを交換できると、,TS3003c.A.argumentstructs.Daan.4,"TS3003c.A.argumentstructs.Daan.8, TS3003c.B.argumentstructs.Daan.5, TS3003c.A.argumentstructs.Daan.9, TS3003c.A.argumentstructs.Daan.12"
TS3003c.A.argumentstructs.17,A,1413.87,1414.21,うん。,NONE,NONE
TS3003c.A.argumentstructs.Daan.8,A,1417.83,1419.39,ケースを変えてください。うん。,TS3003c.B.argumentstructs.Daan.4,NONE
TS3003c.B.argumentstructs.Daan.5,B,1419.3,1433.82,多分それは可能です。つまり、標準的なリモコンを 1 つ作るだけで、いくつか販売できるということですね。,TS3003c.B.argumentstructs.Daan.4,NONE
TS3003c.A.argumentstructs.Daan.9,A,1432.61,1447.807,ケースを販売することもできます。そうですね。それはとても良い選択肢だと思います。なぜなら、そうすることで、「おじいさんにリモコン用の新しいケースをプレゼントしましょう」などと宣伝することもできるからです。,TS3003c.B.argumentstructs.Daan.4,TS3003c.A.argumentstructs.Daan.10
TS3003c.A.argumentstructs.Daan.10,A,1448.13,1461.45,それは特別な機能であり、他のリモコンにはないものなので、大きな利点になります。そして、色を付けて作ることもできます。黒やグレー、その他の色も使えます。,TS3003c.A.argumentstructs.Daan.9,"TS3003c.D.argumentstructs.Daan.9, TS3003c.D.argumentstructs.Daan.11"
TS3003c.D.argumentstructs.Daan.9,D,1453.95,1455.74,はい、それは本当です。,TS3003c.A.argumentstructs.Daan.10,NONE
TS3003c.D.argumentstructs.Daan.11,D,1461.8,1466.7,そうですね。ただし、デザインについては慎重に検討する必要があります。,TS3003c.A.argumentstructs.Daan.10,TS3003c.D.argumentstructs.Daan.12
TS3003c.A.argumentstructs.18,A,1466.05,1478.2,費用。うん。,NONE,NONE
TS3003c.D.argumentstructs.Daan.12,D,1468.87,1481.53,なぜなら、木製のカバーとプラスチックのカバーに合うコントロール付きのものを作らなければならないからです。よりオリジナルなもの、またはより標準的なもの。,TS3003c.D.argumentstructs.Daan.11,TS3003c.A.argumentstructs.Daan.11
TS3003c.A.argumentstructs.Daan.11,A,1482.94,1498.3,そうですね。つまり、たとえばリモコンや、異なるケースカバーを適用できる 2 種類の電話機を設計すべきだとおっしゃるわけですね。,TS3003c.D.argumentstructs.Daan.12,TS3003c.D.argumentstructs.Daan.13
TS3003c.D.argumentstructs.17,D,1489.01,1491.65,まあ、私は電話をデザインすることはないだろうけど,NONE,NONE
TS3003c.D.argumentstructs.Daan.13,D,1496.55,1508.67,いや、そうではなくて、リモコンを 1 つだけ設計するべきだと思いますが、木製のカバーかプラスチック製のカバーのどちらかが付いた、凝ったものになるはずです。,TS3003c.A.argumentstructs.Daan.11,TS3003c.D.argumentstructs.Daan.14
TS3003c.A.argumentstructs.19,A,1502.18,1510.36,リモート。うん。わかった。,NONE,NONE
TS3003c.D.argumentstructs.Daan.14,D,1510.65,1513.05,しかし、それはそれほど大きな問題ではないはずです。,TS3003c.D.argumentstructs.Daan.13,NONE
TS3003c.A.argumentstructs.Daan.12,A,1514.24,1517.67,それで、カバーを変えることにみんなは同意しますか?,TS3003c.B.argumentstructs.Daan.4,"TS3003c.C.argumentstructs.Daan.5, TS3003c.A.argumentstructs.Daan.13"
TS3003c.C.argumentstructs.Daan.5,C,1518.39,1518.62,はい。,TS3003c.A.argumentstructs.Daan.12,NONE
TS3003c.A.argumentstructs.Daan.13,A,1518.53,1520.59,それは良い選択肢だと思います。,TS3003c.A.argumentstructs.Daan.12,TS3003c.A.argumentstructs.Daan.14
TS3003c.B.argumentstructs.10,B,1518.57,1518.94,うん。,NONE,NONE
TS3003c.A.argumentstructs.Daan.14,A,1523.88,1525.55,ケースカバーの交換。,TS3003c.A.argumentstructs.Daan.13,NONE
