ae_id,speaker,start_time,end_time,sentence,source,targets
TS3004b.D.argumentstructs.Daan.3,D,585.05,602.8,そして私はモットーを見つけました。そして私たちは電子機器に流行を取り入れました。そしてそれが私たちのスタイルの基準となっているモットーです。私たちは新しい製品を作らなければなりません。私たちはそうでなければなりません。,NONE,"TS3004b.D.argumentstructs.Daan.4, TS3004b.D.argumentstructs.Daan.5"
TS3004b.D.argumentstructs.Daan.4,D,604.39,606.29,唯一無二だと思います。,TS3004b.D.argumentstructs.Daan.3,TS3004b.A.argumentstructs.Daan.1
TS3004b.A.argumentstructs.Daan.1,A,605.86,609.67,だからユニークに見えなくてはいけないけど,TS3004b.D.argumentstructs.Daan.4,NONE
TS3004b.D.argumentstructs.Daan.5,D,608.437,612.25,当社は、お客様自身のファッション、お客様自身のスタイルを大切にしています。,TS3004b.D.argumentstructs.Daan.3,TS3004b.A.argumentstructs.Daan.2
TS3004b.A.argumentstructs.10,A,612.14,612.39,うん。,NONE,NONE
TS3004b.A.argumentstructs.Daan.2,A,613.32,615.02,しかし、老人たちはそれを求めていません。,TS3004b.D.argumentstructs.Daan.5,"TS3004b.C.argumentstructs.Daan.1, TS3004b.B.argumentstructs.Daan.2"
TS3004b.A.argumentstructs.11,A,616.38,644.64,特には。わかった。うん。うん。わかった。ありがとう。,NONE,NONE
TS3004b.C.argumentstructs.Daan.1,C,617.45,625.62,そうですね。一番大事なのは使いやすさだと思います。そこが特別な製品にできるところだと思います。,TS3004b.A.argumentstructs.Daan.2,NONE
TS3004b.B.argumentstructs.8,B,622.21,622.45,うん。,NONE,NONE
TS3004b.B.argumentstructs.Daan.2,B,625.15,641.635,しかし、目立たなければなりません。あなたが言ったように、すでに多くの機能をサポートするコントロールがたくさんあるからです。しかし、私たちはより使いやすいものにし、見た目だけでも目立つようにする必要があります。色や形を変えるだけで、,TS3004b.A.argumentstructs.Daan.2,NONE
TS3004b.D.argumentstructs.8,D,625.48,644.97,すみません、考えてしまいました。はい、これは私のプレゼンテーションでした。,NONE,NONE
TS3004b.C.argumentstructs.9,C,645.72,646.03,わかった。,NONE,NONE
