ae_id,speaker,start_time,end_time,sentence,source,targets
ES2012c.A.argumentstructs.43,A,537.99,542.15,そうですね、ここで決断を下す必要があると思います,NONE,NONE
ES2012c.A.argumentstructs.Rutger.1,A,542.15,554.88,会社がこれを迅速かつ安価に市場に投入したいと考えていることを考えると、事実上、既存のチップ、つまり従来のボタン技術に制限されることになると思われます。,NONE,ES2012c.A.argumentstructs.Rutger.2
ES2012c.B.argumentstructs.28,B,545.91,546.05,うーん。,NONE,NONE
ES2012c.A.argumentstructs.44,A,556.02,561.42,えっと、他の皆さんのところに行く前に、誰か,NONE,NONE
ES2012c.C.argumentstructs.35,C,562.76,562.98,私,NONE,NONE
ES2012c.A.argumentstructs.Rutger.2,A,562.81,565.45,それについて何か言いたいことはありますか?,ES2012c.A.argumentstructs.Rutger.1,"ES2012c.C.argumentstructs.Rutger.1, ES2012c.A.argumentstructs.Rutger.3, ES2012c.A.argumentstructs.Rutger.7, ES2012c.D.argumentstructs.Rutger.1, ES2012c.A.argumentstructs.Rutger.9, ES2012c.C.argumentstructs.Rutger.8"
ES2012c.C.argumentstructs.Rutger.1,C,565.72,591.25,それについて質問があります。コマンドがいくつかあるだけでも違いはあるのでしょうか。たとえば、1から10までの数字をあらかじめプログラムして、9つのチャンネルをあらかじめプログラムしておき、音声認識を使ってチャンネル1を言うだけで、B_B_C_4をお気に入りのチャンネル1としてプログラムすると、特定の数のお気に入りがあるような感じになります。,ES2012c.A.argumentstructs.Rutger.2,ES2012c.B.argumentstructs.Rutger.1
ES2012c.B.argumentstructs.Rutger.1,B,590.2,603.45,音声起動を組み込むのが、ちょっとしたコツです。音声チップを全部組み込めば、あとはほぼ無限大の世界ですが、実際のところ大きなステップは、音声起動チップを組み込んで動作させることです。,ES2012c.C.argumentstructs.Rutger.1,NONE
ES2012c.C.argumentstructs.36,C,594.35,613.67,わかった。それなら問題ない。わかった。わかった。うん。,NONE,NONE
ES2012c.A.argumentstructs.45,A,617.68,619.37,いや、つまり、もしあなたが,NONE,NONE
ES2012c.A.argumentstructs.Rutger.3,A,620.53,623.77,誰かの名前を言うと、自動的に番号がダイヤルされます,ES2012c.A.argumentstructs.Rutger.2,"ES2012c.A.argumentstructs.Rutger.4, ES2012c.C.argumentstructs.Rutger.3"
ES2012c.A.argumentstructs.Rutger.4,A,623.77,633.04,つまり、この情報は会社の内部情報からのものですか？,ES2012c.A.argumentstructs.Rutger.3,ES2012c.B.argumentstructs.Rutger.2
ES2012c.A.argumentstructs.46,A,623.77,623.77,、,NONE,NONE
ES2012c.B.argumentstructs.Rutger.2,B,632.04,633.58,ええ、少しずつです。,ES2012c.A.argumentstructs.Rutger.4,NONE
ES2012c.A.argumentstructs.47,A,634.81,635.44,それで、,NONE,NONE
