ae_id,speaker,start_time,end_time,sentence,source,targets
IS1007c.B.argumentstructs.Daan.1,B,829.35,856.81,はい。そして、これはボリュームを表す V_ の部分です。上矢印と下矢印があります。しかし、V_ では、V_ は上部にある下矢印のように見えます。上部の上矢印に上矢印があると、下向きになっているような V_ があり、インターフェイスがわかりにくいので、このようなことはデザインで避けたいと考えています。,NONE,{IS1007c.B.argumentstructs.Daan.2}
IS1007c.A.argumentstructs.9,A,849.18,849.44,うんうん。,NONE,NONE
IS1007c.B.argumentstructs.Daan.2,B,858.42,892.29,そして、これは私が見つけた調査結果の後にまとめた短い要約です。大きなボタンは便利で、音声認識が役立ちます。プッシュボタン、スクロールボタン、スピニングホイールはナビゲーションツールとして使用できます。そして、ユーザーがカスタマイズできることは重要で、最後にシンプルさが鍵です。はい。そこには多くのコンセプトがありますが、どれを使用するのが重要かを後で選択する必要があります。基本的には,IS1007c.B.argumentstructs.Daan.1,"{IS1007c.C.argumentstructs.Daan.1, IS1007c.A.argumentstructs.Daan.1}"
IS1007c.C.argumentstructs.14,C,887.62,887.85,うん。,NONE,NONE
IS1007c.C.argumentstructs.Daan.1,C,891.28,932.23,まあ、すべての可能性を検討したというのはいいことだと思いますが、ユーザー インターフェイスがテレビ画面に表示されることを考慮すると、リモコンに多くのボタンは必要ないと思います。操作はナビゲートして、OK キーや Enter キーなどがあれば十分だからです。ホイールやスクロールを追加すると、より複雑になり、コストも高くなります。,IS1007c.B.argumentstructs.Daan.2,NONE
IS1007c.B.argumentstructs.18,B,897.83,931.43,うん。うん。うん。うん。わかった。,NONE,NONE
IS1007c.A.argumentstructs.Daan.1,A,931.78,951.67,あるいは、リモコンにユーザーマニュアルを含めて、ヘルプのようなボタンを用意し、ヘルプボタンを押すと、テレビの中にユーザーマニュアルが表示されるようにすることもできます。,IS1007c.B.argumentstructs.Daan.2,"{IS1007c.C.argumentstructs.Daan.2, IS1007c.B.argumentstructs.Daan.3, IS1007c.B.argumentstructs.Daan.4}"
IS1007c.C.argumentstructs.Daan.2,C,949.46,952.85,はい。それは良いアイデアですね。ヘルプボタンがあるのは。,IS1007c.A.argumentstructs.Daan.1,NONE
IS1007c.B.argumentstructs.Daan.3,B,953.5,958.45,ヘルプボタン。画面に表示されます。T_V_画面で,IS1007c.A.argumentstructs.Daan.1,{IS1007c.C.argumentstructs.Daan.3}
IS1007c.C.argumentstructs.15,C,954.24,954.49,うん。,NONE,NONE
IS1007c.A.argumentstructs.10,A,954.27,954.52,うん。,NONE,NONE
IS1007c.C.argumentstructs.Daan.3,C,956.8,961.46,T_V_ 画面上。T_V_ 画面上にリモコンの使い方が表示されます。,IS1007c.B.argumentstructs.Daan.3,{IS1007c.A.argumentstructs.Daan.2}
IS1007c.A.argumentstructs.Daan.2,A,956.82,961.92,T_V_ T_V_画面で。ボタンを押すだけで,IS1007c.C.argumentstructs.Daan.3,NONE
IS1007c.B.argumentstructs.19,B,958.45,960.18,。 わかった。,NONE,NONE
IS1007c.B.argumentstructs.Daan.4,B,961.28,969.7,分かりました。分かりました。これで複雑なドキュメントは不要になります。,IS1007c.A.argumentstructs.Daan.1,{IS1007c.D.argumentstructs.Daan.1}
IS1007c.D.argumentstructs.12,D,961.86,962.16,おお。,NONE,NONE
IS1007c.D.argumentstructs.Daan.1,D,969.12,986.29,しかし、ヘルプをよく見ている人は、ヘルプ ボタンを見ると、これは複雑なものだ、心理学の問題だ、と言います。では、市場が何を求めているかを見てみましょう。私のプレゼンテーションを見てみましょう。,IS1007c.B.argumentstructs.Daan.4,NONE
IS1007c.A.argumentstructs.11,A,976.63,985.04,彼らが助けを必要とする場合、彼らが助けを必要とする場合。 ええ。,NONE,NONE
IS1007c.C.argumentstructs.16,C,980.25,981.82,マーケティングの観点から。,NONE,NONE
IS1007c.B.argumentstructs.20,B,982.02,982.56,うん。,NONE,NONE
IS1007c.D.argumentstructs.Daan.2,D,1161.27,1168.19,そして、リモコンが複雑すぎると、その機能を習得するのに時間がかかります。,NONE,{IS1007c.D.argumentstructs.Daan.3}
IS1007c.D.argumentstructs.Daan.3,D,1169.43,1193.69,割合を見ると、50 % の人がリモコンをいつも失くすと回答し、34 % の人が複雑すぎると使い方を覚えるのが難しいと答えています。これらの調査結果と不満を考慮すると、これが解決策になると思います。REM リモコンに L_C_D_ を付けるべきです。,IS1007c.D.argumentstructs.Daan.2,"{IS1007c.C.argumentstructs.Daan.4, IS1007c.D.argumentstructs.Daan.4}"
IS1007c.C.argumentstructs.17,C,1181.21,1181.41,うん。,NONE,NONE
IS1007c.C.argumentstructs.Daan.4,C,1196.75,1206.59,うーん、そうですね、大きな画面があって画面にディスプレイがある場合、リモコンに L_C_D_ が付いている利点はあまりわかりません。,IS1007c.D.argumentstructs.Daan.3,{IS1007c.C.argumentstructs.Daan.5}
IS1007c.C.argumentstructs.Daan.5,C,1207.47,1216.893,もちろん、派手で流行っているけど、生産コストが高く、,IS1007c.C.argumentstructs.Daan.4,NONE
IS1007c.D.argumentstructs.13,D,1207.57,1207.89,うん？,NONE,NONE
IS1007c.D.argumentstructs.Daan.4,D,1215.44,1235.89,調査によると、人々はリモコンが高級であればもっとお金を払う用意があるそうです。リモコンに L_C_D_ があれば、テレビを見るのではなくリモコンを見て操作するだけです。iPod のリモコンと同じメニューです。ただ遊んでいるだけです。,IS1007c.D.argumentstructs.Daan.3,"{IS1007c.C.argumentstructs.Daan.6, IS1007c.D.argumentstructs.Daan.5, IS1007c.C.argumentstructs.Daan.7}"
IS1007c.C.argumentstructs.18,C,1232.32,1232.77,ええ、ええ。,NONE,NONE
IS1007c.C.argumentstructs.Daan.6,C,1235.17,1239.91,そうですが、iPodで遊ぶときは目の前に大きなスクリーンはありません。,IS1007c.D.argumentstructs.Daan.4,"{IS1007c.A.argumentstructs.Daan.3, IS1007c.B.argumentstructs.Daan.5}"
IS1007c.B.argumentstructs.21,B,1238.79,1239.83,ええ、ええ。,NONE,NONE
IS1007c.D.argumentstructs.14,D,1239.2,1254.25,ええ、ええ。,NONE,NONE
IS1007c.A.argumentstructs.Daan.3,A,1239.22,1244.88,この画面を大きな画面の代わりに使用できます。,IS1007c.C.argumentstructs.Daan.6,NONE
IS1007c.B.argumentstructs.Daan.5,B,1241.41,1258.736,はい。既存の画面を再利用すれば、L_C_D_ は不要になります。L_C_D_ は表示のためだけのものです。カラフルな画面があれば、L_C_D_ と同じくらいカラフルで派手な表示にできます。おそらく、L_C_D_ よりも派手な表示になるかもしれません。,IS1007c.C.argumentstructs.Daan.6,NONE
IS1007c.C.argumentstructs.19,C,1255.64,1262.76,うん。うん。うんうん。,NONE,NONE
IS1007c.D.argumentstructs.Daan.5,D,1258.98,1264.25,これは市場の需要から得たポイントです。,IS1007c.D.argumentstructs.Daan.4,NONE
IS1007c.C.argumentstructs.Daan.7,C,1264.62,1270.24,それで、私は、ええと、私たちは、ええと、派手な外観に焦点を当てることができると思います,IS1007c.D.argumentstructs.Daan.4,{IS1007c.C.argumentstructs.Daan.8}
IS1007c.C.argumentstructs.Daan.8,C,1273.04,1285.44,音声認識に関しては、技術が利用可能であれば、L_C_D_ は、それほど大きな成果が得られないのに、多額の費用を費やすことになると思います。,IS1007c.C.argumentstructs.Daan.7,{IS1007c.B.argumentstructs.Daan.6}
IS1007c.B.argumentstructs.22,B,1277.28,1283.8,うん。うーん。,NONE,NONE
IS1007c.B.argumentstructs.Daan.6,B,1285.81,1291.28,リモコンの製造コストの予算があることを覚えておいてください。,IS1007c.C.argumentstructs.Daan.8,{IS1007c.B.argumentstructs.Daan.7}
IS1007c.A.argumentstructs.12,A,1291.86,1292.13,うん。,NONE,NONE
IS1007c.B.argumentstructs.Daan.7,B,1292.63,1300.539,はい。つまり、L_C_D_ がいくらかかるか調べて、それからまた決めるということです。,IS1007c.B.argumentstructs.Daan.6,{IS1007c.B.argumentstructs.Daan.8}
IS1007c.D.argumentstructs.15,D,1300.18,1309.3,つまり、それは工業デザイナーによって発見されるべきだということです。,NONE,NONE
IS1007c.B.argumentstructs.Daan.8,B,1303.76,1308.03,えっと、値段を調べて次回教えてください。,IS1007c.B.argumentstructs.Daan.7,{IS1007c.C.argumentstructs.Daan.9}
IS1007c.C.argumentstructs.Daan.9,C,1307.24,1312.306,L_C_D_ディスプレイの価格です。そして,IS1007c.B.argumentstructs.Daan.8,NONE
IS1007c.B.argumentstructs.23,B,1310.15,1310.59,うん。,NONE,NONE
IS1007c.B.argumentstructs.Daan.9,B,1749.94,1755.23,うーん。音声認識器の語彙セットも定義する必要があると思います,NONE,"{IS1007c.B.argumentstructs.Daan.10, IS1007c.B.argumentstructs.Daan.15}"
IS1007c.C.argumentstructs.20,C,1756.69,1756.86,うん。,NONE,NONE
IS1007c.B.argumentstructs.Daan.10,B,1757.22,1774.464,チャンネルやテレビ番組で並べ替えたい場合、それらの語彙のカテゴリを決定する必要があります。数字の場合は簡単ですが、チャンネル名で名前を付ける場合は,IS1007c.B.argumentstructs.Daan.9,"{IS1007c.C.argumentstructs.Daan.10, IS1007c.B.argumentstructs.Daan.11, IS1007c.C.argumentstructs.Daan.13, IS1007c.D.argumentstructs.Daan.11}"
IS1007c.C.argumentstructs.Daan.10,C,1775.2,1791.569,チャンネルの番号だけを表示して、リモコンに「スポーツ」と言えば、テレビに「今放送中のスポーツ番組」などのリストが表示されます。,IS1007c.B.argumentstructs.Daan.10,{IS1007c.D.argumentstructs.Daan.6}
IS1007c.B.argumentstructs.24,B,1787.15,1834.8,うーん。うん。うーん。うーん。うーん。うーん。,NONE,NONE
IS1007c.D.argumentstructs.Daan.6,D,1790.57,1811.425,いいえ、そこに問題があります。音声コマンドがあり、バスケットボールのスコアなどを見ているときに、スコアが24、35だった場合、25と言うだけで、突然画面が25に切り替わります。そのため、いくつかの数字にはプレフィックスが必要だと思います。,IS1007c.C.argumentstructs.Daan.10,"{IS1007c.C.argumentstructs.Daan.11, IS1007c.C.argumentstructs.Daan.12, IS1007c.D.argumentstructs.Daan.7}"
IS1007c.A.argumentstructs.13,A,1804.0,1858.55,うん。そうか。それとも,NONE,NONE
IS1007c.C.argumentstructs.Daan.11,C,1808.26,1809.36,そうだね、うんうん。,IS1007c.D.argumentstructs.Daan.6,NONE
IS1007c.C.argumentstructs.Daan.12,C,1810.33,1819.179,まあ、でもまあ、あらゆる可能性のある言葉は、T_V_ から発生する可能性があります。,IS1007c.D.argumentstructs.Daan.6,NONE
IS1007c.D.argumentstructs.Daan.7,D,1817.64,1830.82,つまり、T_V_ 25 と普通の 25 を言う確率をすべてチェックするということです。普通の 25 は、ほぼ 60 % の確率で、T_V_ 25 と言われます。,IS1007c.D.argumentstructs.Daan.6,{IS1007c.D.argumentstructs.Daan.8}
IS1007c.D.argumentstructs.Daan.8,D,1831.95,1837.72,1 パーセントか 2 パーセントくらいになるかはわかりません。したがって、数字の前に何らかの接頭辞を付けたほうがよいでしょう。,IS1007c.D.argumentstructs.Daan.7,NONE
IS1007c.B.argumentstructs.Daan.11,B,1837.82,1844.64,しかし、ユーザーは番号ではなく、チャネルを関連付けたり、チャネルを呼び出したりすることを望んでいると思います。,IS1007c.B.argumentstructs.Daan.10,{IS1007c.B.argumentstructs.Daan.12}
IS1007c.D.argumentstructs.16,D,1844.6,1846.01,ああ、何か、コード。,NONE,NONE
IS1007c.B.argumentstructs.Daan.12,B,1845.77,1855.28,T_V_ のチャンネル番号 5 は、チャンネル内の他の何かに対応していると言っています。そのため、このチャンネルを見たいと言う人もいるかもしれません。,IS1007c.B.argumentstructs.Daan.11,"{IS1007c.D.argumentstructs.Daan.9, IS1007c.B.argumentstructs.Daan.14, IS1007c.D.argumentstructs.Daan.10, IS1007c.A.argumentstructs.Daan.5, IS1007c.A.argumentstructs.Daan.6}"
IS1007c.D.argumentstructs.Daan.9,D,1856.2,1860.25,それは大きすぎます。語彙にとっても難しいでしょう。,IS1007c.B.argumentstructs.Daan.12,"{IS1007c.B.argumentstructs.Daan.13, IS1007c.A.argumentstructs.Daan.4}"
IS1007c.B.argumentstructs.Daan.13,B,1859.88,1867.21,はい。認識機能については、v R_ および D_ 部門に確認してください。えっと?,IS1007c.D.argumentstructs.Daan.9,NONE
IS1007c.A.argumentstructs.Daan.4,A,1862.98,1878.04,チャンネル名だけを言うのは難しいです。チャンネル名だけを言うのは難しいでしょう。なぜなら、チャンネル名をすべて語彙に含めておかなければならないからです。,IS1007c.D.argumentstructs.Daan.9,NONE
IS1007c.B.argumentstructs.Daan.14,B,1871.09,1873.04,まあ、ユーザーにとっては便利ですね。,IS1007c.B.argumentstructs.Daan.12,NONE
IS1007c.D.argumentstructs.Daan.10,D,1879.68,1884.144,チャンネル名を忘れただけかもしれませんが、番号しか知りません。,IS1007c.B.argumentstructs.Daan.12,NONE
IS1007c.A.argumentstructs.14,A,1880.77,1881.37,あるいは,NONE,NONE
IS1007c.C.argumentstructs.21,C,1882.19,1882.71,うん。,NONE,NONE
IS1007c.A.argumentstructs.Daan.5,A,1884.5,1894.34,あるいは、ユーザーはチャンネル名を発音して語彙に含めるだけで、独自の語彙を作成することもできます。,IS1007c.B.argumentstructs.Daan.12,NONE
IS1007c.B.argumentstructs.25,B,1888.22,1888.54,うーん。,NONE,NONE
IS1007c.B.argumentstructs.Daan.15,B,1890.29,1934.288,ええと、別の方法があると思います。たとえば、ユーザーがボタンを押してチャンネルを選択するときに、テレビ画面を小さな四角い画像に分割して、各チャンネルのスナップショットを取得することができます。4 x 4 の画像マトリックスがあるとします。次に、利用可能な 16 のチャンネルすべてを一度に表示するには、コントロール ボタンを使用します。必要なオプションを選択して、ボタンを押すだけで、そのチャンネルに移動します。,IS1007c.B.argumentstructs.Daan.9,{IS1007c.B.argumentstructs.Daan.16}
IS1007c.A.argumentstructs.Daan.6,A,1934.23,1937.96,あるいはユーザーが独自の語彙を作成できるようにする,IS1007c.B.argumentstructs.Daan.12,{IS1007c.A.argumentstructs.Daan.7}
IS1007c.B.argumentstructs.26,B,1936.63,1936.89,うーん。,NONE,NONE
IS1007c.B.argumentstructs.Daan.16,B,1939.38,1941.98,つまり、音声認識機能をそのように使用しないということです。,IS1007c.B.argumentstructs.Daan.15,NONE
IS1007c.A.argumentstructs.15,A,1939.56,1940.35,チャンネルの。,NONE,NONE
IS1007c.A.argumentstructs.Daan.7,A,1942.87,1958.554,いいえ。最初は訓練して自分で語彙を作らなければなりません。各チャンネルを名前や,IS1007c.A.argumentstructs.Daan.6,NONE
IS1007c.C.argumentstructs.Daan.13,C,1953.78,1998.26,ええと、私はまた別の問題についても考えています。テレビを見ている人が複数いる場合、音声認識器は2つを区別できる必要があります。幼い頃、妹と一緒にいつも同時に異なる番組を見ていたことを覚えています。ですから、テレビを見ているときに誰かが通りかかって「テレビ30分だ」と言って走って行ってしまうと、問題になる可能性があります。,IS1007c.B.argumentstructs.Daan.10,"{IS1007c.A.argumentstructs.Daan.8, IS1007c.B.argumentstructs.Daan.17}"
IS1007c.A.argumentstructs.Daan.8,A,1967.04,1970.036,そして、それぞれが自分自身のものを持っているのです。,IS1007c.C.argumentstructs.Daan.13,NONE
IS1007c.D.argumentstructs.17,D,1967.99,1981.09,。 うん。,NONE,NONE
IS1007c.B.argumentstructs.27,B,1974.2,1974.42,うーん。,NONE,NONE
IS1007c.A.argumentstructs.16,A,1978.4,1981.59,または、,NONE,NONE
IS1007c.B.argumentstructs.Daan.17,B,1979.94,1981.74,うん、これも見たいし、あれも見たい。,IS1007c.C.argumentstructs.Daan.13,NONE
IS1007c.B.argumentstructs.28,B,1997.79,1998.14,うーん。,NONE,NONE
IS1007c.D.argumentstructs.Daan.11,D,1999.32,2026.53,A 同じ流れで、もう 1 つ問題があります。工場や店舗など、騒音の多いさまざまな環境でテレビを使用している場合、音声コマンドが機能しないと、会社の評判が悪くなります。したがって、音声コマンドを使用する場合は、静かな家庭環境で使用するなど、いくつかの前提条件を指定する必要があります。,IS1007c.B.argumentstructs.Daan.10,NONE
