ae_id,speaker,start_time,end_time,sentence,source,targets
IS1000d.A.argumentstructs.Rutger.1,A,1153.82,1155.44,そしてもう一つは？,NONE,"IS1000d.C.argumentstructs.Rutger.1, IS1000d.A.argumentstructs.Rutger.2, IS1000d.B.argumentstructs.Rutger.1, IS1000d.A.argumentstructs.Rutger.6, IS1000d.A.argumentstructs.Rutger.9, IS1000d.B.argumentstructs.Rutger.3, IS1000d.C.argumentstructs.Rutger.8, IS1000d.A.argumentstructs.Rutger.14"
IS1000d.C.argumentstructs.Rutger.1,C,1156.92,1157.31,おお。,IS1000d.A.argumentstructs.Rutger.1,NONE
IS1000d.A.argumentstructs.Rutger.2,A,1159.33,1161.36,少し良くなったと思います、,IS1000d.A.argumentstructs.Rutger.1,IS1000d.A.argumentstructs.Rutger.3
IS1000d.A.argumentstructs.Rutger.3,A,1163.09,1165.248,粘土だけではわかりにくいですが,IS1000d.A.argumentstructs.Rutger.2,NONE
IS1000d.B.argumentstructs.38,B,1168.38,1171.06,II このコンポーネントについては疑問があります。,NONE,NONE
IS1000d.B.argumentstructs.Rutger.1,B,1171.3,1173.872,それはそれはあなたの,IS1000d.A.argumentstructs.Rutger.1,"IS1000d.C.argumentstructs.Rutger.2, IS1000d.C.argumentstructs.Rutger.3, IS1000d.D.argumentstructs.Rutger.2, IS1000d.D.argumentstructs.Rutger.3"
IS1000d.A.argumentstructs.65,A,1171.35,1174.62,うーん。うーん。,NONE,NONE
IS1000d.C.argumentstructs.Rutger.2,C,1173.81,1174.768,&#39;そうかも,IS1000d.B.argumentstructs.Rutger.1,NONE
IS1000d.D.argumentstructs.Rutger.1,D,1174.23,1179.24,いや、実はこれは突き出るわけではなく、ただ,NONE,IS1000d.A.argumentstructs.Rutger.4
IS1000d.A.argumentstructs.Rutger.4,A,1178.04,1178.33,わかった。,IS1000d.D.argumentstructs.Rutger.1,NONE
IS1000d.C.argumentstructs.Rutger.3,C,1179.03,1181.24,それはボタンではなくLEDです。,IS1000d.B.argumentstructs.Rutger.1,NONE
IS1000d.D.argumentstructs.Rutger.2,D,1180.45,1183.808,それは実際には曲線で覆われるLEDです,IS1000d.B.argumentstructs.Rutger.1,IS1000d.C.argumentstructs.Rutger.4
IS1000d.C.argumentstructs.Rutger.4,C,1183.74,1185.53,Ac 実際、埋め込まれるべきです。,IS1000d.D.argumentstructs.Rutger.2,IS1000d.B.argumentstructs.Rutger.2
IS1000d.B.argumentstructs.Rutger.2,B,1184.52,1188.12,うーん、分かりました、はい。,IS1000d.C.argumentstructs.Rutger.4,NONE
IS1000d.D.argumentstructs.Rutger.3,D,1185.61,1190.37,そこに埋め込まれるので、実際に突き出たりすることはありません。,IS1000d.B.argumentstructs.Rutger.1,"IS1000d.A.argumentstructs.Rutger.5, IS1000d.C.argumentstructs.Rutger.5"
IS1000d.A.argumentstructs.Rutger.5,A,1186.02,1187.07,うん。そうだね。,IS1000d.D.argumentstructs.Rutger.3,NONE
IS1000d.C.argumentstructs.Rutger.5,C,1186.66,1186.86,うん。,IS1000d.D.argumentstructs.Rutger.3,NONE
IS1000d.C.argumentstructs.52,C,1188.66,1191.38,ああ、もう一度押すことができます。押すことができます。,NONE,NONE
IS1000d.A.argumentstructs.Rutger.6,A,1191.41,1198.41,そうです。もう一つは、左手用のものが突き出ているかどうかです。左利きの人がもう一方の手を使いたい場合、うまく機能しない可能性があります。,IS1000d.A.argumentstructs.Rutger.1,IS1000d.D.argumentstructs.Rutger.4
IS1000d.D.argumentstructs.52,D,1192.05,1194.86,ええ、ええ。,NONE,NONE
IS1000d.D.argumentstructs.Rutger.4,D,1196.624,1202.864,ええ、実際には突き出ていないので、もっと入ります,IS1000d.A.argumentstructs.Rutger.6,IS1000d.A.argumentstructs.Rutger.7
IS1000d.A.argumentstructs.Rutger.7,A,1202.18,1202.45,わかった。,IS1000d.D.argumentstructs.Rutger.4,NONE
IS1000d.B.argumentstructs.39,B,1203.08,1208.05,そうですね、うーん。,NONE,NONE
IS1000d.A.argumentstructs.66,A,1204.53,1206.52,個人的には、2つか3つだと思います。,NONE,NONE
IS1000d.A.argumentstructs.Rutger.9,A,1209.06,1210.19,おそらく 2 つよりも 3 つに近いでしょう。,IS1000d.A.argumentstructs.Rutger.1,NONE
IS1000d.B.argumentstructs.Rutger.3,B,1211.97,1218.41,見た目は良くなったと思いますが、感触は悪くなります。だからこれも4つだと思います,IS1000d.A.argumentstructs.Rutger.1,"IS1000d.B.argumentstructs.Rutger.4, IS1000d.B.argumentstructs.Rutger.6, IS1000d.C.argumentstructs.Rutger.7, IS1000d.D.argumentstructs.Rutger.13"
IS1000d.A.argumentstructs.67,A,1217.59,1218.07,わかった。,NONE,NONE
IS1000d.B.argumentstructs.Rutger.4,B,1218.41,1220.09,でも、あなたはどう思いますか？,IS1000d.B.argumentstructs.Rutger.3,"IS1000d.D.argumentstructs.Rutger.6, IS1000d.D.argumentstructs.Rutger.8"
IS1000d.D.argumentstructs.Rutger.6,D,1220.1,1222.43,ああ、大丈夫だと思います。,IS1000d.B.argumentstructs.Rutger.4,NONE
IS1000d.D.argumentstructs.53,D,1222.74,1226.45,ただ、その感じは、,NONE,NONE
IS1000d.D.argumentstructs.Rutger.7,D,1227.51,1236.5,今は感触が分かりません。なぜなら、例えば、このようにかなり内側に押すと、埋め込まれてしまうからです。,NONE,"IS1000d.C.argumentstructs.Rutger.6, IS1000d.B.argumentstructs.Rutger.5"
IS1000d.C.argumentstructs.Rutger.6,C,1235.52,1235.99,うん。,IS1000d.D.argumentstructs.Rutger.7,NONE
IS1000d.B.argumentstructs.Rutger.5,B,1236.69,1238.11,うーん。うん。,IS1000d.D.argumentstructs.Rutger.7,NONE
IS1000d.D.argumentstructs.Rutger.8,D,1238.42,1239.854,これは埋め込まれたものです,IS1000d.B.argumentstructs.Rutger.4,NONE
IS1000d.B.argumentstructs.Rutger.6,B,1239.52,1241.28,はい、基本的には同じ形です。,IS1000d.B.argumentstructs.Rutger.3,"IS1000d.D.argumentstructs.Rutger.10, IS1000d.D.argumentstructs.Rutger.11"
IS1000d.D.argumentstructs.Rutger.10,D,1241.38,1246.03,ええ、実際は基本的に同じものです。,IS1000d.B.argumentstructs.Rutger.6,NONE
IS1000d.B.argumentstructs.40,B,1244.04,1245.25,うんうん。うん。,NONE,NONE
IS1000d.D.argumentstructs.Rutger.11,D,1246.03,1247.01,ただし、このcでは,IS1000d.B.argumentstructs.Rutger.6,NONE
IS1000d.C.argumentstructs.Rutger.7,C,1246.52,1248.85,そして、L_C_D_ はそれをさらに良くします。 そうです。,IS1000d.B.argumentstructs.Rutger.3,IS1000d.D.argumentstructs.Rutger.12
IS1000d.D.argumentstructs.Rutger.12,D,1248.37,1249.29,うん。,IS1000d.C.argumentstructs.Rutger.7,NONE
IS1000d.D.argumentstructs.Rutger.13,D,1249.29,1252.773,そして、あなたは少し前進したいことがあるかもしれません,IS1000d.B.argumentstructs.Rutger.3,"IS1000d.B.argumentstructs.Rutger.7, IS1000d.A.argumentstructs.Rutger.10"
IS1000d.B.argumentstructs.Rutger.7,B,1249.41,1250.3,うん。うん。うん。,IS1000d.D.argumentstructs.Rutger.13,NONE
IS1000d.A.argumentstructs.Rutger.10,A,1249.92,1251.06,うーん、わかりました。,IS1000d.D.argumentstructs.Rutger.13,NONE
