ae_id,speaker,start_time,end_time,sentence,source,targets
IS1009d.A.argumentstructs.Daan.9,A,1314.19,1321.8,うーん、一つ気づいたことがあります。資金調達には、私たちの音声認識装置を入れる余地がなかったのです。,NONE,IS1009d.A.argumentstructs.Daan.10
IS1009d.D.argumentstructs.24,D,1317.47,1323.04,はい。ああ。,NONE,NONE
IS1009d.B.argumentstructs.8,B,1322.5,1323.15,はい。,NONE,NONE
IS1009d.C.argumentstructs.15,C,1323.32,1323.67,うん。,NONE,NONE
IS1009d.A.argumentstructs.Daan.10,A,1324.29,1331.81,それをどのように評価するか、またそれをどのように含めるかはわかりません。,IS1009d.A.argumentstructs.Daan.9,IS1009d.D.argumentstructs.Daan.7
IS1009d.D.argumentstructs.Daan.7,D,1331.43,1335.82,えっと、私たちの費用は、88ユーロ20セントくらいでしたっけ？,IS1009d.A.argumentstructs.Daan.10,"IS1009d.A.argumentstructs.Daan.11, IS1009d.C.argumentstructs.Daan.5, IS1009d.D.argumentstructs.Daan.8"
IS1009d.A.argumentstructs.Daan.11,A,1335.54,1337.11,8時か8時20分です。,IS1009d.D.argumentstructs.Daan.7,NONE
IS1009d.C.argumentstructs.Daan.5,C,1336.75,1337.651,8時20分頃,IS1009d.D.argumentstructs.Daan.7,NONE
IS1009d.D.argumentstructs.Daan.8,D,1337.3,1341.07,つまり、まだ使えるお金が 4 ユーロ残っていることになります。,IS1009d.D.argumentstructs.Daan.7,"IS1009d.C.argumentstructs.Daan.6, IS1009d.A.argumentstructs.Daan.12"
IS1009d.C.argumentstructs.Daan.6,C,1338.22,1340.9,ええと、4ユーロあります,IS1009d.D.argumentstructs.Daan.8,NONE
IS1009d.A.argumentstructs.Daan.12,A,1341.16,1346.16,つまり、あと最大で 4.3 ユーロ、つまり 430 ユーロあります。,IS1009d.D.argumentstructs.Daan.8,IS1009d.A.argumentstructs.Daan.13
IS1009d.A.argumentstructs.Daan.13,A,1347.67,1360.83,しかし、ご存知のとおり、それを完成した製品として経営陣に提示し、高額な音声認識装置で承認を得る手段がないのです。,IS1009d.A.argumentstructs.Daan.12,IS1009d.A.argumentstructs.Daan.14
IS1009d.D.argumentstructs.25,D,1360.89,1361.32,うんうん。,NONE,NONE
IS1009d.A.argumentstructs.Daan.14,A,1362.02,1370.85,ですから、私たちはその点に注意する必要があります。つまり、4 時 30 分で本当にそれがカバーされるかどうかを知る必要があります。,IS1009d.A.argumentstructs.Daan.13,NONE
IS1009d.C.argumentstructs.16,C,1366.77,1367.24,うん。,NONE,NONE
