ae_id,speaker,start_time,end_time,sentence,source,targets
IS1004c.D.argumentstructs.Rutger.13,D,1087.31,1095.42,コーヒーマシンのダイアログインターフェースなどを何とか使用できると思います。,NONE,"IS1004c.A.argumentstructs.Rutger.6, IS1004c.B.argumentstructs.Rutger.15, IS1004c.D.argumentstructs.Rutger.17"
IS1004c.A.argumentstructs.Rutger.6,A,1095.95,1097.47,いいえ、それは使えません。,IS1004c.D.argumentstructs.Rutger.13,"IS1004c.D.argumentstructs.Rutger.14, IS1004c.A.argumentstructs.Rutger.7"
IS1004c.D.argumentstructs.Rutger.14,D,1099.73,1101.62,できる？できない。,IS1004c.A.argumentstructs.Rutger.6,NONE
IS1004c.A.argumentstructs.15,A,1100.97,1102.16,それを使って,NONE,NONE
IS1004c.C.argumentstructs.9,C,1103.48,1104.43,通信する。,NONE,NONE
IS1004c.A.argumentstructs.Rutger.7,A,1103.88,1106.417,コミュニケーションをとることはただの事,IS1004c.A.argumentstructs.Rutger.6,"IS1004c.D.argumentstructs.Rutger.15, IS1004c.C.argumentstructs.Rutger.4"
IS1004c.D.argumentstructs.Rutger.15,D,1105.78,1108.96,ええ、でもチャンネル25は言えます。ダメですか？,IS1004c.A.argumentstructs.Rutger.7,IS1004c.A.argumentstructs.Rutger.8
IS1004c.C.argumentstructs.Rutger.4,C,1106.46,1107.37,それは一方通行です。,IS1004c.A.argumentstructs.Rutger.7,NONE
IS1004c.A.argumentstructs.Rutger.8,A,1108.0,1108.24,いいえ。,IS1004c.D.argumentstructs.Rutger.15,NONE
IS1004c.B.argumentstructs.Rutger.15,B,1109.11,1113.776,しかし、すべてのチャネル、100のチャネルごとにテンプレートを用意し、認識できるようにする必要があります,IS1004c.D.argumentstructs.Rutger.13,IS1004c.D.argumentstructs.Rutger.16
IS1004c.D.argumentstructs.Rutger.16,D,1114.37,1117.001,100のテンプレートがたくさんあるわけではなく、,IS1004c.B.argumentstructs.Rutger.15,IS1004c.B.argumentstructs.Rutger.16
IS1004c.C.argumentstructs.10,C,1114.41,1138.37,うんうん。うんうん。,NONE,NONE
IS1004c.B.argumentstructs.30,B,1115.07,1115.49,うーん。,NONE,NONE
IS1004c.B.argumentstructs.Rutger.16,B,1116.29,1123.21,そうですね、これは朝の挨拶用のコーヒーマシンとして設計されているので、おそらく私たちが処理できる範囲を超えていると思います。,IS1004c.D.argumentstructs.Rutger.16,IS1004c.A.argumentstructs.Rutger.9
IS1004c.A.argumentstructs.Rutger.9,A,1120.08,1120.46,うん。,IS1004c.B.argumentstructs.Rutger.16,NONE
IS1004c.D.argumentstructs.Rutger.17,D,1123.2,1127.07,ああ、それはコーヒー用に設計されていますね。コーヒーマシン用に設計されていますか？,IS1004c.D.argumentstructs.Rutger.13,IS1004c.B.argumentstructs.Rutger.17
IS1004c.B.argumentstructs.Rutger.17,B,1127.16,1133.77,まあ、それが現在の用途です。おそらく、100 個の事柄を処理できるように設計されているわけではないと思います。,IS1004c.D.argumentstructs.Rutger.17,NONE
IS1004c.D.argumentstructs.29,D,1128.95,1129.42,わかった。,NONE,NONE
IS1004c.D.argumentstructs.Rutger.18,D,1131.852,1139.104,ええ。エンジニアリング部門に問い合わせてみてはどうでしょうか？,NONE,NONE
