ae_id,speaker,start_time,end_time,sentence,source,targets
ES2005c.D.argumentstructs.39,D,714.69,716.68,それはかなりクールですね。,NONE,NONE
ES2005c.D.argumentstructs.Erik.1,D,716.68,730.496,個人的な好みですが、想像ですが、浮き彫りのシンボルは良いと思いました。L_C_D_は確かにスマートに見えますが、予算的にちょっと高すぎると思います。,NONE,"ES2005c.A.argumentstructs.Erik.1, ES2005c.C.argumentstructs.Erik.4, ES2005c.C.argumentstructs.Erik.5, ES2005c.A.argumentstructs.Erik.2"
ES2005c.A.argumentstructs.Erik.1,A,731.14,734.26,L_C_D_ と他のもの、ええと、そうだと思います。,ES2005c.D.argumentstructs.Erik.1,"ES2005c.D.argumentstructs.Erik.2, ES2005c.D.argumentstructs.Erik.3, ES2005c.B.argumentstructs.Erik.1"
ES2005c.D.argumentstructs.Erik.2,D,732.08,732.56,うん。,ES2005c.A.argumentstructs.Erik.1,NONE
ES2005c.D.argumentstructs.Erik.3,D,734.21,737.66,そして音声認識ですが、私たちは間違いなく音声認識を採用するつもりだと思います。,ES2005c.A.argumentstructs.Erik.1,NONE
ES2005c.B.argumentstructs.Erik.1,B,737.64,767.82,しかし、当社の市場調査では、人々はより多く支払う意思がある一方で、品質や見た目の美しさ、新しいデザイン、何か新しいものを望んでいることがわかりました。ええ、そうです。ですから、たとえ当社がある程度の範囲内でコストを少し増やし、新しい技術的進歩や見た目の美しい新しいデザインを提供すれば、要件を満たし、市場で良い売上を上げることができると思います。,ES2005c.A.argumentstructs.Erik.1,"ES2005c.C.argumentstructs.Erik.1, ES2005c.D.argumentstructs.Erik.4"
ES2005c.D.argumentstructs.40,D,742.25,742.76,ああ。,NONE,NONE
ES2005c.C.argumentstructs.Erik.1,C,746.4,746.61,わかった。,ES2005c.B.argumentstructs.Erik.1,NONE
ES2005c.D.argumentstructs.Erik.4,D,746.74,749.65,ああ。でも予算が足りないんだ。,ES2005c.B.argumentstructs.Erik.1,ES2005c.C.argumentstructs.Erik.2
ES2005c.C.argumentstructs.Erik.2,C,747.7,750.53,まだ12時50分以内に収まるようにしなければなりません。,ES2005c.D.argumentstructs.Erik.4,"ES2005c.D.argumentstructs.Erik.5, ES2005c.D.argumentstructs.Erik.6"
ES2005c.D.argumentstructs.41,D,761.01,761.39,ああ。,NONE,NONE
ES2005c.D.argumentstructs.Erik.5,D,766.18,766.67,わかった。,ES2005c.C.argumentstructs.Erik.2,NONE
ES2005c.D.argumentstructs.Erik.6,D,767.89,774.89,製造コストが 12 ユーロ 50 メートルあたり 25 ユーロかどうかはわかりません。,ES2005c.C.argumentstructs.Erik.2,ES2005c.C.argumentstructs.Erik.3
ES2005c.C.argumentstructs.Erik.3,C,768.05,768.5,わかった。,ES2005c.D.argumentstructs.Erik.6,NONE
ES2005c.C.argumentstructs.40,C,773.28,773.68,うん。,NONE,NONE
ES2005c.C.argumentstructs.Erik.4,C,775.46,785.744,私にはそれが見えませんが、つまり、彼らは今、LCD技術に夢中になっているので、LCDテレビやその他のものを持っているので、おそらく小さな,ES2005c.D.argumentstructs.Erik.1,ES2005c.D.argumentstructs.Erik.7
ES2005c.D.argumentstructs.42,D,777.08,777.98,L_C_D_。,NONE,NONE
ES2005c.D.argumentstructs.Erik.7,D,786.36,787.02,うん。,ES2005c.C.argumentstructs.Erik.4,NONE
ES2005c.C.argumentstructs.Erik.5,C,786.42,799.89,でも、白黒だと、見た目がいまいちおしゃれじゃないと思うんです。でも、携帯電話とかにもカラーの液晶画面がついてるし、そのコストがいくらなのかは知らないですからね。,ES2005c.D.argumentstructs.Erik.1,ES2005c.D.argumentstructs.Erik.8
ES2005c.D.argumentstructs.43,D,791.32,791.72,いいえ。,NONE,NONE
ES2005c.D.argumentstructs.Erik.8,D,797.41,797.88,うん。,ES2005c.C.argumentstructs.Erik.5,NONE
ES2005c.A.argumentstructs.26,A,797.73,798.19,ふーむ。,NONE,NONE
ES2005c.A.argumentstructs.Erik.2,A,801.89,808.09,しかし、価格は別として、うーん、それは複雑すぎますか、それとも過負荷になりすぎますか？,ES2005c.D.argumentstructs.Erik.1,ES2005c.B.argumentstructs.Erik.2
ES2005c.C.argumentstructs.41,C,802.05,802.67,12時50分です。,NONE,NONE
ES2005c.B.argumentstructs.16,B,802.22,803.12,そして,NONE,NONE
ES2005c.B.argumentstructs.Erik.2,B,808.22,817.21,えっと、L_C_D_の画面にはさまざまなフロントアイコンが表示されるので、何でもOKをクリックするだけで簡単です。,ES2005c.A.argumentstructs.Erik.2,"ES2005c.C.argumentstructs.Erik.6, ES2005c.A.argumentstructs.Erik.3"
ES2005c.C.argumentstructs.Erik.6,C,809.55,810.06,可能性はある。,ES2005c.B.argumentstructs.Erik.2,NONE
ES2005c.A.argumentstructs.Erik.3,A,815.3,826.81,でも、リモコンを使うときは、リモコンを見ないですよね？テレビを見ているので、それはちょっと不必要なことのように思えます,ES2005c.B.argumentstructs.Erik.2,"ES2005c.C.argumentstructs.Erik.7, ES2005c.D.argumentstructs.Erik.9, ES2005c.D.argumentstructs.Erik.10"
ES2005c.C.argumentstructs.Erik.7,C,820.0,820.34,うん。,ES2005c.A.argumentstructs.Erik.3,NONE
ES2005c.D.argumentstructs.44,D,821.01,821.36,うん。,NONE,NONE
ES2005c.C.argumentstructs.42,C,821.85,822.31,うん。,NONE,NONE
ES2005c.D.argumentstructs.Erik.9,D,821.91,822.64,そうですね。,ES2005c.A.argumentstructs.Erik.3,NONE
