ae_id,speaker,start_time,end_time,sentence,source,targets
TS3006c.C.argumentstructs.Daan.1,C,609.37,631.36,そうですね。これくらいだと思います。個人的な好みで作業していました。最初はバッテリーを選びました。私は伝統的な人間なので、それが最も明白で簡単な選択です。でも、運動エネルギーについて考える必要があると思います。運動エネルギーを使うには、物を動かす必要があります。,NONE,"TS3006c.B.argumentstructs.Daan.1, TS3006c.B.argumentstructs.Daan.2, TS3006c.C.argumentstructs.Daan.2"
TS3006c.B.argumentstructs.Daan.1,B,628.18,632.22,はい、はい。オプション機能として。,TS3006c.C.argumentstructs.Daan.1,NONE
TS3006c.A.argumentstructs.30,A,630.14,630.5,うん。,NONE,NONE
TS3006c.D.argumentstructs.25,D,630.53,631.08,うん。,NONE,NONE
TS3006c.B.argumentstructs.Daan.2,B,633.33,635.93,または両方を1つに組み合わせて,TS3006c.C.argumentstructs.Daan.1,"TS3006c.D.argumentstructs.Daan.1, TS3006c.A.argumentstructs.Daan.1"
TS3006c.D.argumentstructs.Daan.1,D,636.33,638.05,おそらく1つしか選べないのでしょう。,TS3006c.B.argumentstructs.Daan.2,NONE
TS3006c.A.argumentstructs.Daan.1,A,636.35,640.681,ええと、エネルギー源は1つしか置けないと思います,TS3006c.B.argumentstructs.Daan.2,NONE
TS3006c.C.argumentstructs.26,C,636.69,637.31,ええ、多分私たちは,NONE,NONE
TS3006c.C.argumentstructs.Daan.2,C,640.28,651.06,運動エネルギー型のエネルギー源は製造コストが高くなることは想像できます。しかし、より長持ちするので、人々は二度と電池を買う必要がありません。,TS3006c.C.argumentstructs.Daan.1,TS3006c.D.argumentstructs.Daan.2
TS3006c.D.argumentstructs.Daan.2,D,650.88,652.38,そうです。そして、もっと楽しいです。,TS3006c.C.argumentstructs.Daan.2,"TS3006c.C.argumentstructs.Daan.3, TS3006c.D.argumentstructs.Daan.3"
TS3006c.A.argumentstructs.31,A,651.07,654.46,ええ、何の情報も受け取っていません。,NONE,NONE
TS3006c.C.argumentstructs.Daan.3,C,652.64,657.136,そして、もっと楽しいです。私はいつもリモコンを投げ回しているので,TS3006c.D.argumentstructs.Daan.2,NONE
TS3006c.D.argumentstructs.Daan.3,D,655.82,665.76,ええ、ただ遊んでるだけです。特に素材がゴムの場合は。それは可能です、つまり、傷つけることはできないので、完璧な組み合わせだと思います。,TS3006c.D.argumentstructs.Daan.2,"TS3006c.A.argumentstructs.Daan.2, TS3006c.C.argumentstructs.Daan.4"
TS3006c.A.argumentstructs.Daan.2,A,657.59,663.23,はい。安全ですよ。,TS3006c.D.argumentstructs.Daan.3,NONE
TS3006c.C.argumentstructs.Daan.4,C,663.28,672.48,そうです、まさにその通りです。床に跳ね返って壊してしまうことを恐れる必要はありません。それで終わりです。,TS3006c.D.argumentstructs.Daan.3,NONE
TS3006c.D.argumentstructs.26,D,668.95,669.44,うん。,NONE,NONE
TS3006c.B.argumentstructs.17,B,669.85,673.51,はい。そうですね。,NONE,NONE
