ae_id,speaker,start_time,end_time,sentence,source,targets
IS1006b.B.argumentstructs.Daan.1,B,629.28,636.91,質問が1つあります。あなたは市場の専門家なので、若者をターゲットにすべきでしょうか？,NONE,IS1006b.D.argumentstructs.Daan.1
IS1006b.D.argumentstructs.8,D,629.31,631.27,戻ってもいいですよ。ええ、一つ質問があります、ええ？,NONE,NONE
IS1006b.C.argumentstructs.4,C,629.87,666.82,ありがとう。うーん。うーん。うん。ありがとう。,NONE,NONE
IS1006b.D.argumentstructs.Daan.1,D,633.67,653.226,そうです。若者をターゲットにすべきだと思います。でも、彼らは新しいデバイスにもっと興味を持っている人たちだと思います。一般的に、新しいデバイスを早期に採用するのは若者で、100万人未満です。,IS1006b.B.argumentstructs.Daan.1,IS1006b.B.argumentstructs.Daan.2
IS1006b.B.argumentstructs.Daan.2,B,651.98,654.33,そうですね、それではテレテキストはあまり使われませんね。,IS1006b.D.argumentstructs.Daan.1,IS1006b.D.argumentstructs.Daan.2
IS1006b.A.argumentstructs.4,A,654.74,655.06,うんうん。,NONE,NONE
IS1006b.D.argumentstructs.Daan.2,D,655.02,664.35,そうなると、テレテキストは彼らにとって役に立たないと思います。彼らには情報を見つける他の手段があるからです。ええ。でも、ええ。違います。,IS1006b.B.argumentstructs.Daan.2,IS1006b.A.argumentstructs.Daan.1
IS1006b.B.argumentstructs.7,B,656.76,664.4,分かりました。分かりました。分かりました。分かりました。,NONE,NONE
IS1006b.A.argumentstructs.Daan.1,A,660.32,663.76,そうですね。分かりました。それは良い指摘ですね。,IS1006b.D.argumentstructs.Daan.2,NONE
IS1006b.D.argumentstructs.9,D,665.44,665.67,いいですか？,NONE,NONE
IS1006b.A.argumentstructs.5,A,665.54,665.85,わかった。,NONE,NONE
