ae_id,speaker,start_time,end_time,sentence,source,targets
IS1002b.D.argumentstructs.35,D,1411.08,1413.7,ええと、私たちは市場の真ん中にいるのですが、,NONE,NONE
IS1002b.D.argumentstructs.Rutger.1,D,1413.7,1429.152,私が見ているのは、市場が新しい技術を受け入れる準備ができていることですが、予算の制約や限界があるため、この分野に新しい技術を導入できるかどうかはわかりません。,NONE,IS1002b.B.argumentstructs.Rutger.1
IS1002b.B.argumentstructs.34,B,1431.98,1442.97,環境に配慮した設計で、人間工学にも適合し、リモコンを紛失するというよくある問題にも対処できるかもしれません。,NONE,NONE
IS1002b.A.argumentstructs.40,A,1442.33,1442.72,うーん。,NONE,NONE
IS1002b.B.argumentstructs.Rutger.1,B,1443.6,1467.09,私たちにできることは、ご存知のとおり、リモコンを回すと電池がものすごい勢いで消耗します。そうですよね？そして、一部の人にとってはそうです。ソーラーリモコンではなく、パワークレードルのようなものがあればどうでしょうか？リモコンを使用していないときにリモコンを収納しておくためのクレードルのようなもので、リモコンを充電するためにはそこに戻さなければならないので、リモコンがどこにあるかを常に把握できます。,IS1002b.D.argumentstructs.Rutger.1,"IS1002b.D.argumentstructs.Rutger.2, IS1002b.A.argumentstructs.Rutger.1, IS1002b.B.argumentstructs.Rutger.2, IS1002b.B.argumentstructs.Rutger.3, IS1002b.D.argumentstructs.Rutger.3, IS1002b.D.argumentstructs.Rutger.4, IS1002b.B.argumentstructs.Rutger.5, IS1002b.A.argumentstructs.Rutger.2"
IS1002b.A.argumentstructs.Rutger.1,A,1449.89,1450.08,うん。,IS1002b.B.argumentstructs.Rutger.1,NONE
IS1002b.D.argumentstructs.36,D,1451.65,1453.01,太陽。,NONE,NONE
IS1002b.D.argumentstructs.Rutger.2,D,1455.36,1456.16,しかし太陽光,IS1002b.B.argumentstructs.Rutger.1,NONE
IS1002b.B.argumentstructs.Rutger.2,B,1467.39,1479.95,交換可能な電池の代わりに、リモコンの寿命の間、そこに留まる電源セルを用意できます。さまざまな電池をすべて取り替える必要はありません。,IS1002b.B.argumentstructs.Rutger.1,NONE
IS1002b.B.argumentstructs.Rutger.3,B,1480.27,1500.72,また、これはユーザー デザインにとっても良い機会だと思います。ユーザー デザインだけでなく、リモコン全体の外観と操作感にとってもそうです。クレードルとリモコン自体に、ちょっとした素敵な、セクシーなデザインを施すこともできます。,IS1002b.B.argumentstructs.Rutger.1,NONE
IS1002b.D.argumentstructs.Rutger.3,D,1500.74,1504.67,うーん、いいですね。アイデアは気に入りましたが、コストはおそらく倍になるでしょう。,IS1002b.B.argumentstructs.Rutger.1,IS1002b.B.argumentstructs.Rutger.4
IS1002b.B.argumentstructs.Rutger.4,B,1505.28,1506.85,それはコストを増加させるでしょう。,IS1002b.D.argumentstructs.Rutger.3,NONE
IS1002b.D.argumentstructs.Rutger.4,D,1506.65,1513.62,しかし、この製品は電池がないので、環境に配慮しており、何らかの形でより安全な製品として認識できるため、販売することができます。,IS1002b.B.argumentstructs.Rutger.1,NONE
IS1002b.B.argumentstructs.Rutger.5,B,1513.56,1516.57,リモコンを紛失した場合は呼び出しもできます。クレードルにボタンがあるかもしれません,IS1002b.B.argumentstructs.Rutger.1,IS1002b.D.argumentstructs.Rutger.5
IS1002b.D.argumentstructs.Rutger.5,D,1516.56,1519.03,そうです。本当にわかります,IS1002b.B.argumentstructs.Rutger.5,IS1002b.D.argumentstructs.Rutger.6
IS1002b.B.argumentstructs.35,B,1516.57,1540.68,。 良い,NONE,NONE
IS1002b.A.argumentstructs.Rutger.2,A,1518.79,1522.43,さて、問題はこれを 1 個あたり 12 ドル 50 セント未満で作れるかどうかです。,IS1002b.B.argumentstructs.Rutger.1,"IS1002b.D.argumentstructs.Rutger.7, IS1002b.B.argumentstructs.Rutger.6, IS1002b.A.argumentstructs.Rutger.4"
IS1002b.D.argumentstructs.Rutger.6,D,1519.03,1519.85,しかし、コストは,IS1002b.D.argumentstructs.Rutger.5,NONE
IS1002b.D.argumentstructs.Rutger.7,D,1522.15,1526.42,いやいや、最終コストを変更する必要があります。とにかく、私にはわかりません,IS1002b.A.argumentstructs.Rutger.2,IS1002b.A.argumentstructs.Rutger.3
IS1002b.A.argumentstructs.41,A,1525.0,1529.27,最終的なコストは必ず変更する必要があります。,NONE,NONE
IS1002b.D.argumentstructs.37,D,1526.42,1526.42,。,NONE,NONE
IS1002b.A.argumentstructs.Rutger.3,A,1531.09,1538.06,基本的にこれに基づいてより多くを販売できる場合、製品ごとに 12.50 ドルに変更せずにそれを実行できますか?,IS1002b.D.argumentstructs.Rutger.7,IS1002b.D.argumentstructs.Rutger.8
IS1002b.D.argumentstructs.Rutger.8,D,1538.76,1542.64,ええ、それは彼ら次第です。私の反応はノーですが,IS1002b.A.argumentstructs.Rutger.3,NONE
IS1002b.B.argumentstructs.Rutger.6,B,1541.411,1553.97,私ができることは、ペドロさん、この件について調査し、これによってコストがどの程度増加する可能性があるかを調べ、コストの増加が最終的な数字にどのような影響を与えるかを調べることです。,IS1002b.A.argumentstructs.Rutger.2,NONE
IS1002b.A.argumentstructs.42,A,1548.85,1549.05,うんうん。,NONE,NONE
IS1002b.A.argumentstructs.Rutger.4,A,1555.45,1559.136,そうですね、もしそれが実現するなら、もっと高価な製品を推進することはできます,IS1002b.A.argumentstructs.Rutger.2,IS1002b.D.argumentstructs.Rutger.9
IS1002b.D.argumentstructs.Rutger.9,D,1558.21,1579.82,そうですね、私はこれを独占製品にすることを提唱しています。50ユーロ、60ユーロで卸売りしましょう。この製品を本当に独占的なものにしましょう。環境に配慮し、ハイテクなデザイン、人間工学、これらすべてを取り入れましょう。これを、ええ、リモコンのロールスロイスにしましょう。,IS1002b.A.argumentstructs.Rutger.4,IS1002b.D.argumentstructs.Rutger.10
IS1002b.B.argumentstructs.36,B,1579.81,1580.5,私,NONE,NONE
IS1002b.D.argumentstructs.Rutger.10,D,1580.18,1588.86,どの家庭にも必ず必要です。持っていないなら、どんなリモコンを持っているのですか? ああ、それを持っているのですね。すばらしい。私も欲しいです。ただ、今はお金が足りないんです。,IS1002b.D.argumentstructs.Rutger.9,IS1002b.B.argumentstructs.Rutger.7
IS1002b.B.argumentstructs.Rutger.7,B,1587.2,1587.42,うん。,IS1002b.D.argumentstructs.Rutger.10,NONE
