ae_id,speaker,start_time,end_time,sentence,source,targets
IS1007d.A.argumentstructs.Daan.8,A,1546.896,1550.05,音声認識の統合についてはどうですか?,NONE,"IS1007d.B.argumentstructs.Daan.20, IS1007d.D.argumentstructs.Daan.29"
IS1007d.B.argumentstructs.Daan.20,B,1549.16,1551.23,音声認識機能はアドオン モジュールです。,IS1007d.A.argumentstructs.Daan.8,"IS1007d.B.argumentstructs.Daan.21, IS1007d.A.argumentstructs.Daan.10"
IS1007d.C.argumentstructs.30,C,1552.18,1552.46,うん。,NONE,NONE
IS1007d.B.argumentstructs.Daan.21,B,1552.46,1552.66,右 ？,IS1007d.B.argumentstructs.Daan.20,NONE
IS1007d.D.argumentstructs.Daan.29,D,1552.48,1557.41,それはオプションになります。誰かがそれを買いたいならそれを手に入れることができますが、そうでなければそれはできません。,IS1007d.A.argumentstructs.Daan.8,"IS1007d.A.argumentstructs.Daan.9, IS1007d.D.argumentstructs.Daan.30, IS1007d.C.argumentstructs.Daan.21"
IS1007d.A.argumentstructs.Daan.9,A,1557.04,1559.56,ああ、それはオプションでOKということですね。,IS1007d.D.argumentstructs.Daan.29,NONE
IS1007d.D.argumentstructs.Daan.30,D,1558.18,1558.96,それはオプションです。,IS1007d.D.argumentstructs.Daan.29,NONE
IS1007d.C.argumentstructs.Daan.21,C,1559.22,1570.432,それはオプションです。この調査によると、人々はスポンジ状のリモコンを好む傾向があり、,IS1007d.D.argumentstructs.Daan.29,NONE
IS1007d.A.argumentstructs.22,A,1566.64,1567.13,私は思う,NONE,NONE
IS1007d.D.argumentstructs.43,D,1568.81,1569.02,うん。,NONE,NONE
IS1007d.A.argumentstructs.Daan.10,A,1569.86,1578.429,これらすべてのモジュールを同じリモコンにまとめた方が良いと思います。親がこれらを紛失してしまう可能性があるからです。,IS1007d.B.argumentstructs.Daan.20,"IS1007d.D.argumentstructs.Daan.31, IS1007d.A.argumentstructs.Daan.11, IS1007d.B.argumentstructs.Daan.22, IS1007d.B.argumentstructs.Daan.24"
IS1007d.D.argumentstructs.Daan.31,D,1576.74,1588.04,そうですが、アドオンがあれば、子供たちはペアレンタルモジュールを非表示にして、親が使用できないようにすることができます。,IS1007d.A.argumentstructs.Daan.10,NONE
IS1007d.A.argumentstructs.Daan.11,A,1583.87,1593.152,うん。そうか、そうか。あるいは、親がどこに置いたか忘れてしまうかもしれないから、全部同じ場所に保管したほうがいいかもしれない。,IS1007d.A.argumentstructs.Daan.10,IS1007d.D.argumentstructs.Daan.32
IS1007d.D.argumentstructs.Daan.32,D,1593.08,1597.45,同じセットで、はい、そしてそれらを機能させるための個別のボタンです。,IS1007d.A.argumentstructs.Daan.11,NONE
IS1007d.B.argumentstructs.37,B,1594.32,1594.61,おお。,NONE,NONE
IS1007d.B.argumentstructs.Daan.22,B,1597.264,1621.65,問題は、もし顧客が特定のコンポーネントを欲しがっていて、子供がいないカップルなのでペアレンタルコントロールを欲しがらないとしたら、その製品を市場で販売すると、あらゆる種類の人々に出会う可能性があり、すべての人が私たちが提案するすべての機能を必要とするわけではないということです。そのため、このために顧客を失う可能性があります。わかりませんが、どう思いますか？,IS1007d.A.argumentstructs.Daan.10,"IS1007d.A.argumentstructs.Daan.12, IS1007d.D.argumentstructs.Daan.33"
IS1007d.A.argumentstructs.23,A,1597.75,1597.95,うん。,NONE,NONE
IS1007d.A.argumentstructs.Daan.12,A,1620.74,1625.1,つまり、これらのモジュールは機能するとしてもオプションになるということですね。,IS1007d.B.argumentstructs.Daan.22,IS1007d.B.argumentstructs.Daan.23
IS1007d.B.argumentstructs.Daan.23,B,1625.57,1629.58,はい、例えば、あなたがどう思うかは分かりません。あなたはマーケティングマネージャーです。,IS1007d.A.argumentstructs.Daan.12,NONE
IS1007d.D.argumentstructs.Daan.33,D,1628.31,1642.188,つまり、結婚しているカップルの数や、テレビを持っているカップルの数、あるいはテレビを持っている独身者の数を調べるマーケティング調査をどうするかということです。それに基づいて、私は,IS1007d.B.argumentstructs.Daan.22,NONE
IS1007d.A.argumentstructs.24,A,1628.63,1629.05,えー,NONE,NONE
IS1007d.B.argumentstructs.38,B,1631.62,1633.4,うん。,NONE,NONE
