ae_id,speaker,start_time,end_time,sentence,source,targets
IS1007c.B.argumentstructs.Daan.1,B,829.35,856.81,はい。そして、これはボリュームを表す V_ の部分です。上矢印と下矢印があります。しかし、V_ では、V_ は上部にある下矢印のように見えます。上部の上矢印に上矢印があると、下向きになっているような V_ があり、インターフェイスがわかりにくいので、このようなことはデザインで避けたいと考えています。,NONE,IS1007c.B.argumentstructs.Daan.2
IS1007c.A.argumentstructs.9,A,849.18,849.44,うんうん。,NONE,NONE
IS1007c.B.argumentstructs.Daan.2,B,858.42,892.29,そして、これは私が見つけた調査結果の後にまとめた短い要約です。大きなボタンは便利で、音声認識が役立ちます。プッシュボタン、スクロールボタン、スピニングホイールはナビゲーションツールとして使用できます。そして、ユーザーがカスタマイズできることは重要で、最後にシンプルさが鍵です。はい。そこには多くのコンセプトがありますが、どれを使用するのが重要かを後で選択する必要があります。基本的には,IS1007c.B.argumentstructs.Daan.1,"IS1007c.C.argumentstructs.Daan.1, IS1007c.A.argumentstructs.Daan.1"
IS1007c.C.argumentstructs.14,C,887.62,887.85,うん。,NONE,NONE
IS1007c.C.argumentstructs.Daan.1,C,891.28,932.23,まあ、すべての可能性を検討したというのはいいことだと思いますが、ユーザー インターフェイスがテレビ画面に表示されることを考慮すると、リモコンに多くのボタンは必要ないと思います。操作はナビゲートして、OK キーや Enter キーなどがあれば十分だからです。ホイールやスクロールを追加すると、より複雑になり、コストも高くなります。,IS1007c.B.argumentstructs.Daan.2,NONE
IS1007c.B.argumentstructs.18,B,897.83,931.43,うん。うん。うん。うん。わかった。,NONE,NONE
IS1007c.A.argumentstructs.Daan.1,A,931.78,951.67,あるいは、リモコンにユーザーマニュアルを含めて、ヘルプのようなボタンを用意し、ヘルプボタンを押すと、テレビの中にユーザーマニュアルが表示されるようにすることもできます。,IS1007c.B.argumentstructs.Daan.2,"IS1007c.C.argumentstructs.Daan.2, IS1007c.B.argumentstructs.Daan.3, IS1007c.B.argumentstructs.Daan.4"
IS1007c.C.argumentstructs.Daan.2,C,949.46,952.85,はい。それは良いアイデアですね。ヘルプボタンがあるのは。,IS1007c.A.argumentstructs.Daan.1,NONE
IS1007c.B.argumentstructs.Daan.3,B,953.5,958.45,ヘルプボタン。画面に表示されます。T_V_画面で,IS1007c.A.argumentstructs.Daan.1,IS1007c.C.argumentstructs.Daan.3
IS1007c.C.argumentstructs.15,C,954.24,954.49,うん。,NONE,NONE
IS1007c.A.argumentstructs.10,A,954.27,954.52,うん。,NONE,NONE
IS1007c.C.argumentstructs.Daan.3,C,956.8,961.46,T_V_ 画面上。T_V_ 画面上にリモコンの使い方が表示されます。,IS1007c.B.argumentstructs.Daan.3,IS1007c.A.argumentstructs.Daan.2
IS1007c.A.argumentstructs.Daan.2,A,956.82,961.92,T_V_ T_V_画面で。ボタンを押すだけで,IS1007c.C.argumentstructs.Daan.3,NONE
IS1007c.B.argumentstructs.19,B,958.45,960.18,。 わかった。,NONE,NONE
IS1007c.B.argumentstructs.Daan.4,B,961.28,969.7,分かりました。分かりました。これで複雑なドキュメントは不要になります。,IS1007c.A.argumentstructs.Daan.1,IS1007c.D.argumentstructs.Daan.1
IS1007c.D.argumentstructs.12,D,961.86,962.16,おお。,NONE,NONE
IS1007c.D.argumentstructs.Daan.1,D,969.12,986.29,しかし、ヘルプをよく見ている人は、ヘルプ ボタンを見ると、これは複雑なものだ、心理学の問題だ、と言います。では、市場が何を求めているかを見てみましょう。私のプレゼンテーションを見てみましょう。,IS1007c.B.argumentstructs.Daan.4,NONE
IS1007c.A.argumentstructs.11,A,976.63,985.04,彼らが助けを必要とする場合、彼らが助けを必要とする場合。 ええ。,NONE,NONE
IS1007c.C.argumentstructs.16,C,980.25,981.82,マーケティングの観点から。,NONE,NONE
IS1007c.B.argumentstructs.20,B,982.02,982.56,うん。,NONE,NONE
