ae_id,speaker,start_time,end_time,sentence,source,targets
IS1008b.A.argumentstructs.Daan.6,A,916.95,922.74,彼が話していた音声認識のデザインについてどう思いますか?,NONE,"IS1008b.B.argumentstructs.Daan.9, IS1008b.B.argumentstructs.Daan.12, IS1008b.C.argumentstructs.Daan.4, IS1008b.C.argumentstructs.Daan.7"
IS1008b.D.argumentstructs.5,D,920.79,1031.81,音声認識。うーん。,NONE,NONE
IS1008b.B.argumentstructs.Daan.9,B,925.57,930.87,ええと、訓練は常にコマンドに関する問題です。,IS1008b.A.argumentstructs.Daan.6,IS1008b.B.argumentstructs.Daan.10
IS1008b.A.argumentstructs.12,A,930.84,931.12,うんうん。,NONE,NONE
IS1008b.B.argumentstructs.Daan.10,B,931.35,950.17,つまり、ユーザーがトレーニング プロセスに時間を費やす意思があれば、それを実行できる可能性があり、全体的なコストを削減できる可能性があります。,IS1008b.B.argumentstructs.Daan.9,IS1008b.B.argumentstructs.Daan.11
IS1008b.B.argumentstructs.Daan.11,B,950.69,951.2,方法はよく分かりません。,IS1008b.B.argumentstructs.Daan.10,NONE
IS1008b.B.argumentstructs.Daan.12,B,951.402,960.65,でも、とにかく、これはバッテリー寿命に影響するかもしれないと思います,IS1008b.A.argumentstructs.Daan.6,IS1008b.B.argumentstructs.Daan.13
IS1008b.B.argumentstructs.25,B,960.65,960.65,。,NONE,NONE
IS1008b.B.argumentstructs.Daan.13,B,961.49,972.4,それで、ワイヤレスで充電できるものを追加する必要があるかもしれません,IS1008b.B.argumentstructs.Daan.12,IS1008b.B.argumentstructs.Daan.14
IS1008b.B.argumentstructs.Daan.14,B,973.6,991.57,それで、電力を供給できるのです。太陽の下に置くと、内部の太陽電池が光から電力を得て、こうした高度な機能を実行するのに十分な電力が得られます。,IS1008b.B.argumentstructs.Daan.13,NONE
IS1008b.C.argumentstructs.19,C,981.0,981.13,ふーむ。,NONE,NONE
IS1008b.C.argumentstructs.Daan.4,C,991.27,1001.66,音声認識もそうですが、確かに素晴らしい機能ですが、テレビを見ていると、周囲の音や言葉がたくさん聞こえます。何かがぶつかる音などの音だけではありません。,IS1008b.A.argumentstructs.Daan.6,IS1008b.C.argumentstructs.Daan.5
IS1008b.C.argumentstructs.Daan.5,C,1002.24,1019.79,これは実際の音声なので、音声認識装置がテレビの音声とユーザーの音声をフィルタリングできるほど優れていることを確認する必要があります。そうでなければ、リモートと言うことができます。しかし、画面上の誰かが同じことを言っていると、突然、映画の中の誰かがオフと言って画面が消えてしまいます。,IS1008b.C.argumentstructs.Daan.4,IS1008b.C.argumentstructs.Daan.6
IS1008b.B.argumentstructs.26,B,1012.93,1014.54,オフ。,NONE,NONE
IS1008b.C.argumentstructs.Daan.6,C,1020.31,1024.65,なぜなら、リモコンが作動して、T_V_の電源がオフになったからです。,IS1008b.C.argumentstructs.Daan.5,NONE
IS1008b.C.argumentstructs.Daan.7,C,1025.38,1036.73,そういった問題に対処できる音声認識装置が見つかれば、確かにマーケティングとしては素晴らしいものになると思います。しかし、それがどのような影響を与えるか真剣に考える必要があると思います。,IS1008b.A.argumentstructs.Daan.6,IS1008b.B.argumentstructs.Daan.15
IS1008b.C.argumentstructs.20,C,1038.63,1039.62,状況。,NONE,NONE
IS1008b.B.argumentstructs.Daan.15,B,1039.6,1040.25,とても良い指摘です。,IS1008b.C.argumentstructs.Daan.7,NONE
