ae_id,speaker,start_time,end_time,sentence,source,targets
TS3005c.A.argumentstructs.Daan.1,A,1437.95,1455.65,エネルギーの疑問符。どうやってこの装置にエネルギーを供給すればいいのか、別のドッキングステーションでどうやってそれを行うのか、そしてそれをどうやって中に入れればいいのか。チップをプリントしてケースに入れるのか。これらはコーチがここで議論するようにアドバイスしてくれた点ですが、皆さんがそれらについてアイデアを持っていることを願っています。,NONE,"TS3005c.B.argumentstructs.Daan.1, TS3005c.A.argumentstructs.Daan.2"
TS3005c.B.argumentstructs.Daan.1,B,1455.92,1460.04,エネルギーはバッテリーだったと思います。そして、ええと、そうですね。,TS3005c.A.argumentstructs.Daan.1,"TS3005c.C.argumentstructs.Daan.1, TS3005c.D.argumentstructs.Daan.1, TS3005c.B.argumentstructs.Daan.3"
TS3005c.C.argumentstructs.Daan.1,C,1458.77,1459.66,ドッキングステーション。,TS3005c.B.argumentstructs.Daan.1,NONE
TS3005c.A.argumentstructs.Daan.2,A,1461.26,1465.25,はい。それが最初のポイントです。前回の会議ですでに決めていました。,TS3005c.A.argumentstructs.Daan.1,NONE
TS3005c.D.argumentstructs.Daan.1,D,1461.91,1468.07,ドッキング ステーション経由で充電できる充電式バッテリーを同梱した方が良いかもしれません。,TS3005c.B.argumentstructs.Daan.1,"TS3005c.B.argumentstructs.Daan.2, TS3005c.D.argumentstructs.Daan.2, TS3005c.C.argumentstructs.Daan.2"
TS3005c.B.argumentstructs.15,B,1465.54,1467.19,ええ、ええ。,NONE,NONE
TS3005c.B.argumentstructs.Daan.2,B,1468.76,1470.81,そうです。電話と同じです。,TS3005c.D.argumentstructs.Daan.1,NONE
TS3005c.D.argumentstructs.Daan.2,D,1469.01,1473.49,つまり、バッテリーが切れている場合は、バッテリーを交換することができます。,TS3005c.D.argumentstructs.Daan.1,NONE
TS3005c.A.argumentstructs.19,A,1469.04,1469.15,うんうん。,NONE,NONE
TS3005c.C.argumentstructs.26,C,1469.24,1472.75,うん。あなたの,NONE,NONE
TS3005c.C.argumentstructs.Daan.2,C,1473.85,1481.15,ええ、ワイヤレスのマウスをいくつか持っていますか？マウス。コンピューターのマウスです。,TS3005c.D.argumentstructs.Daan.1,"TS3005c.D.argumentstructs.Daan.3, TS3005c.C.argumentstructs.Daan.3"
TS3005c.D.argumentstructs.Daan.3,D,1479.52,1481.19,うんうんうん、そういうの。,TS3005c.C.argumentstructs.Daan.2,NONE
TS3005c.C.argumentstructs.Daan.3,C,1482.55,1484.58,そういう種類の電池のようなものです。,TS3005c.C.argumentstructs.Daan.2,NONE
TS3005c.D.argumentstructs.27,D,1483.98,1484.11,はい。,NONE,NONE
TS3005c.B.argumentstructs.Daan.3,B,1484.32,1489.28,でも、普通の電池でいいと思うよ。2個とか2個とかじゃなくて,TS3005c.B.argumentstructs.Daan.1,"TS3005c.D.argumentstructs.Daan.4, TS3005c.A.argumentstructs.Daan.3"
TS3005c.D.argumentstructs.Daan.4,D,1487.08,1493.42,ええ、普通の普通の電池です。スーパーや小売店で買える普通の普通の電池ではありません。ええ。,TS3005c.B.argumentstructs.Daan.3,NONE
TS3005c.B.argumentstructs.16,B,1490.38,1493.73,ええ、ええ。,NONE,NONE
TS3005c.C.argumentstructs.27,C,1491.8,1492.42,うん。,NONE,NONE
TS3005c.A.argumentstructs.Daan.3,A,1492.22,1494.16,シンプルな充電式バッテリー。,TS3005c.B.argumentstructs.Daan.3,NONE
