ae_id,speaker,start_time,end_time,sentence,source,targets
ES2012a.A.argumentstructs.Erik.1,A,544.34,550.64,ボタンや、問題に取り組む他の方法について何か考えはありますか?,NONE,"ES2012a.A.argumentstructs.Erik.2, ES2012a.D.argumentstructs.Erik.2"
ES2012a.A.argumentstructs.Erik.2,A,552.04,555.36,あるいは、リモコンに関して強い感情を抱いている人はいますか?,ES2012a.A.argumentstructs.Erik.1,ES2012a.A.argumentstructs.Erik.3
ES2012a.A.argumentstructs.Erik.3,A,555.36,562.58,彼らが使った悪いもの、良いもの、あるいは失くして二度と見つからないものはありますか？,ES2012a.A.argumentstructs.Erik.2,ES2012a.B.argumentstructs.Erik.1
ES2012a.B.argumentstructs.3,B,559.7,560.86,えーと,NONE,NONE
ES2012a.B.argumentstructs.Erik.1,B,562.98,572.65,ボタンを押すと実際にどこからでも信号を拾うことができ、T_V_ が実際に信号を拾うために体を曲げたりリモコンをひねったりする必要がないことが重要だと思います。,ES2012a.A.argumentstructs.Erik.3,"ES2012a.D.argumentstructs.Erik.1, ES2012a.C.argumentstructs.Erik.1"
ES2012a.D.argumentstructs.Erik.1,D,571.96,572.22,うん。,ES2012a.B.argumentstructs.Erik.1,NONE
ES2012a.C.argumentstructs.Erik.1,C,572.82,573.24,うん。,ES2012a.B.argumentstructs.Erik.1,NONE
ES2012a.D.argumentstructs.10,D,578.65,580.93,テレビやデジタルビデオのプレイヤーは、そうではないかのように,NONE,NONE
ES2012a.B.argumentstructs.4,B,579.16,586.38,うーん。うーん。,NONE,NONE
ES2012a.D.argumentstructs.Erik.2,D,582.23,591.776,努力を注いだエリアは、とても退屈で、とても平凡です。とてもとても、ええと、スタイリッシュなリモコンを作るのはとても,ES2012a.A.argumentstructs.Erik.1,"ES2012a.D.argumentstructs.Erik.3, ES2012a.A.argumentstructs.Erik.4"
ES2012a.D.argumentstructs.Erik.3,D,593.0,595.21,現在の競争相手より一歩先を行くのは簡単です。,ES2012a.D.argumentstructs.Erik.2,NONE
ES2012a.A.argumentstructs.Erik.4,A,594.74,599.15,えっと、それでは、どのような特定のスタイル機能に何が含まれているかを考えていますか?,ES2012a.D.argumentstructs.Erik.2,ES2012a.D.argumentstructs.Erik.4
ES2012a.D.argumentstructs.11,D,599.13,599.6,えーと。,NONE,NONE
ES2012a.D.argumentstructs.Erik.4,D,600.95,613.18,リモコンのように見えるものは、リモコンには見えません。つまり、これは何だろう？と思わせるようなものが欲しいのです。例えば、このペンは実際にはペンのようには見えませんが、ああ、と思わせます。,ES2012a.A.argumentstructs.Erik.4,ES2012a.A.argumentstructs.Erik.5
ES2012a.A.argumentstructs.12,A,613.42,613.42,。,NONE,NONE
ES2012a.A.argumentstructs.Erik.5,A,616.08,623.648,ええ、つまり、リモコンに見えないと、人々はそれをリモコンとして見ないというリスクがあると思いますか？,ES2012a.D.argumentstructs.Erik.4,ES2012a.D.argumentstructs.Erik.5
ES2012a.D.argumentstructs.12,D,616.22,626.58,ええと、それはマーケティング次第だと思います,NONE,NONE
ES2012a.D.argumentstructs.Erik.5,D,628.08,630.27,人々に製品を認知してもらうため。,ES2012a.A.argumentstructs.Erik.5,NONE
ES2012a.A.argumentstructs.13,A,630.22,630.48,ああ。,NONE,NONE
