ae_id,speaker,start_time,end_time,sentence,source,targets
ES2004b.B.argumentstructs.Erik.25,B,2031.5,2066.45,会社に関連するものを製品のデザインに取り入れるという観点から、たとえば C_ とかそういうものだったら、漠然とした C_ の形にして、まるで貝殻のように開くようにしたり、そういう感じにしたりすることで、デザインにかなり明らかに取り入れながら、そこに存在する他のものとはかなり違ったものにすることができます。,NONE,"ES2004b.A.argumentstructs.Erik.9, ES2004b.D.argumentstructs.Erik.15, ES2004b.A.argumentstructs.Erik.10, ES2004b.D.argumentstructs.Erik.16, ES2004b.B.argumentstructs.Erik.27, ES2004b.A.argumentstructs.Erik.13"
ES2004b.A.argumentstructs.21,A,2040.43,2052.9,現状。そう。そう。,NONE,NONE
ES2004b.A.argumentstructs.Erik.9,A,2067.28,2068.561,それを調べることはできますが,ES2004b.B.argumentstructs.Erik.25,NONE
ES2004b.D.argumentstructs.Erik.15,D,2067.8,2069.23,つまり、携帯電話を見てください。,ES2004b.B.argumentstructs.Erik.25,NONE
ES2004b.C.argumentstructs.39,C,2069.52,2069.9,うーん。,NONE,NONE
ES2004b.A.argumentstructs.22,A,2069.81,2070.96,うーん。,NONE,NONE
ES2004b.A.argumentstructs.Erik.10,A,2070.96,2083.68,私たちが話していたのは、ロゴを貝殻のような形にするのではなく、モデルの隅にロゴを配置できるようにすることだったんです。貝殻とか、あなたが言っていたような形にしようとするのではなく。,ES2004b.B.argumentstructs.Erik.25,ES2004b.B.argumentstructs.Erik.26
ES2004b.B.argumentstructs.Erik.26,B,2083.41,2085.99,まあ、どのように違って見えるかを考える必要があります。,ES2004b.A.argumentstructs.Erik.10,NONE
ES2004b.D.argumentstructs.Erik.16,D,2087.03,2121.21,それは本当に魅力的なアイデアだと思います。これまでにそのようなものは見たことがありません。もしそれがフリップトップに開くのであれば。軽量プラスチックにできるのはいいことですし、手のひらに収まり、実際に2つのカバーの間に挿入する必要があるため、反復運動による損傷の多くを防ぐことができると思います。これは本当に素晴らしいアイデアだと思います。さらに、プラスチックを使用していても、プラスチックで実現できるデザインを考えてみましょう。素敵な巻貝やホタテ貝の外装を作ることができます。,ES2004b.B.argumentstructs.Erik.25,ES2004b.A.argumentstructs.Erik.11
ES2004b.A.argumentstructs.Erik.11,A,2090.25,2090.98,貝殻？,ES2004b.D.argumentstructs.Erik.16,"ES2004b.C.argumentstructs.Erik.26, ES2004b.A.argumentstructs.Erik.12"
ES2004b.C.argumentstructs.Erik.26,C,2095.59,2096.08,うん。,ES2004b.A.argumentstructs.Erik.11,NONE
ES2004b.A.argumentstructs.Erik.12,A,2110.55,2111.72,はい、それについては調べてみます。,ES2004b.A.argumentstructs.Erik.11,NONE
ES2004b.B.argumentstructs.Erik.27,B,2121.65,2138.671,あるいは、携帯電話のように、異なる外観にすることもできます。異なる種類のケースを用意することもできます。若者向けのサイケデリックなものや、洗練されたものなどです。,ES2004b.B.argumentstructs.Erik.25,"ES2004b.D.argumentstructs.Erik.17, ES2004b.D.argumentstructs.Erik.18"
ES2004b.C.argumentstructs.40,C,2127.45,2127.81,うーん。,NONE,NONE
ES2004b.D.argumentstructs.30,D,2127.8,2128.25,うんうん。,NONE,NONE
ES2004b.D.argumentstructs.Erik.17,D,2130.72,2131.09,うん。,ES2004b.B.argumentstructs.Erik.27,NONE
ES2004b.D.argumentstructs.31,D,2133.2,2133.58,うんうん。,NONE,NONE
ES2004b.D.argumentstructs.Erik.18,D,2138.3,2155.53,紛失の可能性も低くなります。ソファーの下に置いて、暖炉の上などに飾りとして置くようなチョコレート ブラウンのロゼンジとは異なり、装飾品として魅力的であれば、紛失する可能性も低くなります。扱いやすく、扱いやすいです。,ES2004b.B.argumentstructs.Erik.27,ES2004b.B.argumentstructs.Erik.28
ES2004b.B.argumentstructs.Erik.28,B,2142.98,2143.58,うん。,ES2004b.D.argumentstructs.Erik.18,NONE
ES2004b.B.argumentstructs.43,B,2153.25,2153.73,うーん。,NONE,NONE
ES2004b.A.argumentstructs.Erik.13,A,2154.55,2161.63,そうですね、5、6 種類のデザインを検討して、その中から最も魅力的なものを選ぶと、それが最も一般的なデザインになるかもしれません。,ES2004b.B.argumentstructs.Erik.25,"ES2004b.B.argumentstructs.Erik.29, ES2004b.C.argumentstructs.Erik.27, ES2004b.D.argumentstructs.Erik.19, ES2004b.A.argumentstructs.Erik.14"
ES2004b.B.argumentstructs.Erik.29,B,2158.76,2159.24,わかった。,ES2004b.A.argumentstructs.Erik.13,NONE
ES2004b.C.argumentstructs.Erik.27,C,2159.39,2159.79,うん。,ES2004b.A.argumentstructs.Erik.13,NONE
ES2004b.D.argumentstructs.32,D,2159.41,2159.8,うんうん。,NONE,NONE
ES2004b.B.argumentstructs.44,B,2160.38,2162.91,はい、わかりました。,NONE,NONE
ES2004b.D.argumentstructs.Erik.19,D,2161.98,2162.64,わかった。,ES2004b.A.argumentstructs.Erik.13,NONE
ES2004b.A.argumentstructs.Erik.14,A,2162.83,2164.61,しかし、私たちは 5 つ、6 つのデザインを考えることができます。,ES2004b.A.argumentstructs.Erik.13,NONE
