ae_id,speaker,start_time,end_time,sentence,source,targets
ES2010d.A.argumentstructs.Erik.1,A,370.29,372.25,それは技術的に革新的ですか?,NONE,"ES2010d.D.argumentstructs.Erik.1, ES2010d.D.argumentstructs.Erik.3, ES2010d.A.argumentstructs.Erik.4, ES2010d.D.argumentstructs.Erik.4, ES2010d.D.argumentstructs.Erik.5"
ES2010d.A.argumentstructs.14,A,372.25,378.54,ああ、すみません、ここであなたの仕事を引き継ぐことになりました。どうぞ。,NONE,NONE
ES2010d.D.argumentstructs.12,D,374.79,376.43,つまり、あなたはプロジェクトマネージャーなのです。,NONE,NONE
ES2010d.D.argumentstructs.Erik.1,D,376.43,381.59,ええ、つまり、音声、つまりフレーズ認識機能はありますか？,ES2010d.A.argumentstructs.Erik.1,ES2010d.A.argumentstructs.Erik.2
ES2010d.A.argumentstructs.Erik.2,A,384.1,388.52,はい。そうですか？そういうチップでそれができました。,ES2010d.D.argumentstructs.Erik.1,"ES2010d.C.argumentstructs.Erik.1, ES2010d.B.argumentstructs.Erik.1"
ES2010d.C.argumentstructs.Erik.1,C,387.11,388.266,そうそう、,ES2010d.A.argumentstructs.Erik.2,NONE
ES2010d.B.argumentstructs.Erik.1,B,388.22,396.86,はい、チップでそれを行うことができます。プロトタイプにはそれが反映されていませんが、それは実際には 2 次元しかないためです。,ES2010d.A.argumentstructs.Erik.2,"ES2010d.D.argumentstructs.Erik.2, ES2010d.A.argumentstructs.Erik.3"
ES2010d.D.argumentstructs.Erik.2,D,391.84,394.38,そして、ここでそれを表現する方法はありません。,ES2010d.B.argumentstructs.Erik.1,NONE
ES2010d.A.argumentstructs.Erik.3,A,393.54,398.87,そうですか。それでいいんです。そしてそれを含めるかどうか話し合いました。,ES2010d.B.argumentstructs.Erik.1,NONE
ES2010d.D.argumentstructs.13,D,394.38,394.7,はい,NONE,NONE
ES2010d.D.argumentstructs.Erik.3,D,397.54,405.45,そうですね。そうであれば、技術的に革新的であるためには他に何が必要でしょうか?,ES2010d.A.argumentstructs.Erik.1,ES2010d.C.argumentstructs.Erik.2
ES2010d.C.argumentstructs.Erik.2,C,397.92,398.47,右。,ES2010d.D.argumentstructs.Erik.3,NONE
ES2010d.B.argumentstructs.10,B,403.65,404.55,それ,NONE,NONE
ES2010d.A.argumentstructs.Erik.4,A,405.54,409.13,そうですね、ご存知のとおり、チャンネルを言うことはできません。チャンネルは 8 に変更されます。,ES2010d.A.argumentstructs.Erik.1,NONE
ES2010d.D.argumentstructs.Erik.4,D,408.48,412.62,また、T_V_ 以外のことは何もカバーしていないので、おそらく 3 点を付けます。,ES2010d.A.argumentstructs.Erik.1,"ES2010d.A.argumentstructs.Erik.5, ES2010d.B.argumentstructs.Erik.2, ES2010d.A.argumentstructs.Erik.6"
ES2010d.A.argumentstructs.Erik.5,A,411.0,411.34,右。,ES2010d.D.argumentstructs.Erik.4,NONE
ES2010d.B.argumentstructs.Erik.2,B,413.0,413.65,うん。,ES2010d.D.argumentstructs.Erik.4,NONE
ES2010d.A.argumentstructs.Erik.6,A,414.18,414.51,わかった。,ES2010d.D.argumentstructs.Erik.4,NONE
ES2010d.D.argumentstructs.Erik.5,D,414.52,419.74,これは単なる T_V_ リモコン用ですが、非常に高度な機能を備えています。ただし、これは単なる T_V_ リモコンです。,ES2010d.A.argumentstructs.Erik.1,ES2010d.A.argumentstructs.Erik.7
ES2010d.A.argumentstructs.Erik.7,A,421.16,427.27,そうですね。その点では 3 か 4 にします。では、3.5 にしましょう。,ES2010d.D.argumentstructs.Erik.5,"ES2010d.C.argumentstructs.Erik.3, ES2010d.B.argumentstructs.Erik.3"
ES2010d.C.argumentstructs.Erik.3,C,423.57,424.34,はい、4つ行きます。,ES2010d.A.argumentstructs.Erik.7,NONE
ES2010d.B.argumentstructs.Erik.3,B,428.03,428.7,3つ半です。,ES2010d.A.argumentstructs.Erik.7,NONE
