ae_id,speaker,start_time,end_time,sentence,source,targets
IS1004c.B.argumentstructs.31,B,1746.6,1769.36,最初はちょっとニッチな感じがします。バナナを欲しがる人は少ないでしょう。でも、バナナを様式化したものだったらどうでしょう？黄色でバナナそっくりにするのではなく、銀色にするといいでしょう。そうすると、バナナのイメージが伝わりますが、完全にバナナに見えないのです。,NONE,NONE
IS1004c.B.argumentstructs.Rutger.19,B,1771.17,1774.36,キッチュ。もっといい言葉が見つからないんだけど、知ってる？,NONE,"IS1004c.A.argumentstructs.Rutger.10, IS1004c.B.argumentstructs.Rutger.20, IS1004c.A.argumentstructs.Rutger.11, IS1004c.B.argumentstructs.Rutger.26"
IS1004c.A.argumentstructs.Rutger.10,A,1774.42,1775.98,あなたはその黄色がキッチュだと思うでしょう。,IS1004c.B.argumentstructs.Rutger.19,NONE
IS1004c.C.argumentstructs.11,C,1774.51,1774.79,うんうん。,NONE,NONE
IS1004c.B.argumentstructs.Rutger.20,B,1776.208,1780.03,ええと、何人いるかは分かりませんが,IS1004c.B.argumentstructs.Rutger.19,NONE
IS1004c.A.argumentstructs.Rutger.11,A,1779.09,1783.66,バナナのように見えるものを作る場合は、バナナの色にする必要があります。,IS1004c.B.argumentstructs.Rutger.19,"IS1004c.C.argumentstructs.Rutger.5, IS1004c.B.argumentstructs.Rutger.21, IS1004c.D.argumentstructs.Rutger.21"
IS1004c.D.argumentstructs.30,D,1779.47,1782.71,うん。いいえ、II,NONE,NONE
IS1004c.C.argumentstructs.Rutger.5,C,1784.56,1791.104,A そうだね、そうじゃないと、それは間違いだ。つまり、何も感じないということだ。それはバナナでもなければ、,IS1004c.A.argumentstructs.Rutger.11,NONE
IS1004c.B.argumentstructs.Rutger.21,B,1785.184,1785.792,まあ彼らは,IS1004c.A.argumentstructs.Rutger.11,NONE
IS1004c.A.argumentstructs.16,A,1785.92,1787.02,それ以外の場合,NONE,NONE
IS1004c.D.argumentstructs.Rutger.21,D,1787.4,1788.97,たぶんそれが好きなんだ。,IS1004c.A.argumentstructs.Rutger.11,IS1004c.B.argumentstructs.Rutger.25
IS1004c.B.argumentstructs.Rutger.25,B,1790.07,1791.808,うん、この色この色,IS1004c.D.argumentstructs.Rutger.21,NONE
IS1004c.B.argumentstructs.Rutger.26,B,1793.04,1797.31,たぶん、まだバナナの形を保っているかもしれません。,IS1004c.B.argumentstructs.Rutger.19,"IS1004c.A.argumentstructs.Rutger.12, IS1004c.B.argumentstructs.Rutger.24"
IS1004c.A.argumentstructs.Rutger.12,A,1797.79,1798.48,だいたい。,IS1004c.B.argumentstructs.Rutger.26,IS1004c.B.argumentstructs.Rutger.23
IS1004c.B.argumentstructs.Rutger.23,B,1799.232,1801.85,いいえ、その通りです。,IS1004c.A.argumentstructs.Rutger.12,NONE
IS1004c.B.argumentstructs.Rutger.24,B,1801.85,1827.87,まさにそうです。でも、バナナとまったく同じ食感ではないかもしれませんし、バナナの食感を再現したり、正確な形にするのはちょっと難しいでしょうから。きちんとできないなら、60年代や70年代風ではなく、21世紀風に見せるような様式化した方法で作ったほうがいいと思います。,IS1004c.B.argumentstructs.Rutger.26,IS1004c.A.argumentstructs.Rutger.13
IS1004c.A.argumentstructs.Rutger.13,A,1826.47,1826.8,うん。,IS1004c.B.argumentstructs.Rutger.24,NONE
