ae_id,speaker,start_time,end_time,sentence,source,targets
IS1008d.D.argumentstructs.Daan.3,D,821.08,839.47,明らかに、私たちは、形状、ファン、ユニットの派手さ、使いやすさ、音声認識、コストの評価をざっとまとめました。これらを検討してきました。次に、会社は、生産を正当化するのに十分な市場シェアを獲得できるかどうかの実現可能性を評価する必要があります。,NONE,IS1008d.D.argumentstructs.Daan.4
IS1008d.D.argumentstructs.Daan.4,D,840.59,856.22,あるいは、これを 2 年間で予測していますが、市場は非常に急速に変化するため、18 か月後にはこの製品を購入する関心がなくなる可能性があります。したがって、今、私たちは決定を下す必要があります。会社は 200 万台を販売できますか? 50 ユーロで販売できますか?,IS1008d.D.argumentstructs.Daan.3,"IS1008d.A.argumentstructs.Daan.5, IS1008d.B.argumentstructs.Daan.4"
IS1008d.A.argumentstructs.25,A,845.45,848.49,はい。そうです。,NONE,NONE
IS1008d.A.argumentstructs.Daan.5,A,849.42,850.21,もちろん。,IS1008d.D.argumentstructs.Daan.4,NONE
IS1008d.C.argumentstructs.20,C,849.59,849.84,うーん。,NONE,NONE
IS1008d.A.argumentstructs.26,A,853.4,891.27,はい。はい。はい。はい。,NONE,NONE
IS1008d.B.argumentstructs.Daan.4,B,855.18,893.22,調査結果について伺ってもよろしいでしょうか？ ええと、代替の配送および販売チャネルを使用する可能性を検討したいと思います。それは、インターネットを使用してプロモーションと注文を行い、製品を顧客の自宅に直接配送することです。その方法であれば、保管場所も輸送手段も必要ありません。人件費はかかりますが、販売時点までの輸送手段は必要ありません。販売時点はオンラインです。,IS1008d.D.argumentstructs.Daan.4,"IS1008d.C.argumentstructs.Daan.5, IS1008d.B.argumentstructs.Daan.9"
IS1008d.C.argumentstructs.Daan.5,C,872.408,874.55,私も同じことを考えていました。,IS1008d.B.argumentstructs.Daan.4,IS1008d.C.argumentstructs.Daan.6
IS1008d.C.argumentstructs.Daan.6,C,878.72,879.41,直接。,IS1008d.C.argumentstructs.Daan.5,IS1008d.A.argumentstructs.Daan.6
IS1008d.C.argumentstructs.21,C,884.57,891.44,うーん。そうだね。,NONE,NONE
IS1008d.A.argumentstructs.Daan.6,A,892.39,893.27,エージェントへ。,IS1008d.C.argumentstructs.Daan.6,IS1008d.C.argumentstructs.Daan.7
IS1008d.C.argumentstructs.Daan.7,C,894.08,901.12,はい。どこかに配送センターを設置するか、配送センターを戦略的に配置することで距離コストを最小限に抑えることができます。,IS1008d.A.argumentstructs.Daan.6,IS1008d.B.argumentstructs.Daan.5
