ae_id,speaker,start_time,end_time,sentence,source,targets
ES2008a.C.argumentstructs.Erik.2,C,783.99,799.09,質問させてください。私たちが設計しているのはテレビ専用のリモコンでしょうか。また、このデバイスをテレビ専用にする場合、技術的にビデオレコーダー機能を組み込むことは可能でしょうか。,NONE,"ES2008a.A.argumentstructs.Erik.3, ES2008a.C.argumentstructs.Erik.3"
ES2008a.A.argumentstructs.6,A,789.11,790.11,いい質問ですね。,NONE,NONE
ES2008a.A.argumentstructs.Erik.3,A,801.3,802.86,それはまだ分かりません。,ES2008a.C.argumentstructs.Erik.2,NONE
ES2008a.C.argumentstructs.Erik.3,C,801.8,808.29,えっと、それともテレビ関連のボタンだけを配置したほうがいいでしょうか?,ES2008a.C.argumentstructs.Erik.2,ES2008a.D.argumentstructs.Erik.2
ES2008a.B.argumentstructs.12,B,808.13,808.35,うーん。,NONE,NONE
ES2008a.D.argumentstructs.5,D,814.08,814.7,うんうん。,NONE,NONE
ES2008a.A.argumentstructs.7,A,814.17,831.21,調べてみます。できれば。うーん。,NONE,NONE
ES2008a.D.argumentstructs.Erik.2,D,816.24,826.53,それは単なる T_V_ だと思います。つまり、もしそれが単なる新製品、新しいテレビのリモコンだとしたら、それは何も言わないようなものです。,ES2008a.C.argumentstructs.Erik.3,"ES2008a.B.argumentstructs.Erik.6, ES2008a.D.argumentstructs.Erik.3, ES2008a.C.argumentstructs.Erik.4"
ES2008a.B.argumentstructs.Erik.6,B,827.41,827.65,ああそうだね。,ES2008a.D.argumentstructs.Erik.2,NONE
ES2008a.D.argumentstructs.Erik.3,D,828.63,831.04,ご存知のとおり、事態はそれよりも進んでいるかもしれません。,ES2008a.D.argumentstructs.Erik.2,NONE
ES2008a.C.argumentstructs.Erik.4,C,833.0,837.74,したがって、私たちが制御したいのはテレビだけだと仮定したほうがよいかもしれません。,ES2008a.D.argumentstructs.Erik.2,"ES2008a.C.argumentstructs.Erik.5, ES2008a.B.argumentstructs.Erik.7"
ES2008a.C.argumentstructs.Erik.5,C,839.03,848.03,そうですね、ビデオ レコーダーにも再生、録画、停止のボタンがあればいいと思いますが、それが技術的に機能するかどうかはわかりません。,ES2008a.C.argumentstructs.Erik.4,NONE
ES2008a.B.argumentstructs.Erik.7,B,850.31,859.82,はい。私たちが目指すものを明確にする必要があると思います。ただのテレビであれば、ボタンの数も少なくなるので、もう少しシンプルになります。,ES2008a.C.argumentstructs.Erik.4,ES2008a.C.argumentstructs.Erik.6
ES2008a.C.argumentstructs.Erik.6,C,860.47,860.68,うん。,ES2008a.B.argumentstructs.Erik.7,NONE
