ae_id,speaker,start_time,end_time,sentence,source,targets
IS1000d.A.argumentstructs.Rutger.23,A,1264.59,1266.83,うーん、そうですね。イノベーション。,NONE,IS1000d.A.argumentstructs.Rutger.24
IS1000d.A.argumentstructs.Rutger.24,A,1266.83,1268.4,最初のものは、それほどではない,IS1000d.A.argumentstructs.Rutger.23,IS1000d.C.argumentstructs.Rutger.11
IS1000d.C.argumentstructs.Rutger.11,C,1268.01,1273.35,基本的に、市場に存在するものと比較して、最初のものには革新はありませんよね?,IS1000d.A.argumentstructs.Rutger.24,"IS1000d.D.argumentstructs.Rutger.16, IS1000d.D.argumentstructs.Rutger.17, IS1000d.A.argumentstructs.Rutger.18, IS1000d.A.argumentstructs.Rutger.20"
IS1000d.D.argumentstructs.Rutger.16,D,1273.14,1273.57,いいえ,IS1000d.C.argumentstructs.Rutger.11,NONE
IS1000d.D.argumentstructs.Rutger.17,D,1273.57,1279.577,しかし、サーフィンのデザインを除いて。,IS1000d.C.argumentstructs.Rutger.11,IS1000d.C.argumentstructs.Rutger.12
IS1000d.C.argumentstructs.Rutger.12,C,1275.536,1277.75,うん。サーフデザイン。,IS1000d.D.argumentstructs.Rutger.17,NONE
IS1000d.A.argumentstructs.68,A,1276.36,1276.57,うーん。,NONE,NONE
IS1000d.B.argumentstructs.41,B,1277.46,1277.71,うーん。,NONE,NONE
IS1000d.A.argumentstructs.Rutger.18,A,1277.99,1283.31,実際に含める機能はどのようなものですか? 場所を検索しようとするような機能も含めますか?,IS1000d.C.argumentstructs.Rutger.11,"IS1000d.D.argumentstructs.Rutger.18, IS1000d.A.argumentstructs.Rutger.19"
IS1000d.D.argumentstructs.Rutger.18,D,1280.88,1285.63,うーん、いや、それはむしろ感覚の問題だと思います。,IS1000d.A.argumentstructs.Rutger.18,NONE
IS1000d.A.argumentstructs.Rutger.19,A,1284.66,1285.65,そんなことはないんですか？,IS1000d.A.argumentstructs.Rutger.18,NONE
IS1000d.A.argumentstructs.Rutger.20,A,1286.26,1289.58,しかし、実際にはそこには何の革新もなく、単なるリモコンにすぎません。,IS1000d.C.argumentstructs.Rutger.11,"IS1000d.D.argumentstructs.Rutger.19, IS1000d.B.argumentstructs.Rutger.10"
IS1000d.D.argumentstructs.Rutger.19,D,1288.47,1289.92,うん、うん。うん。,IS1000d.A.argumentstructs.Rutger.20,NONE
IS1000d.B.argumentstructs.Rutger.10,B,1289.97,1293.37,そうです。そうです。唯一の革新的な点は形状です。,IS1000d.A.argumentstructs.Rutger.20,"IS1000d.C.argumentstructs.Rutger.13, IS1000d.A.argumentstructs.Rutger.21, IS1000d.A.argumentstructs.Rutger.22"
IS1000d.C.argumentstructs.Rutger.13,C,1290.32,1290.76,うん。,IS1000d.B.argumentstructs.Rutger.10,NONE
IS1000d.A.argumentstructs.Rutger.21,A,1291.33,1291.58,わかった。,IS1000d.B.argumentstructs.Rutger.10,NONE
