ae_id,speaker,start_time,end_time,sentence,source,targets
ES2009c.C.argumentstructs.Erik.4,C,1081.08,1086.745,私たちには2つの大きなセールスポイントがあると思います。それは筐体と音声認識です。,NONE,"ES2009c.D.argumentstructs.Erik.15, ES2009c.A.argumentstructs.Erik.8"
ES2009c.D.argumentstructs.Erik.15,D,1083.6,1085.344,音声認識機能があるから,ES2009c.C.argumentstructs.Erik.4,ES2009c.D.argumentstructs.Erik.16
ES2009c.D.argumentstructs.Erik.16,D,1086.39,1090.05,つまり、これは本当にかなり派手な遠隔操作です。,ES2009c.D.argumentstructs.Erik.15,NONE
ES2009c.B.argumentstructs.Erik.7,B,1089.92,1090.26,うん。,ES2009c.A.argumentstructs.Erik.8,NONE
ES2009c.A.argumentstructs.Erik.8,A,1090.26,1100.0,音声録音については、つまり、最終的な損益を考えると、タッチスクリーンを搭載するためにコストを 17 に上げる必要があるので、音声録音は廃止する必要があると思います。,ES2009c.C.argumentstructs.Erik.4,"ES2009c.B.argumentstructs.Erik.7, ES2009c.D.argumentstructs.Erik.17, ES2009c.A.argumentstructs.Erik.10, ES2009c.C.argumentstructs.Erik.6, ES2009c.C.argumentstructs.Erik.7, ES2009c.A.argumentstructs.Erik.13, ES2009c.A.argumentstructs.Erik.18"
ES2009c.D.argumentstructs.Erik.17,D,1099.91,1102.09,間違いなくどちらかを選ばなければならないと思います。,ES2009c.A.argumentstructs.Erik.8,"ES2009c.A.argumentstructs.Erik.9, ES2009c.C.argumentstructs.Erik.5, ES2009c.D.argumentstructs.Erik.18"
ES2009c.A.argumentstructs.Erik.9,A,1102.11,1102.66,うん。,ES2009c.D.argumentstructs.Erik.17,NONE
ES2009c.C.argumentstructs.Erik.5,C,1102.56,1111.37,正直に言うと、私たちは社内にキャパとデザインを持っています。つまり、私たちはこれを思いつき、この新しい音声をすでにコーヒーマシンに使用しています。,ES2009c.D.argumentstructs.Erik.17,ES2009c.D.argumentstructs.Erik.19
ES2009c.D.argumentstructs.Erik.18,D,1103.16,1103.72,価格的に。,ES2009c.D.argumentstructs.Erik.17,NONE
ES2009c.D.argumentstructs.Erik.19,D,1108.41,1110.22,本当だ。もう手に入れた。,ES2009c.C.argumentstructs.Erik.5,NONE
ES2009c.C.argumentstructs.14,C,1117.41,1119.96,廊下の向こうの男。いいですね。,NONE,NONE
ES2009c.A.argumentstructs.30,A,1123.04,1125.76,ふーむ。,NONE,NONE
ES2009c.A.argumentstructs.Erik.10,A,1125.76,1127.79,ネイサン、それについてどう思いますか？声の録音についてはどう思いますか？,ES2009c.A.argumentstructs.Erik.8,ES2009c.B.argumentstructs.Erik.8
ES2009c.B.argumentstructs.Erik.8,B,1128.25,1142.27,両方やれば、当然生産コストは大幅に上がると思いますが、基本的にはリモコンのロールスロイスになるでしょう。とてもいいと思います。,ES2009c.A.argumentstructs.Erik.10,ES2009c.D.argumentstructs.Erik.20
ES2009c.D.argumentstructs.Erik.20,D,1139.86,1140.48,そうですね。,ES2009c.B.argumentstructs.Erik.8,NONE
