ae_id,speaker,start_time,end_time,sentence,source,targets
IS1007b.B.argumentstructs.Daan.5,B,597.83,641.15,はい、それで私は問題について話しました。それからユーザーマニュアルを見ました。それは100ページもの厚さがあり、私たちはそれを望んでいません。そこで私は使いやすいプロトタイプを提案しました。T_V_画面でナビゲートでき、ユーザーの好みを設定できます。T_V_をインターネットに接続して、X_M_L_でT_V_番組にアクセスできるようにする必要があります。そのためには前処理が必要です。技術的な面から言うと、処理はリモコンではなくT_V_セットで行う必要がありますよね？それから、ハリーが言うように、音声認識をK_I_V_に組み込むかもしれません。,NONE,IS1007b.A.argumentstructs.Daan.1
IS1007b.A.argumentstructs.3,A,604.95,605.34,うん。,NONE,NONE
IS1007b.A.argumentstructs.Daan.1,A,641.61,645.13,パパ処理はT_V_で行われるというのはどういう意味ですか？,IS1007b.B.argumentstructs.Daan.5,IS1007b.B.argumentstructs.Daan.6
IS1007b.B.argumentstructs.Daan.6,B,645.24,651.472,ええ、すべての処理はT_V_で行われます。コンピューターにはある程度の処理能力があります。,IS1007b.A.argumentstructs.Daan.1,IS1007b.A.argumentstructs.Daan.2
IS1007b.A.argumentstructs.4,A,645.98,646.49,よりも,NONE,NONE
IS1007b.C.argumentstructs.9,C,651.34,661.83,だから、リモコン付きのテレビも販売しなくてはいけません。,NONE,NONE
IS1007b.A.argumentstructs.Daan.2,A,651.68,656.44,では、特定の T_V_ が必要ですか? それとも、これを使用できます。,IS1007b.B.argumentstructs.Daan.6,IS1007b.C.argumentstructs.Daan.7
IS1007b.B.argumentstructs.12,B,663.84,680.83,はい。はい。はい。はい。,NONE,NONE
IS1007b.D.argumentstructs.6,D,663.86,680.27,そうだ、テレビじゃない。そうだ。,NONE,NONE
IS1007b.C.argumentstructs.Daan.7,C,664.36,683.411,ショービューのような技術は、ほとんどのテレビやレコーダーなどで既に利用可能であり、この情報をリモコンに取り込んでリモコンで処理できるようにすることはできると思います。,IS1007b.A.argumentstructs.Daan.2,IS1007b.B.argumentstructs.Daan.7
IS1007b.B.argumentstructs.Daan.7,B,681.66,689.99,わかりました。では、リモート コントローラーで処理をオンにすれば、どの T_V_ でも、従来の T_V_ セットでも使用できますか?,IS1007b.C.argumentstructs.Daan.7,IS1007b.D.argumentstructs.Daan.3
IS1007b.D.argumentstructs.Daan.3,D,682.47,683.3,はい、その通りです。,IS1007b.B.argumentstructs.Daan.7,NONE
IS1007b.A.argumentstructs.5,A,687.33,690.54,。 うん。,NONE,NONE
IS1007b.B.argumentstructs.13,B,691.27,693.23,うーん。わかりました。,NONE,NONE
